Province,Category,Restaurant_Name,Total,Sentiment
AB,African,Flavours Restaurant (Flavours Cuisine & Catering),0.95,Good
AB,African,Tantalizers African Express,-0.13,Bed
AB,Alcohol,Riverfront Wine & Spirits Liquor Store,0.85,Good
AB,American,Blaze Pizza (159 Leva Ave),0.73,Good
AB,American,Burger King (13338-137 Avenue),0.08,Bed
AB,American,Burger King (1950 Third Avenue South),-0.29,Bed
AB,American,Burger King (7142 50th Avenue),0.23,Bed
AB,American,"Dairy Queen (2110, 90 Thorburn Ave)",0.62,Good
AB,American,"Dairy Queen (516 13th Street North, Lethbridge)",0.51,Good
AB,American,Harvey's (5111 - 22nd St),0.71,Good
AB,American,KFC (4834 - 53rd Street),-0.15,Bed
AB,American,KFC West Lethbridge,0.38,Bed
AB,American,MOXIES (Red Deer),0.47,Bed
AB,American,New York Fries (Park Place),0.71,Good
AB,American,New York Fries (Parkland Mall Red Deer Ctr),0.02,Bed
AB,American,Onion Bar & Grill / Flamingo,0.22,Bed
AB,American,Original Joe's (8th Ave and Centre),0.89,Good
AB,American,Popeyes (1814 Mayor Magrath Dr S),0.80,Good
AB,American,Popeyes Louisiana Kitchen (7414 50 Ave Red Deer),0.38,Bed
AB,American,Rebel Wings (CGY05-1),0.20,Bed
AB,American,Subway (206-4900 Molly Bannister Dr),0.41,Bed
AB,American,Subway (230 10111 104 Ave),0.04,Bed
AB,American,Subway (6th Ave),0.84,Good
AB,American,Subway (Lethbridge Towne Sq.),0.22,Bed
AB,American,Swiss Chalet (5111-22nd St Unit 8),0.92,Good
AB,Asian,Dagu Happy Cup 大鼓奶茶,0.70,Good
AB,Asian,Edo Japan -  Gaetz South,0.82,Good
AB,Asian fusion,Fusion BBQ & Hotpot,0.54,Good
AB,Asian fusion,Local Croffle House,0.93,Good
AB,Asian fusion,Oodle Noodle (Terwillegar),-0.19,Bed
AB,Asian fusion,Teriyaki Madness (19 Southgate Blvd South),0.97,Good
AB,Bakery,7-Eleven (11528 - 107 Avenue),0.48,Bed
AB,Bakery,7-Eleven (311 16 Ave NE),0.63,Good
AB,Bakery,COBS Bread (Southpointe Common),0.38,Bed
AB,Bakery,Tim Hortons (117 1323 Centre Street North),0.51,Good
AB,Bakery,Tim Horton's (442 Scenic Dr),0.05,Bed
AB,BBQ,Mandarin Restaurant BBQ&Grill,0.26,Bed
AB,Breakfast and brunch,Cora Breakfast and Lunch (10041 106 th Street NW),0.59,Good
AB,Breakfast and brunch,Denny's (10803-104 Ave NW),0.80,Good
AB,Breakfast and brunch,Denny's (2940 50th Ave),0.95,Good
AB,Breakfast and brunch,Denny's (421 Mayor Magrath Dr),0.51,Good
AB,Breakfast and brunch,IHOP (15130 127Th St),0.84,Good
AB,Breakfast and brunch,IHOP (1818 Mayor Mcgrath Drive South),0.54,Good
AB,Breakfast and brunch,Ricky's All Day Grill (Jasper Ave),0.89,Good
AB,Breakfast and brunch,Sunset Grill (333 96 Ave NE),0.95,Good
AB,Bubble Tea,Chatime (Marda Loop),0.85,Good
AB,Bubble Tea,Don't Yell At Me (Crowfoot),0.83,Good
AB,Bubble Tea,Gong Cha (Lincoln Park),0.77,Good
AB,Burgers,Clive Burger,0.77,Good
AB,Burgers,Fatburger (1505 Mayor Magrath Drive S),0.89,Good
AB,Burgers,Firestone Restaurant & Bar,0.82,Good
AB,Burgers,Harvey's (109 St & 104 Ave),0.56,Good
AB,Burgers,IHOP (3921 Calgary Trail),0.39,Bed
AB,Burgers,McDonald's (Garneau),0.15,Bed
AB,Burgers,McDonald's (North Hill),-0.49,Bed
AB,Burgers,McDonald's (Red Deer),-0.45,Bed
AB,Burgers,McDonald's (Scenic - Lethbridge #2),-0.37,Bed
AB,Burgers,Pathway Burgers & Momos,0.88,Good
AB,Burgers,PrimeTime Donair & Poutine - Ermineskin,-0.05,Bed
AB,Burgers,The Buckingham,0.88,Good
AB,Burgers,Wendy's (1000 5 Ave SW),0.56,Good
AB,Burritos,Quesada Burritos and Tacos (Red Deer),0.94,Good
AB,Burritos,Taco Bell (6889 50th Ave),0.21,Bed
AB,Burritos,Taco Bell (West Lethbridge),0.10,Bed
AB,Burritos,Taco Time (Golden West Plaza),0.85,Good
AB,Chinese,Green Wok,0.64,Good
AB,Chinese,Modern Chinese,0.51,Good
AB,Chinese,South Silk Road Chinese Restaurant 云之南,0.98,Good
AB,Chinese: Cantonese,Monsieur Wongs,-0.29,Bed
AB,Comfort food,Birdy Famous Fried Chicken Waffles & More (Mayor Magrath Dr. S),0.73,Good
AB,Comfort food,Loaded Pierogi (Red Deer),0.97,Good
AB,Comfort food,Osmow's Lethbridge,0.22,Bed
AB,Comfort food,Poutinarama,0.94,Good
AB,Comfort food,Quality Donair,0.29,Bed
AB,Comfort food,The Hideout,0.47,Bed
AB,Comfort food,Watts Cookin,-0.11,Bed
AB,Ethiopian,Langano Skies Ethiopian Restaurant,0.86,Good
AB,Fast food,A&W (50th Avenue),0.31,Bed
AB,Fast food,A&W (82nd Ave Edm & 101 Street),-0.02,Bed
AB,Fast food,Wendy's (10365 111th Street),0.69,Good
AB,Fast food,Wendy's (1181 49th Avenue N.E.),0.26,Bed
AB,Fast food,Wendy's (230 Scenic Drive South),0.24,Bed
AB,Fast food,Wendy's (6781 Gaetz Avenue),0.19,Bed
AB,Filipino,Palabok House,0.55,Good
AB,Filipino,Tapsilog Filipino Cuisine,0.79,Good
AB,Fish & chips,Whitbie's Fish & Chips,0.89,Good
AB,Grocery,Walmart (1212 37 St SW),-0.01,Bed
AB,Halal,Fine Pizza & Donair,0.28,Bed
AB,Healthy,Pacific Poke (Calgary),0.81,Good
AB,Ice cream & frozen yogurt,Menchie's (Northland Plaza),0.98,Good
AB,Indian,Apna tandoori hut,0.95,Good
AB,Indian,Chettinad Aachy's,0.75,Good
AB,Indian,Dil-E-Punjab Sweets and Restaurant,0.95,Good
AB,Indian,Garlic & Greens,0.49,Bed
AB,Indian,Indian Accent - Kitchen and Bar,0.42,Bed
