Restaurant Name,Rating,Category,Address
FINE FOOD MARKET (Convenience @ Bay & Gerrard),4.8,American,"711 Bay St, Toronto, ON M5G"
McDonald's (Front & George),4.8,Burgers,"121 Front St E, Toronto, ON M5A"
Aroma Espresso Bar (PATH King St),4.9,Breakfast and brunch,"121 King St W, Toronto, NAMER M5X"
7-Eleven (372 Bay Street @ Richmond),4.5,Wings,"372 Bay Street @ Richmond, Toronto, ON M5H 2W9"
Sunset Grill (1 Richmond St. West),4.6,Breakfast and brunch,"1 Richmond St. West (#130), Toronto, ON M5H 3W4"
Starbucks (485 Church at Wellesley),4.9,Bakery,"485 Church Street, Toronto, ON M4Y 2C6"
Subway (393 Front St W),4.8,American,"393 Front St W, Toronto, ON M5V"
Neo Coffee Bar (Bay x College),4.4,Cafe,"770 Bay St , Unit 3, Toronto, ON M5G 0A6"
Gateway newstands # 612,New,Home & Personal Care,"444 Yonge St College Park Mall Unit F1, Toronto, Ontario M5G"
FUEL+ (Canary),4.5,Healthy,"469 Front St E, Toronto, ON M5A"
Stacked Pancake & Breakfast House (Danforth),4.7,Breakfast and brunch,"425 Danforth Ave, Toronto, ON M4K 1P1"
A&W (Queen St West),4.5,Fast food,"372 Queen St W, Toronto, ON M5V 2A3"
Krispy Kreme (McCaul St & Elm St),4.9,Desserts,"164 Mccaul St, Toronto, ON M5T 1W4"
Mos Mos Cookie Shop (655 Bay St.),4.8,Coffee & tea,"655 Bay St, Toronto, Ontario M5G 2K4"
Eggsmart (Bloor & Ossington),4.3,Breakfast and brunch,"864 Bloor St W, Toronto, ON M6G"
Tim Hortons (657 University Ave),4.6,Donuts,"657 University Ave, Toronto, NAMER M5G 2C4"
Second Cup ft. Pinkberry (King & John),New,Coffee & tea,"289 King St W, Toronto, Ontario M5V"
Cinnabon (Oriole Pky),4.4,Bakery,"500 Oriole Parkway , Unit 4, Toronto, ON M5P"
Nova Era Bakery,4.7,American,"1480 Saint Clair Avenue West, Toronto, NAMER M6E"
Wendy's (731 Eastern Avenue),4.3,Fast food,"731 Eastern Avenue, Toronto, ON M4M 3H6"
Booster Juice (2 Queen Street East),5.0,Healthy,"2 Queen St E, Toronto, On M5c 3g7, Canada, M5B"
Smokers Mart,4.6,Convenience,"1061 Gerrard St E, Toronto, ON M4M"
The Bagel House (Eglinton),4.7,Sandwich,"450 Eglinton Ave W, Toronto, ON M5N 1A5"
Harvey's (805 The Queensway),4.7,American,"805 The Queensway, Toronto, ON M8Z 1N6"
Bagels on Fire,4.8,Bakery,"2248 Queen St E, Toronto, ON M4E"
Walmart (900 Dufferin Street),New,Grocery,"900 Dufferin St, Toronto, ON M6H"
COBS Bread (Humbertown),4.9,Bakery,"#3 - 270 The Kingsway, Etobicoke, ON M9A"
Metro (656 Eglinton Ave.),4.7,Grocery,"656 Eglinton Ave., Toronto, NAMER M4P 1P1"
Smoothie Bar (Altea Active),4.6,Juice & Smoothies,"25 Ordnance Street, Toronto, ON M6K 1A1"
Rolltation (Yonge & Bloor),4.5,Healthy,"758 Yonge St, Toronto, ON M4Y"
Chick-Wings on Liberty,4.8,Comfort food,"129 Jefferson, Toronto, ON M6K3E4"
LCBO (396 St. Clair Ave. West),4.7,Alcohol,"396 St. Clair Ave. West, Toronto, NAMER M5P3N3"
Gong Cha (Davisville),4.7,Desserts,"2027 Yonge St, Toronto, ON M4S 2A2"
Real Fruit Bubble Tea (5095 Yonge St),5.0,Asian,"5095 Yonge Street , Unit A11, Toronto, ON M2N 6Z4"
Shuyi Tealicious 书亦烧仙草,4.8,Bubble tea,"37 Sheppard Ave E, Toronto, ON M2N 2Z8"
COPS,4.9,Cafe,"445 Adelaide St W, Toronto, On M5V 1T1"
Ola Restaurant and Catering Services,4.6,African,"1552 Jane St, North York, Ontario M9N 2R5"
Craig's Cookies,4.8,Desserts,"1581 Bayview Ave, East York, On M4G"
Toss Up (Bloor & Bathurst),4.9,Fast food,"787 Bathurst St, Toronto, NAMER M5S 0B7"
Kung Fu Tea (College),4.4,Asian,"287 College St, Toronto, Ontario M5T"
Bap bubble tea,4.8,Coffee & tea,"1190 Weston Rd, Toronto, ON M6M 4P4"
Cha Miao Dundas,4.5,Bubble tea,"201 Dundas Street West Toronto, On M5g 1c8 Canada,"
Tov-Li (3523 Bathurst),4.9,Pizza,"3523 Bathurst St, North York, On M6A 2C7"
Cupcake Paradise,4.5,Cupcakes,"1115 Castlefield Ave 1115, Toronto, Ontario M6B 1E8"
The Alley (Bloor),4.9,Asian,"621 Bloor St W, Toronto, ON M6G 1K8"
Serano Bakery,4.9,Desserts,"830 Pape Ave, Toronto, Ontario M4K"
Baskin Robbins | Kernels (1917 Avenue Road),4.9,Desserts,"1917 Avenue Road, Toronto, ON M5M"
Bunner's Bakeshop,4.7,Desserts,"244 Augusta Ave, Toronto, ON M5T"
Craig's Cookies,4.9,Desserts,"1332 Queen St W, Toronto, ON M6K 1L4"
Dairy Queen (831-A The Queensway),4.7,Desserts,"831-A The Queensway, Toronto, Ontario M8Z 1N6"
Hollywood Gelato,4.8,Ice Cream & Frozen Yogurt,"1640 Bayview Ave, Toronto, ON M4S"
TasteT House (Bathurst),4.7,Bubble tea,"410 Bathurst Street, Toronto, ON M5T"
BenGong's Tea 本宫的茶 Yonge,4.7,Asian,"576 Yonge Street, Toronto, ON M4Y 1Z3"
La Diperie (717 Bay Street),4.6,Desserts,"717 Bay Street, Toronto, ON M5G"
Chapayom,New,Bubble tea,"21 Wellesley St W, 6, Toronto, ON M4Y 0H1"
Melt n Dip (Adelaide St E),4.7,Desserts,"53 Adelaide St E, Toronto, ON M5C"
Kibo Sushi (Rogers Centre),4.7,Sushi,"325 Bremner Blvd., Toronto, ON M5V"
D'AMO,4.7,Desserts,"2269 Kingston Rd, Scarborough, On M1N"
Bocados Bake Shop (Queen St. W),4.7,Desserts,"923 Queen St W, B, Toronto, ON M6J"
Oishii Tea (Queen W),4.7,Desserts,"467 Queen St W, Toronto, ON M5V 2A9"
The Chicken Nest,4.7,Kosher,"3038 Bathurst St, North York, M6B"
Tiger Sugar (Yonge St),4.7,Desserts,"439 Yonge St, A, Toronto, ON M5B 1T3"
Gordo EX Cafe,4.7,Latin American,"1048 Bathurst St, Toronto, NAMER M5R 3G7"
Chatime (King E),4.8,Asian,"163 King St. E, Toronto, Ontario M5A 1J4"
Fast Fresh Foods (Eaton Centre Mall Food Court),5.0,Healthy,"220 Yonge Street, Toronto, ON M5B"
Honey's Ice Cream,4.9,Ice Cream & Frozen Yogurt,"1448 Dundas Street West, Toronto, ON M6K"
Uncle Tetsu's Japanese Cheesecake (Bay St),4.8,Desserts,"595 Bay St, Toronto, ON M5G 2C2"
Salad Days,New,Salads,"333 Bay Street, Toronto, ON M5H 2R2"
COPS,4.9,American,"89 Lewis St, Toronto, ON M4M 2H2"
Pizza Café,4.6,Pizza,"3774 Bathurst St, North York, ON M3H"
Govinda's,4.8,Vegetarian,"243 Avenue Rd, Toronto, ON M5R 2J6"
Salus Fresh Foods (Exchange Tower),5.0,Healthy,"130 King St West #Cufc6, Toronto, NAMER M5X 2A2"
Sukhothai (Dundas West),4.9,Best of Toronto,"1442 Dundas St W, Toronto, On M6j 1y6, Canada, ON M6K"
Yifang Fruit Tea一芳台灣水果茶-Yonge,4.8,Bubble tea,"672 Yonge St, Toronto, ON M4Y 2A6"
Royaltea (Dundas St),4.8,Asian,"491a Dundas St W, Toronto, Ontario M5T"
Wok & Bowl,4.7,Kosher,"3023 Bathurst Street, Toronto, ON M6B 3B5"
Bloomer's (Bloor),4.8,Bakery,"873 Bloor St W, Toronto, ON M6G 1M4"
Pho Lang Van,4.8,Vietnamese,"958 Saint Clair Avenue West, Toronto, ON M6E"
Yogen Fruz (220 Yonge St),4.9,Ice Cream & Frozen Yogurt,"220 Yonge St, Toronto, ON M5B"
