Restaurant_Name,Category,Address,Province,Latitude,Longitude,Rating,Review,Sentiment_score,Sentiment
Wendy's (10365 111th Street),Fast food,"10365 111th Street, Edmonton, AB T5K 2V3",AB,53.5458777,-113.5109136,5.0,the food met my expectaton the seatng area was clean and comfortable the staff member who helped me was wearng a mask t was dffcult to assess her demeanor but over a nce person am happy to recommend ths restaurant to my frends and famly,0.9607,Good
Wendy's (10365 111th Street),Fast food,"10365 111th Street, Edmonton, AB T5K 2V3",AB,53.5458777,-113.5109136,2.0,ts a wendys ther food s good better than mcdonalds usually that beng sad youre probably wonderng ok so why a heres the thng they mss tems n orders rather often often as n of the orders ve made here have had mssng tems or been just completely wrongof course the reason for ths ssue could be any number of thngs t could be pont of sale or just lack of coordnaton or anythng else all know s that ths has not mproved wth tme just want my darn large chocolate frosty ts on the recept theres a spoon n the bag but no frosty to be found dont know what should expect contnually orderng here but just want the frggn frosty ordered mean serously thats the tem wendys s known for ts prnted down on the recept ts the only cold thng ts n a cup as opposed to metallc wrappng the food has there are nfnte opportuntes to notce hey theres somethng mssng herethe only reason ths snt a s because ther food s good just want my frosty man,0.1966,Bad
Wendy's (10365 111th Street),Fast food,"10365 111th Street, Edmonton, AB T5K 2V3",AB,53.5458777,-113.5109136,3.0,love the taste of ths food as t tastes lke there s some realness n ths brand of fast food thats not to forget ts stll fast food when t comes to fast food places choose the establshment smlar to makng a choce n a dlemma as far as the atmosphere well t felt lke everyone was n a dlemma and stress was aparent thnk ve had more stress free vsts at wendys consderng that the crowd was less conscentous or more hungry,0.8198,Good
Wendy's (10365 111th Street),Fast food,"10365 111th Street, Edmonton, AB T5K 2V3",AB,53.5458777,-113.5109136,5.0,ths s the best wendys ve ever been to ncredble theres a reason why they are rated stars whch s about as hgh as a fast food chan can get fast servce no mstakes great managers who actually help employees and the food s always hot and fresh ths s a very hgh volume locaton and they have ther act together great job to all the workers here ncludng management and ownershp,0.9287,Good
Wendy's (10365 111th Street),Fast food,"10365 111th Street, Edmonton, AB T5K 2V3",AB,53.5458777,-113.5109136,5.0,been here so many tmes never had a problem yeah there are sometmes homeless people nsde but dont thnk t bothers anyone t doesnt bother me,0.5613,Good
McDonald's (Garneau),Burgers,"8415 109th Street, Edmonton, AB T6E",AB,53.5207809,-113.5115079,3.0,people were nce fast servce at the drve thru my kd had to go to the bathroom regret gong nsde took a couple of photos after flushng the tolet because ddnt want to see what saw there agan thnk a restaurant s frstly judged by ts bathrooms come on guys ts embarrassng,-0.4257,Bad
McDonald's (Garneau),Burgers,"8415 109th Street, Edmonton, AB T6E",AB,53.5207809,-113.5115079,4.0,durng the pandemc ordered a bg mac through the drve through was cravng one overall servce at ths restaurant s very good,0.4927,Bad
McDonald's (Garneau),Burgers,"8415 109th Street, Edmonton, AB T6E",AB,53.5207809,-113.5115079,5.0,recently vsted ths mcdonalds and had a great experence the staff were frendly and attentve and my food was prepared quckly and accuratelythe restaurant was clean and wellmantaned wth plenty of seatng avalable both nsde and outsde the orderng process was easy and effcent and the menu had a good selecton of optons to choose fromoverall would defntely recommend ths mcdonalds locaton to anyone lookng for a quck and satsfyng meal whether youre on the go or lookng for a place to st down and enjoy your food ths restaurant has everythng you need,0.9833,Good
McDonald's (Garneau),Burgers,"8415 109th Street, Edmonton, AB T6E",AB,53.5207809,-113.5115079,1.0,dont know what the people workng there were thnkng how do you keep a straght face to receve the pay check when you cant even fll the half of a large fres ts called large fres not half fres f you do not wsh to work at mcd then pls just leave stop scammng every customer wth ur atttude and ablty to gv zero f abt the amount of foods gven brngng bad reputaton to ths mcd s what ur dong good job,-0.2865,Bad
McDonald's (Garneau),Burgers,"8415 109th Street, Edmonton, AB T6E",AB,53.5207809,-113.5115079,1.0,they dont even gve dppng sauce for the chcken nuggets and forgot to brng drnks that we ordered and theres lterally soft drnk n the mcflurry,0.0,Bad
Subway (230 10111 104 Ave),American,"10111 104 Ave Nw, Edmonton, AB T5J 4X1",AB,53.5456285,-113.4946715,1.0,went to try a rce bowl and ended up wtnessng a street person who was quetly sttng suddenly erupt nto a huge coughng ft of phlegm and spewng blood poor subway artst sandwch grl tres to call securty and no one came mmedately stuck around and ended up buyng the bowl from the blood spattered scene because felt bad the worker would get fred after she explans to her manager that the customer lost hs appette wtnessng the horror show was so hungry that tred to take a bte of the steakbowl but after chewng and reflectng on the dark red bbq sauce tossed talso the tomatoes and lettuce looked lmp and sad star for her corporate response,-0.8945,Bad
Subway (230 10111 104 Ave),American,"10111 104 Ave Nw, Edmonton, AB T5J 4X1",AB,53.5456285,-113.4946715,3.0,most of the tme ts alrght but lately they have been servng stale bread for there subs when take a bte out of a sub expect to take a bte not naw at t n order to enjoy t lke a well done steak dssaponted wth ths locaton lately,0.8934,Good
