,restaurant_name,rating,total_reviews,category,location,province,address,Latitude,Longitude,Province,min_price
0,The Flying Pig,4.0,1300,Canadian (New),vancouver,BC,"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",49.275039,-123.1220383,BC,25
1,Kingyo,4.4,1100,Japanese,vancouver,BC,"871 Denman Street Vancouver, BC V6G 2L9 Canada",49.2906122,-123.1370947,BC,25
2,Miku,4.4,2200,Japanese,vancouver,BC,"200 Granville Street Suite 70 Vancouver, BC V6C 1S4 Canada",49.2868259,-123.112583,BC,45
3,Kosoo,4.3,88,Korean,vancouver,BC,"1128 Robson Street Vancouver, BC V6E 1B2 Canada",49.2849885,-123.1259586,BC,25
4,Dinesty Dumpling House,3.9,928,Chinese,vancouver,BC,"1719 Robson Street Vancouver, BC V6G 1C8 Canada",49.2907799,-123.1340727,BC,25
5,Saku,4.4,337,Japanese,vancouver,BC,"1588 Robson Street Vancouver, BC V6G 2G5 Canada",49.2892453,-123.1323169,BC,25
6,Saku,4.4,337,Japanese,vancouver,BC,"548 W Broadway Vancouver, BC V5Z 1E9 Canada",49.26310059999999,-123.1166394,BC,25
7,Guu with Garlic,4.3,1000,Japanese,vancouver,BC,"1698 Robson Street Vancouver, BC V6G 1C7 Canada",49.2901752,-123.1340034,BC,25
8,Fable Kitchen,4.3,764,Canadian (New),vancouver,BC,"1944 W 4th Avenue Vancouver, BC V6J 1M5 Canada",49.2679331,-123.1490013,BC,25
9,Fanny Bay Oyster Bar & Shellfish Market,4.4,749,Seafood,vancouver,BC,"762 Cambie St Vancouver, BC V6B 2P2 Canada",49.2786079,-123.1141059,BC,25
10,Sula,4.3,88,Indian,vancouver,BC,"4172 Main Street Vancouver, BC V5V 3P7 Canada",49.2479632,-123.1007692,BC,25
11,Phnom Penh,4.2,1600,Cambodian,vancouver,BC,"244 E Georgia Street Vancouver, BC V6A 1Z7 Canada",49.2783112,-123.0981943,BC,25
12,Blue Water Cafe,4.4,1100,Seafood,vancouver,BC,"1095 Hamilton St Vancouver, BC V6B 5T4 Canada",49.2762194,-123.1211296,BC,50
13,Anh and Chi,3.9,619,Vietnamese,vancouver,BC,"3388 Main Street Vancouver, BC V5V 3M7 Canada",49.2550532,-123.1008858,BC,25
14,Botanist,4.3,370,Canadian (New),vancouver,BC,"1038 Canada Place Vancouver, BC V6C 0B9 Canada",49.2880551,-123.1163832,BC,45
15,Forage,4.1,699,Canadian (New),vancouver,BC,"1300 Robson Street Vancouver, BC V6E 1C5 Canada",49.2870362,-123.1290585,BC,25
16,Twisted Fork,4.2,1100,French,vancouver,BC,"213 Carral Street Vancouver, BC V6B 2J2 Canada",49.2831834,-123.1044482,BC,25
17,Happy Noodle House,4.6,81,Dim Sum,vancouver,BC,"630 Davie Street Vancouver, BC V6B 2G5 Canada",49.2766734,-123.1257782,BC,25
18,Lupo,4.3,436,Italian,vancouver,BC,"869 Hamilton Street Vancouver, BC V6B 2R7 Canada",49.27819640000001,-123.1173391,BC,45
19,Kishimoto Japanese Kitchen,4.4,512,Japanese,vancouver,BC,"2054 Commercial Drive Vancouver, BC V5N 4A9 Canada",49.2667364,-123.0694112,BC,45
20,Tendon Kohaku,4.3,91,Japanese,vancouver,BC,"840 Howe Street Suite 190 Vancouver, BC V6Z 2S9 Canada",49.2810442,-123.1217745,BC,25
21,Raisu,4.2,437,Japanese,vancouver,BC,"2340 W 4th Avenue Vancouver, BC V6K 1P1 Canada",49.2680595,-123.1583241,BC,25
22,Hello Nori,4.5,190,Japanese,vancouver,BC,"1165 Robson Street Vancouver, BC V6E 1B5 Canada",49.2856022,-123.1261075,BC,25
23,Ask For Luigi,4.0,487,Italian,vancouver,BC,"305 Alexander Street Vancouver, BC V6A 1C4 Canada",49.2842,-123.0977177,BC,25
24,Medina Cafe,4.2,2600,Breakfast & Brunch,vancouver,BC,"780 Richards Street Vancouver, BC V6B 3A4 Canada",49.28040660000001,-123.1168632,BC,25
25,So Hyang Korean Cuisine,4.2,320,Korean,vancouver,BC,"6345 Fraser Street Vancouver, BC V5W 3A3 Canada",49.2269997,-123.0909271,BC,25
26,Kokoro Tokyo Mazesoba,4.1,447,Japanese,vancouver,BC,"551 Seymour Street Vancouver, BC V6B 3H6 Canada",49.2834164,-123.1150628,BC,25
27,OEB Breakfast Co. Yaletown,4.3,732,Breakfast & Brunch,vancouver,BC,"1137 Marinaside Crescent Vancouver, BC V6Z 2Y3 Canada",49.2734565,-123.119265,BC,25
28,Saku,4.3,216,Japanese,vancouver,BC,"1588 Robson Street Vancouver, BC V6G 2G5 Canada",49.2892453,-123.1323169,BC,25
29,Saku,4.3,216,Japanese,vancouver,BC,"548 W Broadway Vancouver, BC V5Z 1E9 Canada",49.26310059999999,-123.1166394,BC,25
30,Jam Cafe on Beatty,4.4,1400,Breakfast & Brunch,vancouver,BC,"556 Beatty Street Vancouver, BC V6B 2L3 Canada",49.28025179999999,-123.1096515,BC,25
31,Tavola,4.5,363,Italian,vancouver,BC,"1829 Robson Street Vancouver, BC V6G 3E4 Canada",49.2919265,-123.135706,BC,45
32,España Restaurant,4.2,250,Spanish,vancouver,BC,"1118 Denman Street Vancouver, BC V6G 2M8 Canada",49.2880552,-123.1404114,BC,25
33,Chambar,4.2,1500,Belgian,vancouver,BC,"568 Beatty Street Vancouver, BC V6B 2L3 Canada",49.2801544,-123.109903,BC,45
34,Joe Fortes Seafood & Chop House,4.0,1200,Seafood,vancouver,BC,"777 Thurlow Street Vancouver, BC V6E 3V5 Canada",49.284937,-123.124763,BC,45
35,Nobi Nobi,4.5,38,Japanese,vancouver,BC,"11320 Steveston Hwy Unit 110 Richmond, BC V7A 5J5 Canada",49.1330708,-123.0980046,BC,25
36,Nightingale,4.1,472,Live/Raw Food,vancouver,BC,"1017 West Hastings Street Vancouver, BC V6E 0C4 Canada",49.28738120000001,-123.1174873,BC,45
37,Maenam,3.9,380,Thai,vancouver,BC,"1938 W 4th Avenue Vancouver, BC V6J 1M5 Canada",49.2678675,-123.148895,BC,25
38,Lunch Lady,4.0,197,Vietnamese,vancouver,BC,"1046 Commercial Drive Vancouver, BC V5L 3W9 Canada",49.274972,-123.0693501,BC,25
39,Jingle Bao,4.1,152,Asian Fusion,vancouver,BC,"774 Denman Street Vancouver, BC V6G 1C9 Canada",49.2916234,-123.1348781,BC,25
40,Bao Bei Chinese Brasserie,3.9,415,Chinese,vancouver,BC,"163 Keefer Street Vancouver, BC V6A 1X3 Canada",49.2796534,-123.1006157,BC,45
41,Cactus Club Cafe,4.2,822,Canadian (New),vancouver,BC,"1085 Canada Place Vancouver, BC V6C 3E1 Canada",49.2894022,-123.1180433,BC,25
42,Cactus Club Cafe,4.2,822,Canadian (New),vancouver,BC,"1125 Douglas Street Victoria, BC V8W 3L7 Canada",48.424893,-123.364927,BC,25
43,Alibi Room,4.3,566,Pubs,vancouver,BC,"157 Alexander Street Vancouver, BC V6A 1B8 Canada",49.28424070000001,-123.1002791,BC,25
44,Tom Sushi,4.7,194,Sushi Bars,vancouver,BC,"1175 Davie St Vancouver, BC V6E 1N2 Canada",49.2816505,-123.1326617,BC,25
45,AnnaLena,4.5,347,Canadian (New),vancouver,BC,"1809 W 1st Avenue Vancouver, BC V6J 5B8 Canada",49.2708117,-123.1468222,BC,50
46,Chinatown BBQ,4.5,261,Chinese,vancouver,BC,"130 E Pender Street Vancouver, BC V6A 1T3 Canada",49.2801868,-123.1014854,BC,25
47,Seiza,3.9,79,Japanese,vancouver,BC,"3068 Main Street Vancouver, BC V5T 3G5 Canada",49.2578688,-123.1008956,BC,25
48,Le Crocodile Restaurant,4.3,438,French,vancouver,BC,"909 Burrard Street Vancouver, BC V6Z 2N2 Canada",49.2825393,-123.1252052,BC,50
49,Linh Cafe,3.9,299,Vietnamese,vancouver,BC,"1428 Granville Street Vancouver, BC V6Z 1N2 Canada",49.2746224,-123.129706,BC,25
50,The Fish Counter,4.4,350,Fish & Chips,vancouver,BC,"3825 Main Street Vancouver, BC V5V 3P2 Canada",49.2507837,-123.1012792,BC,25
51,Suika,4.1,520,Japanese,vancouver,BC,"1626 W Broadway Vancouver, BC V6J 1X6 Canada",49.2634105,-123.1416899,BC,25
52,Hei Hei Rice Roll,4.3,83,Chinese,vancouver,BC,"2430-8260 Westminster Highway Richmond, BC V6X 1A7 Canada",49.1697285,-123.1330757,BC,25
53,The Mackenzie Room,4.5,182,Canadian (New),vancouver,BC,"415 Powell Street Vancouver, BC V6A 1G7 Canada",49.2833009,-123.0949246,BC,50
54,La Belle Patate,4.1,544,Fast Food,vancouver,BC,"1215 Davie Street Vancouver, BC V6E 1N4 Canada",49.2820333,-123.1335487,BC,25
55,La Belle Patate,4.1,544,Fast Food,vancouver,BC,"1215 Esquimalt Road Victoria, BC V9A 3P1 Canada",48.4300048,-123.4132095,BC,25
56,Burgoo Bistros,3.8,497,Comfort Food,vancouver,BC,"3096 Main Street Vancouver, BC V5T 3G5 Canada",49.2576435,-123.100815,BC,25
57,Elisa,4.2,194,Steakhouses,vancouver,BC,"1109 Hamilton Street Vancouver, BC V6B 5P6 Canada",49.27595849999999,-123.1214078,BC,50
58,St Lawrence Restaurant,4.4,140,French,vancouver,BC,"269 Powell Street Vancouver, BC V6A 1G3 Canada",49.2833058,-123.0979713,BC,45
59,Laksa King,3.8,207,Burmese,vancouver,BC,"2546 E Hastings Street Vancouver, BC V5K 1Z3 Canada",49.28102519999999,-123.0533381,BC,25
60,Ramen Danbo,4.4,580,Ramen,vancouver,BC,"1333 Robson Street Vancouver, BC V6E 2B1 Canada",49.2875039,-123.1289419,BC,25
61,Ramen Danbo,4.4,580,Ramen,vancouver,BC,"1833 W 4th Avenue Vancouver, BC V6J 1M4 Canada",49.2682648,-123.1464325,BC,25
62,Holy Chow,4.1,44,Asian Fusion,vancouver,BC,"433 W Pender Street Vancouver, BC V6B 1B2 Canada",49.2831841,-123.1123852,BC,25
63,Fritz European Fry House,4.2,807,Fast Food,vancouver,BC,"718 Davie Street Vancouver, BC V6Z 1B6 Canada",49.2773082,-123.1266682,BC,10
64,Go Fish Ocean Emporium,3.9,502,Seafood,vancouver,BC,"1505 W 1st Avenue Vancouver, BC V6J 1E8 Canada",49.2715703,-123.1399695,BC,25
65,The Red Accordion,4.7,72,Cocktail Bars,vancouver,BC,"1616 Alberni Street Vancouver, BC V6G 1A6 Canada",49.29023129999999,-123.131818,BC,25
66,La Taqueria Pinche Taco Shop,4.3,521,Mexican,vancouver,BC,"322 W Hastings Street Vancouver, BC V8B 1K6 Canada",49.2829621,-123.1105621,BC,25
67,La Notte Restaurant,3.9,55,Italian,vancouver,BC,"3307 Dunbar St Vancouver, BC V6S 2B9 Canada",49.2572246,-123.1853607,BC,25
68,Shiok Singapore Cuisine,3.8,102,Singaporean,vancouver,BC,"1716 Kingsway Vancouver, BC V5N 2S4 Canada",49.2470228,-123.0695689,BC,25
69,Breakfast Table,4.3,251,Breakfast & Brunch,vancouver,BC,"3014 Granville Street Vancouver, BC V6H 1H6 Canada",49.258568,-123.1385172,BC,25
