Restaurant_Name,min_price,rating,total_reviews,category,location,province,address,Latitude,Longitude,Province
The Flying Pig,25,4.0,1300,Canadian (New),vancouver,BC,"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",49.275039,-123.1220383,BC
Kingyo,25,4.4,1100,Japanese,vancouver,BC,"871 Denman Street Vancouver, BC V6G 2L9 Canada",49.2906122,-123.1370947,BC
Miku,45,4.4,2200,Japanese,vancouver,BC,"200 Granville Street Suite 70 Vancouver, BC V6C 1S4 Canada",49.2868259,-123.112583,BC
Kosoo,25,4.3,88,Korean,vancouver,BC,"1128 Robson Street Vancouver, BC V6E 1B2 Canada",49.2849885,-123.1259586,BC
Dinesty Dumpling House,25,3.9,928,Chinese,vancouver,BC,"1719 Robson Street Vancouver, BC V6G 1C8 Canada",49.2907799,-123.1340727,BC
Saku,25,4.4,337,Japanese,vancouver,BC,"1588 Robson Street Vancouver, BC V6G 2G5 Canada",49.2892453,-123.1323169,BC
Saku,25,4.4,337,Japanese,vancouver,BC,"548 W Broadway Vancouver, BC V5Z 1E9 Canada",49.2631006,-123.1166394,BC
Guu with Garlic,25,4.3,1000,Japanese,vancouver,BC,"1698 Robson Street Vancouver, BC V6G 1C7 Canada",49.2901752,-123.1340034,BC
Fable Kitchen,25,4.3,764,Canadian (New),vancouver,BC,"1944 W 4th Avenue Vancouver, BC V6J 1M5 Canada",49.2679331,-123.1490013,BC
Fanny Bay Oyster Bar & Shellfish Market,25,4.4,749,Seafood,vancouver,BC,"762 Cambie St Vancouver, BC V6B 2P2 Canada",49.2786079,-123.1141059,BC
Sula,25,4.3,88,Indian,vancouver,BC,"4172 Main Street Vancouver, BC V5V 3P7 Canada",49.2479632,-123.1007692,BC
Phnom Penh,25,4.2,1600,Cambodian,vancouver,BC,"244 E Georgia Street Vancouver, BC V6A 1Z7 Canada",49.2783112,-123.0981943,BC
Blue Water Cafe,50,4.4,1100,Seafood,vancouver,BC,"1095 Hamilton St Vancouver, BC V6B 5T4 Canada",49.2762194,-123.1211296,BC
Anh and Chi,25,3.9,619,Vietnamese,vancouver,BC,"3388 Main Street Vancouver, BC V5V 3M7 Canada",49.2550532,-123.1008858,BC
Botanist,45,4.3,370,Canadian (New),vancouver,BC,"1038 Canada Place Vancouver, BC V6C 0B9 Canada",49.2880551,-123.1163832,BC
Forage,25,4.1,699,Canadian (New),vancouver,BC,"1300 Robson Street Vancouver, BC V6E 1C5 Canada",49.2870362,-123.1290585,BC
Twisted Fork,25,4.2,1100,French,vancouver,BC,"213 Carral Street Vancouver, BC V6B 2J2 Canada",49.2831834,-123.1044482,BC
Happy Noodle House,25,4.6,81,Dim Sum,vancouver,BC,"630 Davie Street Vancouver, BC V6B 2G5 Canada",49.2766734,-123.1257782,BC
Lupo,45,4.3,436,Italian,vancouver,BC,"869 Hamilton Street Vancouver, BC V6B 2R7 Canada",49.2781964,-123.1173391,BC
Kishimoto Japanese Kitchen,45,4.4,512,Japanese,vancouver,BC,"2054 Commercial Drive Vancouver, BC V5N 4A9 Canada",49.2667364,-123.0694112,BC
Tendon Kohaku,25,4.3,91,Japanese,vancouver,BC,"840 Howe Street Suite 190 Vancouver, BC V6Z 2S9 Canada",49.2810442,-123.1217745,BC
Raisu,25,4.2,437,Japanese,vancouver,BC,"2340 W 4th Avenue Vancouver, BC V6K 1P1 Canada",49.2680595,-123.1583241,BC
Hello Nori,25,4.5,190,Japanese,vancouver,BC,"1165 Robson Street Vancouver, BC V6E 1B5 Canada",49.2856022,-123.1261075,BC
Ask For Luigi,25,4.0,487,Italian,vancouver,BC,"305 Alexander Street Vancouver, BC V6A 1C4 Canada",49.2842,-123.0977177,BC
Medina Cafe,25,4.2,2600,Breakfast & Brunch,vancouver,BC,"780 Richards Street Vancouver, BC V6B 3A4 Canada",49.2804066,-123.1168632,BC
So Hyang Korean Cuisine,25,4.2,320,Korean,vancouver,BC,"6345 Fraser Street Vancouver, BC V5W 3A3 Canada",49.2269997,-123.0909271,BC
Kokoro Tokyo Mazesoba,25,4.1,447,Japanese,vancouver,BC,"551 Seymour Street Vancouver, BC V6B 3H6 Canada",49.2834164,-123.1150628,BC
OEB Breakfast Co. Yaletown,25,4.3,732,Breakfast & Brunch,vancouver,BC,"1137 Marinaside Crescent Vancouver, BC V6Z 2Y3 Canada",49.2734565,-123.119265,BC
Saku,25,4.3,216,Japanese,vancouver,BC,"1588 Robson Street Vancouver, BC V6G 2G5 Canada",49.2892453,-123.1323169,BC
Saku,25,4.3,216,Japanese,vancouver,BC,"548 W Broadway Vancouver, BC V5Z 1E9 Canada",49.2631006,-123.1166394,BC
Jam Cafe on Beatty,25,4.4,1400,Breakfast & Brunch,vancouver,BC,"556 Beatty Street Vancouver, BC V6B 2L3 Canada",49.2802518,-123.1096515,BC
