Restaurant_name,Category,Address,Province,Latitude,Longitude,Rating,Review,Sentiment_score,Sentiment
The Flying Pig,Canadian (New),"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",BC,49.275039,-123.1220383,4,busy place  strongly suggest a reservation great happy hour menu good service fish was nicely prepared and paella had lots of seafood in a very small portion,0.9485,Good
The Flying Pig,Canadian (New),"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",BC,49.275039,-123.1220383,4,i recommend squid is the best part i ordered garlic bread to eat with mussel dish was nice only the risotto not impress can put more flavourtexture is not reached overall is great,0.8979,Good
The Flying Pig,Canadian (New),"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",BC,49.275039,-123.1220383,5,"i really enjoyed my lunch at this cozy little place in beautiful yaletown vancouver today
they have a great selection on their menu and their lunch prices are reasonable what really stood out for me was their warm attentive and professional service from the beginning to the end the host made us feel very welcome and our server took very good care of us the whole time due to the winter wonderland feel and all the snow i felt i need to start things off with a nice cup of coffee i loved the coffee it was jj bean and piping hot and served in a sparkling cupexactly the way i like it

we had the pulled pork sandwich and the chicken cutlets
i loved the pulled pork juicy and well seasoned with a nice crisp fresh ceasar salad and a slice of gherkin with the meal which was a nice touch i love gherkins

i also tried the chicken cutlet which was beautifully cooked tender with the batter seasoned just on point and the mash was a perfect pairing
i mean who doesnt like great mash

next time im going for the muscles ",0.9966,Good
The Flying Pig,Canadian (New),"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",BC,49.275039,-123.1220383,5,"ambiance is great with a great mixture of wood and metal light and dark hard and soft to drink i had their homemade ginger beer which was tangy and a hint sweet for dinner i ordered the short rib with a side of the corn both were outstanding the short rib was served with the bone marrow which was an interesting touch i didnt care for the marrow alone but when i added a little piece to the meat it was a brilliant combination the corn was superb too  sweet but spicy due to the jalapeños definitely fresh corn too because i had to pull a string from my teeth   would definitely recommend this place

check it out vancouver",0.9892,Good
The Flying Pig,Canadian (New),"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada",BC,49.275039,-123.1220383,5,we went to the flying pig for dinner last night and were so impressed by the incredible food and service that we went again for dinner tonight whilst travelling through canada for the past weeks this was most definitely the best meals we have had the menu is outstanding and so is the quality of the food and drinks bailey was our server both nights and is an absolute delight she was warm and genuine and has an excellent knowledge of the menu definitely a place we would highly recommend to everyone,0.9845,Good
Kingyo,Japanese,"871 Denman Street Vancouver, BC V6G 2L9 Canada",BC,49.2906122,-123.1370947,5,during my 5day stay in vancouver i couldnt resist visiting the lovely japanese restaurant not once but twice its authentic flavors serene ambiance and impeccable service left an indelible mark a fusion of traditional and contemporary elements made it a standout experience in vancouvers vibrant culinary scene,0.9001,Good
Kingyo,Japanese,"871 Denman Street Vancouver, BC V6G 2L9 Canada",BC,49.2906122,-123.1370947,5,the restaurant caught our attention when we walked by the restaurant around 1150am  people were lining up for the restaurant to open at noon we were lucky to get the bar seating its not a huge restaurant and some tables were reserved for customers who made advanced reservations we ordered hot green tea stonegrilled beef tongue beef tenderloin steak bowl sizzling stone pork kakuni bowl and all of them were delicious great meat quality and well prepared dishes its a restaurant running by japanese with great foods and services i highly recommend this place with advanced reservation,0.9695,Good
Kingyo,Japanese,"871 Denman Street Vancouver, BC V6G 2L9 Canada",BC,49.2906122,-123.1370947,1,it was my first time visiting the japanese restaurant kingyo the food was absolutely good and the service was no problem only one thing they limited table time to just one hour my friends and i just had a quick drink quick eating everything kinda super rushes like eating fast food,0.7458,Good
Kingyo,Japanese,"871 Denman Street Vancouver, BC V6G 2L9 Canada",BC,49.2906122,-123.1370947,2,was excited to come due to good reviews however was very disappointed it is definitely overrated the food is so so pictures look good but not the taste we spent about 200 3 adults and 1 kid dinner menu is diff then lunch a lot of food are not available during dinner i wouldnt want to come back enough said,0.4443,Bad
Kingyo,Japanese,"871 Denman Street Vancouver, BC V6G 2L9 Canada",BC,49.2906122,-123.1370947,4,we ordered four items as shown in the photos the salad is the best the sashimi is the second the ramen was not bad just that the beef was a bit chewy the pressed salmon sushi wasnt very good too much rice and the rice was not fresh the place was packed fun environment,0.776,Good
