Restaurant Name,Rating,Category,Address
Country Style (Vansickle),New,American,"420 Vansickle Rd St. Catharines, On L2s 0c7 Canada,"
7-Eleven (6 Crowland Ave @ East Main),4.2,Wings,"6 Crowland Ave @ East Main, Welland, ON L3B"
Food Basics (325 Thorold Rd),4.5,Everyday Essentials,"325 Thorold Rd W, Welland, ON L3C 3W4"
A&W (806 Niagara St),4.3,Fast food,"806 Niagara St, Welland, ON L3C 1M3"
Starbucks (Welland),4.7,Coffee & tea,"897 Niagara Street, Welland, ON L3C"
McDonald's (Welland-Niagara),4.5,Burgers,"631 Niagara St N, Welland, ON L3C 1L9"
Burger King (724 Niagara Street),4.5,American,"724 Niagara Street, Welland, ON L3C"
Dollarama (Northtown Plaza),New,Toys,"325 Thorold Road, Unit 1012, Welland, NAMER L3C 3W4"
Hasty Market (554 Niagara St.),New,Snacks,"554 Niagara St, Welland, ON L3C 1L8"
Tim Hortons (2 Tremont Dr),4.5,Bakery,"2 Tremont Dr, St Catharines, ON L2T 3B2"
Subway (13210 Lundy's Lane),4.5,American,"13210 Lundy'S Lane, Niagara Falls, ON L2E"
Mary Brown's Chicken (153 Hartzel Rd),New,American,"153 Hartzel Road St. Catharines, On L2p 1n6,"
Canadian Tire Gas+ (69 Primeway Dr),New,Everyday Essentials,"69 Primeway Drive Welland, On L3b 5n4 Canada,"
On the Run 42396 | 681 South Pelham Rd,New,Everyday Essentials,"681 South Pelham Rd., WELLAND, ON L3C 3C9"
Sunset Grill (130 Highway 20 E),5.0,Breakfast and brunch,"130 Highway 20 East, Fonthill, ON L0S"
Stacked Pancake & Breakfast House (Welland),4.7,Breakfast and brunch,"844 Niagara Street, Unit F , Welland, ON L3C"
Eggsmart (Carlton & QEW),4.5,Breakfast and brunch,"260 Geneva St, St Catharines, Ontario L2N 2G1"
Wendy's (530 Niagara St.),4.5,Fast food,"530 Niagara St, Welland, ON L3C 1L8"
Bubble T & Dessert,3.9,Bubble tea,"122 St Paul St E, St Catharines, ON L2R 3M2"
IHOP (7514 Lundy'S Lane),4.1,American,"7514 Lundy'S Lane, Niagara Falls, ON L2H 1G8"
Pür & Simple (St. Catharines),4.5,Breakfast and brunch,"290 Glendale Ave, Unit #4, St. Catharines, ON L2T 2L3"
Donut Diner,4.7,Breakfast and brunch,"947 Niagara St, Unit#2, Welland, Ontario L3C 1M5"
Domenic's On 20,4.5,Comfort food,"219 Highway 20, Fonthill, ON L0S 1E6"
Grazi Cafe,New,Breakfast and brunch,"436 Vansickle Rd, St. Catharines, Ontario L2S 0A4"
Shell  (3250 Schmon Parkway.),4.3,Convenience,"3250 Schmon Parkway., Thorold, Ontario L2V 4Y6"
Williams Fresh Cafe (Dorchester),4.6,Sandwich,"4025 Dorchester Rd #245, Niagara Falls, ON L2E"
Big bee convenience and food mart,3.7,Canadian,"66 Geneva St, St Catharines, ON L2R 4M7"
Early Bird Restaurant,4.3,Breakfast and brunch,"2 Merritt Street, St. Catharines, NAMER L2T 1J3"
Cinnabon (Vansickle),New,Bakery,"420 Vansickle Rd, St. Catharines, ON L2S 0C7"
Monster Cupcakes (Vansickle),New,Desserts,"420 Vansickle Rd, St. Catharines, ON L2S 0C7"
Amaya Indian Street Food (Vansickle),New,Indian,"420 Vansickle Rd, St. Catharines, ON L2S 0C7"
Cora Déjeuners et Diners  (St. Catharines),4.3,Breakfast and brunch,"210 Glendale Avenue B3, Saint Catharine'S, ON L2T 3Y6"
Petro-Canada (7950 McLeod Road),New,Everyday Essentials,"7950 Mcleod Road, Niagara Falls, ON L2E"
Ghost Kitchen Brands (Vansickle),New,Desserts,"420 Vansickle Rd, St. Catharines, ON L2S 0C7"
Crepe Delicious (Vansickle),New,Desserts,"420 Vansickle Road, St. Catharines, ON L2S 0C7"
Quiznos (Vansickle),New,Sandwiches,"420 Vansickle Rd, St Catharines, ON L2S 0C7"
CoCo Fresh Tea & Juice (St. Catharines),4.9,Bubble tea,"B7-344 Glendale Avenue, St. Catharines, ON L2T 4E3"
Filmy Tadka,3.7,Indian,"8674 Lundy'S Lane, Niagara Falls, NAMER L2H 1H4"
East Izakaya (King St),4.7,Japanese,"129 King St, St Catharines, Ontario L2R"
WIND Japanese and Thai (King St.),4.8,Sushi,"131 King Street, St. Catharines, ON L2R"
Rollzup ice cream,4.8,Ice Cream & Frozen Yogurt,"7572 Lundy'S Ln, Niagara Falls, ON L2H"
Pho Ngon,4.7,Vietnamese,"55 Saint Paul Street West, Saint Catharine'S, ON L2S 2C4"
sushi paradise,4.6,Sushi,"210 Glendale Ave, B1a, St. Catharines, On L2T"
Pizza Pizza (Lake St. and Nihan Dr.),4.7,Pizza,"367 Lake St, 2, St. Catharines, ON L2N"
MA Chinese Cuisine,4.5,Asian,"123 Geneva Street, St. Catharines, ON L2R 4N3"
Passage to India Restaurant,4.4,Indian,"5546 Robinson St, Niagara Falls, ON L2G"
Volcano Pizzeria,4.5,Pizza,"256 East Main Street Welland, On L3b 3w9,"
Three Uncles Korean Chicken (Glenridge),4.4,Korean,"198 Glenridge Avenue, Saint Catharines, ON L2T"
BIG TUNA ASIAN CUISINE,4.5,Asian Fusion,"350 Ontario St, 101, St. Catharines, ON L2R"
KF Tea (Welland),4.8,Asian,"30 Rice Road #Unit 9, Welland, ON L3C 5Y6"
KFC (295 4th ave West),4.7,American,"295 4th Ave West, St. Catharines, ON L2R 6P9"
Pie Guys Pizzeria(130 Highway),New,Pizza,"130 Highway #20 East Fonthill, On L0s 1e6 Canada,"
Wings Block,4.5,Wings,"515 King St, Welland, ON L3B 3K4"
The Fry,4.8,Korean,"6530 Lundy'S Lane, Niagara Falls, ON L2G 1T6"
Landmark Cinemas (St. Catharines),4.2,American,"221 Glendale Ave, St. Catharines, ON L2T 2K9"
Church's Texas Chicken (5846 Drummond Road),4.4,Comfort food,"5846 Drummond Road, Niagara Falls, ON L2G 4L5"
Swiss Chalet (Geneva St),4.5,Burgers,"285 Geneva St, St. Catharines, ON L2N"
Lee's home taste Braised  Chicken（老李黄焖鸡）,4.5,Chinese,"100 Fourth Ave #7, St. Catharines, ON L2S 3Z5"
Little Caesars (Lincoln Street),4.6,Pizza,"300 Lincoln Street, Unit 12, Welland, ON L3B"
Lester D's Reel Diner,4.4,Burgers,"144 Hartzel Rd, St. Catharines, On L2P 1N8"
Fat Cat's Pizza Inc,4.5,Italian,"106 Rockwood Ave, St. Catharines, Ontario L2P"
City South Pizza (Niagara),4.2,Pizza,"7939 Lundy'S Lane, Niagara Falls, ON L2H 1H3"
Hewad Kabab & Shawarma,4.6,Afghan,"55 St Paul St, St. Catharines, On L2R 3M3"
Jack Astor's (400 Ontario St.),4.3,Burgers,"400 Ontario St., St. Catharines, ON L2R"
Gino's Pizza (Glenridge Ave),4.6,Pizza,"224 Glenridge Ave, St Catharines, ON L2T 3J8"
Culinary Dropout Fonthill,4.6,American,"200 Highway 20 East  #6, Pelham, ON L0S"
