Restaurant Name,Rating,Category,Address
7-Eleven (813 Douglas St),4.7,Wings,"813 Douglas St, Victoria, BC V8W 2B9"
McDonald's (Victoria-H),4.4,Burgers,"102 1581 Hillside Avenue, VICTORIA, BC V8T 2C1"
On the Run 43050 | 704 Goldstream Ave,New,Everyday Essentials,"704 Goldstream Avenue, Langford, BC V9B 2X3"
Shell (3393 Douglas St),New,Everyday Essentials,"3393 Douglas Street, Victoria, British Columbia V8X"
Capones Chicken,New,Healthy,"749 View St, Victoria, BC V8W 1J9"
Petro-Canada (3951 Shelbourne Street),New,Everyday Essentials,"3951 Shelbourne Street, Victoria, BC V8N"
Fresh Tandoori Flavour Indian Bistro Sidney,New,Indian,"2395 Beacon Avenue, Sidney, NAMER V8L"
Starbucks (Fort & Foul Bay),5.0,Bakery,"1959 Fort Street, Victoria, BC V8R 1K4"
Ohana Sushi,4.8,Japanese,"513 Fisgard Street, Victoria, BC V8W 1R4"
SHAKE IT Bubble Tea & Fresh Juice,4.8,Asian,"3500 Uptown Boulevard, 101, Victoria, BC V8Z 0B9"
Dairy Queen (2205 Sooke Road),4.7,American,"2205 Sooke Road, Victoria, BC V9B 1W8"
Local Pizza - Victoria,5.0,Pizza,"1644 Hillside Ave, Victoria, BC V8T 2C5"
Snowy Village Victoria,4.3,Desserts,"4071 Shelbourne St #2a, Victoria, BC V8N 5Y1"
Pho Tru (Blanshard St),4.7,Vietnamese,"1012 Blanshard St, Victoria, BC V8T 2M1"
Rise and Grind,4.8,Sandwich,"1294 Broad St, Victoria, BC V8W"
The Poke Lounge,4.9,Japanese,"866 Yates St, Victoria, BC V8W 1L8"
White Spot (Langford),4.6,American,"941 Langford Parkway, Victoria, BC V9B 0A5"
Ooh La La Cupcakes (1391A Hillside Ave),4.8,Cupcakes,"1391a Hillside Ave, Victoria, BC V8T 2B3"
Freshii (1000 Douglas St),4.7,Bowls,"1000 Douglas St, Victoria, BC V8W 1C9"
Bobadog,5.0,Asian fusion,"1108 Blanshard Street, Victoria, BC V8W 2H6"
Chocolats Favoris (Victoria),4.7,Desserts,"1010 Government St, Victoria, BC V8W"
Purple Garden Chinese Restaurant,4.5,Chicken,"1551 Cedar Hill Cross Rd, Victoria, NAMER V8P 2P2"
Morning People Food Truck,4.8,American,"325 Cook St, Victoria, BC V8V 3X5"
Little Sweety Cakes Studio,4.4,Bakery,"732 Broughton Street, Victoria, BC V8W 1E1"
Baan Thai (Oak Bay),4.7,Thai,"104 - 2000 Cadboro Bay Road, Victoria, NAMER V8R 5G5"
Cascadia Liquor Store,5.0,Alcohol,"3671 Uptown Blvd, 101, Saanich, BC V8Z 0B9"
Leopold's Tavern (Victoria),4.6,American,"570 Yates Street, Victoria, BC V8W 1K8"
SH91 Tea (Partea),New,Asian,"1026 Blanshard Street, Victoria, BC V8W 2H5"
SH91 Dessert,New,Chinese,"759 Yates St, Victoria, BC V8V 3M2"
Masala Mantra,New,Indian,"3480 Tillicum Road, Victoria, BC V8Z 4H3"
Phonomenal Vietnamese Cafe,4.5,Vietnamese,"3749 Shelbourne Street, Victoria, BC V8P"
Blue Nile African Restaurant,5.0,African,"612 Head Street #3, Victoria, BC V9A 5S8"
Nautical Nellies Steak & Seafood House,4.8,Steak,"1001 Wharf St, Victoria, BC V8W 1T6"
Szechuan Restaurant,4.3,Chinese,"853 Caledonia Ave, Victoria, BC V8T 4B9"
Golden City Restaurant,3.9,Chinese,"721 Fisgard Street, Victoria, BC V8W 0B8"
Bird Liquor Store,4.9,Alcohol,"4291 Glanford Ave, Victoria, BC V8Z 4B9"
Red Robin (800 Tolmie Ave),4.4,Burgers,"800 Tolmie Ave, Victoria, Bc V8X 3W4"
Curry Club,4.7,Indian,"980 Blanshard Street, Victoria, BC V8W"
NAMASTE INDIAN CUISINE,4.4,Indian,"2950 Douglas Street, 280, Victoria, BC V8T"
Turmeric Indian Cuisine,4.5,Indian,"777 Goldstream Avenue, Victoria, NAMER V9B"
Pagliacci’s,4.5,Pasta,"1011 Broad Street, Victoria, BC V8W 2A1"
Varsha Indian Kitchen,4.7,Indian,"1600 Government Street, Victoria, BC V8W"
