Restaurant Name,Rating,Category,Address
7-Eleven (278 Tecumseh Rd E @ McDougall),4.5,Wings,"278 Tecumseh Rd E @ Mcdougall, Windsor, ON N8X"
Food Basics (880 Goyeau St),4.5,Everyday Essentials,"880 Goyeau St, Windsor, NAMER N9A 1H7"
Starbucks (300 Tecumseh Road East),4.9,American,"300 Tecumseh Rd E, Windsor, ON N8X 5E8"
M&M Food Market (Windsor-Walker),New,Grocery,"4120 Walker Road, Windsor, NAMER N8W3T5"
Burger King #13322 (300 Tecumseh Road East),4.3,American,"300 Tecumseh Rd E, Windsor, ON N8X"
Harvey's (Wyandotte Street W.),4.7,Burgers,"2380 Wyandotte Street W., Windsor, ON N9B"
Wendy's (55 Tecumseh Road West),4.4,Fast food,"55 Tecumseh Road West, Windsor, ON N8X 4Y4"
Sam's Convenience,New,Snacks,"1212 Ouellette Ave, Windsor, ON N8X 1J5"
PetSmart (South Windsor),New,Pet supplies,"3164 Dougal Ave. Windsor, On N9e 1s6 Ca,"
"Walmart (3120 Dougall Ave, Windsor)",New,Grocery,"3120 Dougall Ave, Windsor, Ca, N9e 1s7,"
Dollarama (1279 University Avenue West),New,Toys,"1279 University Avenue West Windsor, On N9a 5t2 Canada,"
Metro (3100 Howard Ave),4.4,Grocery,"3100 Howard Ave, Windsor, NAMER N8X 3Y8"
Cultures (3100 Howard Ave),New,Mexican,"3100 Howard Avenue Windsor, On N8x 3y4,"
Subway (33 University Ave),4.3,American,"33 University Ave, Windsor, ON N9A 7B4"
Little Caesars (300 Tecumseh Road East),4.4,Pizza,"300 Tecumseh Road East, Windsor, ON N8X"
A&W (Dougall Ave),4.5,Fast food,"3090 Dougall Ave, Windsor, ON N9E"
Leonidas Chocolates Café,New,Cafe,"1555 Talbot Rd, LaSalle, ON N9H 2N2"
LCBO (400 University Avenue West),4.6,Alcohol,"400 University Avenue West, Windsor, NAMER N9A5P8"
Gyros & More,4.7,Greek,"300 Tecumseh Rd E, Windsor, On, Ca N8x 5e8, NAMER N8X"
"Sunset Grill (650 Division Rd., Unit C-2)",4.3,Breakfast and brunch,"650 Division Rd. , Unit C-2, Windsor, ON N9E"
Canadian Tire Gas+ (3920 Dougall Ave),New,Snacks,"3920 Dougall Ave., Windsor, ON N9G 1X2"
Church's Texas Chicken (2700 Tecumseh Rd W),4.3,American,"2700 Tecumseh Rd W,  Unit 1C, Windsor, ON N9B 3P9"
Nana's Bakery & Lunch Bar,New,Bakery,"2936 Dominion Boulevard, Windsor, NAMER N9E 2M8"
Arby's (Windsor - Huron Church Rd),4.5,Burgers,"2139 Huron Church Road, Windsor, NAMER N9C 2L8"
Firehouse Subs (1726 Huron Church Rd),4.7,Pizza,"1726 Huron Church Road Windsor, On N9c Canada,"
Pita Pit 3065 Howard ave,4.7,Sandwiches,"3065 Howard Ave, Windsor, ON N8X"
KFC (3100 Howard Ave unit FCU1),New,American,"3100 Howard Ave Unit Fcu1, Windsor, ON N8X"
Taco Bell (300 Tecumseh Rd),4.4,Burritos,"300 Tecumseh Rd, Windsor, ON N8N 3S7"
Shawarma Shack,4.9,Lebanese,"3357 Walker Rd , Unit 1A, Windsor, ON N8W"
Station Restaurant [Windsor],4.3,Comfort food,"1350 Pelletier St, Windsor, ON N9B 1R8"
El Mayor,4.5,Mediterranean,"650 Division Road,  Unit 406,, Windsor, ON N8X"
Matter of Taste,4.7,Soup,"1159 Lauzon Road Windsor, On N8s 3m9 Canada,"
Burrito Bueno,New,Breakfast and brunch,"6082 Tecumseh Rd E, Unit 1, Windsor, ON N8T 1E3"
Himchuli Authentic Asian Cuisines,New,Indian,"1030 Walker Rd, Windsor, ON N8Y 2N5"
Bobby Burrito & Taco,4.5,Mexican,"3580 Tecumseh Road East, Windsor, ON N8W 0A5"
Island Cafe (680 Wyandotte Street East),4.5,Burgers,"680 Wyandotte Street East, Windsor, NAMER N9A"
Stacked Pancake & Breakfast House (Windsor),New,Breakfast and brunch,"2601 Lauzon Parkway Windsor, On N8t 3m4 Canada, 1600,"
Shawarma Hot Spot,4.3,Middle Eastern,"460 Ouellette Ave, Windsor, ON N9A 1B2"
Honey bee ham co,4.8,American,"2885 Lauzon Pkwy, Windsor, NAMER N8T 3H5"
Shawarma Kingdom (Ouellette Ave.),4.5,Middle Eastern,"460 Ouellette Ave, Windsor, On N9A 1B2"
Baskin Robbins (Windsor),4.5,Desserts,"3090 Dougall Ave, Windsor, On N9E"
The Harvest Table Restaurant,4.9,American,"2109 Ottawa Street, Windsor, ON N8Y"
