Restaurant Name,Rating,Category,Address
7-Eleven (355 Henderson & Harbison),4.4,Wings,"355 Henderson & Harbison, Winnipeg, MB R2K"
Al Basha Restaurant & Cafe,New,American,"1566 Pembina Highway, Winnipeg, NAMER R3T 2E9"
Lisbon Bakery,New,Breakfast and brunch,"717 Sargent Ave Winnipeg, Mb R3e 0,"
Dollarama (1114 Main Street),4.6,Toys,"1114 Main Street Winnipeg, Mb R2w 3s2,"
Subway (247 Kennedy St),New,American,"247 Kennedy St, Winnipeg, MB R3C"
Starbucks (Broadway),4.7,Bakery,"305 Broadway Avenue, Winnipeg, MB R3C 3J7"
The Fyxx Espresso Bar,New,Breakfast and brunch,"310 Broadway, Winnipeg, NAMER R3C 1L6"
PetSmart (East Winnipeg),4.8,Pet supplies,"1615 Regent Ave West, Winnipeg, NAMER R2C 5C6"
McDonald's (City Place),4.5,Burgers,"102-H 333 St. Mary Avenue, Winnipeg, MB R3C"
A&W (PC Pembina Hwy),4.4,Fast food,"2012 Pembina Highway, Winnipeg, MB R3T 2G8"
Taco Bell (750 Sherbrook St),4.1,Burritos,"750 Sherbrook St, Winnipeg, MB R3B"
Kabalen Restaurant & Catering Services,New,Filipino,"1485 Inkster Boulevard, Winnipeg, NAMER R2X 1R2"
Booster Juice (Winnipeg Square),4.6,Healthy,"360 Main Street , Unit #39, Winnipeg, Manitoba R3C 3Z3"
Burger King (1033 Notre Dame Ave),4.1,American,"1033 Notre Dame Ave, Winnipeg, MB R3E 0N4"
Quiznos (Kenaston),4.9,Sandwiches,"1639 Kenaston Blvd, Winnipeg, MB R3P 2M4"
Kenaston Wine Market,4.9,Alcohol,"1855a Grant Avenue, Winnipeg, MB R3N"
The Mighty Kiwi Juice Bar and Eatery,4.8,Juice & Smoothies,"709 Corydon Ave, Winnipeg, MB R3M 0W4"
Mr. Sub (2305 McPhillips Street),4.8,Sandwich,"2305 Mcphillips Street, Winnipeg, MB R2V"
Verde Juice Bar,New,Juice & Smoothies,"887 Westminster Ave, Winnipeg, NAMER R3G"
fruit de la vie juice co.,New,Juice & Smoothies,"1853 Portage Ave., Winnipeg, NAMER R3J 0G8"
Aroma,New,Asian fusion,"#2, 1030 Keewatin Street, Winnipeg, NAMER R2R 2E2"
Marcello's Market and Deli,New,Comfort food,"1 Lombard Place, Winnipeg, MB R3B"
Goodies Bake Shop,4.6,Bakery,"1124 Ellice Ave, Winnipeg, Mb R3G"
The Farmer's Cuisine,4.3,Indian,"#105 1042 Keewatin Street, Winnipeg, MB R2R 2E2"
AFV Kitchen - Marion,4.7,African,"523 Marion St, Winnipeg, MB R2J 0J9"
Tim Hortons (646 Archibald Street),4.5,Bakery,"646 Archibald Street, Winnipeg, MB R2J"
Ben & Florentine - Polo Park,4.5,Juice & Smoothies,"1440 Ellice Ave, Winnipeg, MB R3G 0G4"
Dwarf no Cachette Café,4.6,Ramen,"157 Provencher Blvd, Winnipeg, MB R2H 0G2"
A&W (54-333 St. Mary Ave.),4.6,Sandwich,"333 Saint Mary Avenue, Winnipeg, MB R3C 4M7"
Freshii (2-1194 Taylor Ave),4.5,Bowls,"1194 Taylor Ave, Winnipeg, MB R3M"
IHOP (455 Sterling Lyon Parkway),4.6,American,"455 Sterling Lyon Parkway, Winnipeg, MB R3P"
