Restaurant Name,Rating,Category,Address
Wendy's (10365 111th Street),4.7,Fast food,"10365 111th Street, Edmonton, AB T5K 2V3"
McDonald's (Garneau),4.6,Burgers,"8415 109th Street, Edmonton, AB T6E"
Subway (230 10111 104 Ave),New,American,"10111 104 Ave Nw, Edmonton, AB T5J 4X1"
Burger King (13338-137 Avenue),4.3,American,"13338-137 Avenue, Edmonton, AB T5L 2A9"
7-Eleven (11528 - 107 Avenue),4.9,Bakery,"11528 - 107 Avenue, Edmonton, AB T5H"
A&W (82nd Ave Edm & 101 Street),4.6,Fast food,"8115 101 St Nw, Edmonton, AB T6E 1Z2"
Starbucks (10001 107th Street),4.6,Bakery,"10001 107th Street, Edmonton, AB T5J 1J1"
Harvey's (109 St & 104 Ave),4.6,Burgers,"10358 109 St Nw, Edmonton, AB T5J"
Denny's (10803-104 Ave NW),4.2,Breakfast and brunch,"10803-104 Ave Nw, Edmonton, AB T5J 4Z5"
Ricky's All Day Grill (Jasper Ave),4.6,Breakfast and brunch,"10140 109 Street, Edmonton, AB T5J 1M7"
Tim Hortons (Unit # 240 - 10111 104 Avenue Unit 240),4.4,Bakery,"Unit # 240 - 10111 104 Avenue , Unit 240, Edmonton, AB T5J"
Cora Breakfast and Lunch (10041 106 th Street NW),4.6,Breakfast and brunch,"10041 106 Th Street Nw, Edmonton, AB T5J"
A&W (PC 137th),4.4,Fast food,"5011 137th Avenue Ne, Edmonton, AB T5A"
Walmart (5004 98 Ave NW),New,Grocery,"5004 98 Ave Nw, Edmonton, NAMER T6A 0A1"
IHOP (3921 Calgary Trail),4.4,Burgers,"3921 Calgary Trail, Edmonton, AB T6H 4J8"
IHOP (15130 127Th St),4.4,Breakfast and brunch,"15130 127th St, Edmonton, AB T6V"
Watts Cookin,New,Comfort food,"12116 107 St Nw, Edmonton, AB T5G"
Second Cup (7477 - 101st Avenue NW),New,Coffee & tea,"101st Avenue Nw, 7477, Edmonton, AB T6A 3Z5"
Tantalizers African Express,4.1,African,"12424 118 Ave Nw, Edmonton, AB T5L 2K4"
Langano Skies Ethiopian Restaurant,4.5,Ethiopian,"9906 72 Ave Nw, Edmonton, AB T6E 0Z3"
Booster Juice (7436 68 Ave),4.7,Sandwich,"7436 68 Avenue Northwest, Edmonton, NAMER T6E"
CoCo Fresh Tea & Juice (Tamarack),4.9,Bubble tea,"885 Tamarack Way Northwest, Edmonton, T6t 0n3,"
CoCo Fresh Tea & Juice - Windermere,4.7,asian,"1307 Windermere Way Southwest, Edmonton, NAMER T6W 0P1"
Crave Cupcakes,5.0,Desserts,"7929 104 St Nw, Edmonton, AB T6E 4C9"
Taste Blends,4.8,Indian,"9332 34 Avenue Northwest, Edmonton, AB T6E 5X8"
Teacup2Go,4.4,Bubble tea,"2960 Ellwood Drive Sw, Edmonton, NAMER T6X"
Fine Pizza & Donair,4.1,Halal,"14062 127 Street Northwest, Edmonton, AB T6V 1K4"
Pho Hoan Pasteur (West Link),4.8,Vietnamese,"16948 107 Ave Nw, Edmonton, AB T5P 4C3"
Heeretea 東喜茶 Edmonton,4.7,Asian,"11116 - 82 Avenue Nw Garneau, Edmonton, AB T6G"
Sam’s Pizza and Donair,4.7,Pizza,"18236 89 Ave Nw, Edmonton, Ab T5T"
Boba boy (Edmonton),4.1,Bubble tea,"20013 Lessard Road Northwest Edmonton, Ab T6m 0k4 Canada,"
Palabok House,4.7,Filipino,"10525 51 Avenue Northwest, Edmonton, AB T6H 0K5"
Swagat India Bistro & Bar,4.7,Asian fusion,"9737 118 Ave Nw, Edmonton, T5G"
Urban Plant Cafe,4.9,Korean,"18a 9261 34 Ave Nw, Edmonton, AB T6E"
Mikado Restaurant (Westside),4.8,Japanese,"9942 170 Street Northwest, Edmonton, AB T5T"
Menchie's Frozen Yogurt (Garneau),4.6,Desserts,"8705 109 St Nw, Edmonton, Alberta T6G 2L5"
Pizza Unlimited & Fried Chicken,4.6,Pizza,"2386 23 Ave Nw, Edmonton, AB T6T 0R1"
Kingdom of Spices,4.5,Indian,"4547 118 Avenue Northwest, Edmonton, AB T5W 1A8"
Garlic & Greens,4.0,Indian,"5611 23 Avenue Northwest, Edmonton, AB T6L 7B9"
