Restaurant Name,Rating,Category,Address
M&M Food Market (Sudbury-Paris),New,Grocery,"1500 Paris St., Sudbury, NAMER P3E3B5"
Win Fortune,3.7,Chinese,"840 Norte Dame Ave, Sudbury, ON P3A"
Popular Pizza (Sudbury),4.5,Pizza,"82 Cedar Street, Greater Sudbury, NAMER P3E 1A5"
Burger King #3579 (660 Notre Dame Avenue),4.3,American,"660 Notre Dame Avenue, Sudbury, ON P3C 5L2"
Chicken Chicken (52 Elm Street),New,Wings,"52 Elm Street, Sudbury, ON P3C 1S7"
Holy Sweet ft The Cheesecake Factory Bakery (Sudbury),4.7,Desserts,"187 Shaughnessy Street Greater Sudbury, On P3E"
Pizza Pizza (52 Elm St),4.2,Chicken Strips,"52 Elm Street, Sudbury, ON P3C"
Mary Brown's Chicken (Sudbury),4.6,Chicken,"2040 Algonquin Road Greater Sudbury, On P3e 4z6 Canada, 13C,"
PizzaForno (Elgin St),New,Pizza,"84 Elgin Street, Greater Sudbury, NAMER P3E 3N3"
PizzaForno,New,Pizza,"82 Ignatius St, Greater Sudbury, ON P3C 5G3"
Topper's Pizza (King St),4.2,Pizza,"301 King St, Sudbury, ON P3B 2K7"
Tony V's Pizza & Restaurant,4.8,Pizza,"1323 Martindale Rd, Sudbury, ON P3E 4J7"
Rose Apple Asian Cuisine,4.3,Asian,"1875 Paris Street, Sudbury, ON P3E 3C5"
Red Swan Pizza (Sudbury Lasalle),4.0,Pizza,"900 Lasalle Blvd, Greater Sudbury, ON P3A 5W8"
Pizza Hut (121 Loach's Road),4.2,Pizza,"121 Loach'S Road, Sudbury, ON P3E 2P8"
Indian Food Corner,3.3,Asian,"1299 Marcus Drive, Greater Sudbury, NAMER P3B 4K6"
Nexus Pizza,New,Pizza,"1349 Lasalle Blvd, Unit 111, Sudbury, NAMER P3A 1Z2"
Burger & Wings,New,Burgers,"1299 Marcus Dr, Greater Sudbury, ON P3B 4K6"
Don's Pizzeria & Spaghetti Restaurant,4.9,Pizza,"707 Lorne St Sudbury, Ont P3c 4s4 Canada,"
Gus's Restaurant,New,Comfort food,"336 Elm St, Sudbury, ON P3C 1V8"
Sub World,4.5,Vegetarian,"3 Elgin St, Greater Sudbury, ON P3C 5B7"
Food Basics (400 Notre Dame St),4.5,Everyday Essentials,"400 Notre Dame Ave, Greater Sudbury, ON P3C"
Good Lucky168 Chinese restaurant,4.1,Chinese,"40 Elm St, 42, Greater Sudbury, ON P3C 0A2"
Kuppajo Espresso Bar,New,American,"109 Larch Street, Greater Sudbury, ON P3E1B8"
Smoke's Poutinerie (Elm St),4.7,Comfort food,"40 Elm St, Sudbury, On P3C"
Sukhdev Restaurant,4.5,Indian,"390 Elgin Street, Sudbury, P3E"
Peko Peko,New,Asian,"73 Elm Street, Greater Sudbury, NAMER P3C 1R7"
Subway (943 Lorne St),4.3,American,"943 Lorne St, Sudbury, NAMER P3C 4R8"
Kuppajo Espresso Bar(Regent St),New,Coffee & tea,"1500 Regent Street Greater Sudbury, On P3e 3z6 Canada,"
Taco Sol,New,Mexican,"80 Cedar St,, Sudbury, ON P3E 1A5"
