Restaurant Name,Rating,Category,Address
11584 Burger King (6049 Young Street),4.6,American,"6049 Young Street, Halifax, NS B3K"
As You Like it Sandwich Bar (Barrington St),New,Salads,"1791 Barrington Street, Halifax, NAMER B3J 3Y8"
Laurent French Bakery,New,Breakfast and brunch,"2063 Gottingen St, Halifax, NS B3K 3"
McDonald's (Kempt),4.5,Burgers,"3486 Kempt Road, Halifax, NS B3K 4X7"
Starbucks (Garden Stone),4.9,Bakery,"5554 Kaye Street, Halifax, NS B3K 1Y5"
Wendy's (3580 Kempt Road),4.6,Fast food,"3580 Kempt Road, Halifax, NS B3K 4X8"
Subway (3045 Robie St),4.5,American,"3045 Robie St, Halifax, NS B3K 4P6"
Bobar,4.3,Desserts,"6082 Quinpool Rd, Halifax, NS B3L 1A1"
Booster Juice (6140 Young St),4.8,Healthy,6140 Young St Halifax NS B3K 0G2
HARVEST | Clean Eats,4.7,Healthy,"1625 Market St, Halifax, NAMER B3J 2C8"
Big General Store,4.8,Desserts,"6070 South St, Halifax, Nova Scotia B3H"
Dollarama (Young Kempt Centre),4.6,Home & Personal Care,"6061 Young Street Halifax, Ns B3k 2a3,"
Omelet Brunch & Munch,4.1,Breakfast and brunch,"6386 Quinpool Rd, Halifax, NS B3L 4N2"
Kempster's Cookhouse & Eatery,4.4,Breakfast and brunch,"3644 Kempt Rd, Halifax, NS B3K"
Tim Horton's (7010 Mumford Road Building B4),4.6,Bakery,"7010 Mumford Road Building B4, Halifax, NS B3L 2H6"
Rudy's,4.8,Sandwich,"1681 Granville St, Halifax, Ns B3J"
Cafe Taiyaki 52,4.9,Japanese,"2009 Brunswick St, Halifax, Ns B3J"
Lady Hammond Grill,4.5,Sandwiches,"6151 Lady Hammond Road Halifax, B3k 2r9 Canada,"
Bedford Basin Farmers Market,New,American,"397 Bedford Highway, Halifax, NS B3M 2L3"
Julienne's Restaurant and Catering,New,Sandwiches,5595 Fenwick St Halifax NS B3H
Xena's Bread and Butter,4.9,Filipino,"1996 Brunswick Street, Halifax, NAMER B3J 2G7"
HARVEST Clean Eats (Bayers Lake),4.8,Healthy,"120 Susie Lake Crescent, 14, Halifax, NAMER B3S 1C7"
A&W (68 Hogan Court),4.5,Fast food,"68 Hogan Court, Halifax, NS B4b2g2"
