Restaurant Name,Rating,Category,Address
Burger King #4923 (809 Victoria St. North),4.6,American,"809 Victoria St. North, Kitchener, ON N2B"
Pizza Express Stirling,4.3,Pizza,"248 Stirling Avenue South 12a, Kitchener, ON N2M"
Nova Era Bakery #3,4.8,American,"376 King Street East, Kitchener, ON N2G 2L5"
SMK African Foods Inc,New,Deli,"206-C King St E,, Kitchener, ON N2G 2L1"
Galito's Flame Grilled Chicken (Kitchener),New,Comfort food,"29 King Street East, Kitchener, ON N2G 2K4"
Papa John's Pizza (517 Victoria St S),4.7,Pizza,"517 Victoria St S, Kitchener, ON N2M"
Bao Sandwich Bar,4.8,Asian,"62 Balsam Street, Unit #B106, Waterloo, ON N2L"
Burger's Priest (Waterloo),4.6,Burgers,"212 King Street South, Waterloo, ON N2J"
Boardwalk Burgers Fries & Shakes (Waterloo),4.5,Burgers,"65 University Avenue East , Unit 13, Waterloo, ON N2J"
MrBeast Burger (1120 Victoria Street North),4.4,American,"1120 Victoria Street North, Kitchener, ON N2B 3T2"
Pizza Pizza (185 King St. W),4.5,Chicken Strips,"185 King St. West, Kitchener, ON N2G"
Score Pizza (Waterloo),4.7,Pizza,"80 King St S, Waterloo, On N2J 1P5"
Mei King Restaurant,4.5,Chinese,"82 Margaret Ave, Kitchener, ON N2H"
Red Swan Pizza (Kitchener North),4.6,Pizza,"1120 Victoria St N , Unit 1B, Kitchener, ON N2B 3T2"
Top chicken,4.8,Korean,"280 Lester Street, Unit 105, Waterloo, ON N2L 0G2"
Bianca's Pizza,4.5,Pizza,"363 King St N, Waterloo, ON N2J 2Z4"
Topper's Pizza (Highland Rd),4.9,Pizza,"324 Highland Road, Kitchener, ON N2M"
Quick Sandwiches (King St S and Town Square),4.5,Sandwich,"95 King St S, Waterloo, Ontario N2j, Ca, ON N2J"
Later Pizza (Waterloo),4.8,Pizza,"255 King Street North Unit 12, Waterloo, ON N2J 4V2"
Five Star Shawarma and Pizza,4.3,Mediterranean,"585 Weber St N, 4, Waterloo, ON N2V"
Cheez-Us Pizza,4.5,Pizza,"380 King St N, 2, Waterloo, ON N2J 2Z3"
Mary Brown's Chicken (700 Strasburg Road),4.6,Chicken,"700 Strasburg Rd, Kitchener, ON N2E 2M2"
Figaro's Pizza,4.8,Pizza,"90 Weber Street North, Waterloo, ON N2J 3G8"
Three Kretans Greek Restaurant,4.6,Mediterranean,"151 Frederick St, Kitchener, ON N2H 2M2"
Odd Burger (Waterloo),4.6,Vegetarian,"75 King Street South, Waterloo, NAMER N2J 1P2"
Gino's Pizza (Highland Rd & Lawrence Ave),4.6,Pizza,"370 Highland Rd W, Kitchener, ON N2M 5J9"
Church's Texas Chicken (247 King Street North),4.4,Comfort food,"247 King Street North Unit 4, Waterloo, ON N2J 2Y8"
Manna’s Food Express,4.4,Indian,"280 Lester Street, Waterloo, On, N2l 3w5, Unit 112,"
The Works Craft Burgers & Beers (589 Fairway Rd S.),4.1,Burgers,"589 Fairway Rd S, Kitchener, ON N2C 1X4"
Burger Stack,4.8,Burgers,"255 Highview Dr, 3, Kitchener, ON N2N 2K7"
McDonald's (Alpine St & Ottawa Rd),4.3,Burgers,"715 Ottawa Street South, KITCHENER, ON N2E"
Thyme Pizza N Rolls,4.8,Pizza,"540 Westforest Trail, C, Kitchener, ON N2N"
Island Mix Restaurant & Lounge (Kitchener),4.6,Caribbean,"146 King Street West, Kitchener, ON N2G 1A6"
Renegade Chicken (15A - 2960 Kingsway Drive),4.5,Burgers,"15a - 2960 Kingsway Drive, Kitchener, ON N2C"
Momo Japanese Food,4.6,Asian fusion,"140 #6a University Avenue West, Waterloo, NAMER N2L 6J3"
Farah Foods,4.6,Everyday Essentials,"170 University Avenue West , Unit 4, Waterloo, ON N2L"
La Cucina Pizzeria (Kitchener),4.5,Italian,"320 King St W, Kitchener, ON N2G 1B7"
MELTwich Food Co. (Pioneer Park),4.3,Comfort food,"Unit - F101 
123 Pioneer Drive, Kitchener, NAMER N2P 2B4"
Boston Pizza (Bingemans),4.1,Italian,"425 Bingemans Centre Drive, Kitchener, ON N2B 3X7"
Popular Pizza (Waterloo),4.1,Pizza,"330 Phillip St, Unit 4, Waterloo, ON N2L 3W9"
Cheesecake & Desserts (Waterloo),4.3,Desserts,"160 University Ave W, Waterloo, ON N2L 3E9"
Campus Pizza,4.3,Pizza,"160 University Ave W, Waterloo, ON N2L"
Popeyes Louisiana Kitchen (Ottawa St),4.5,American,"725 Ottawa St S, Kitchener, ON N2E"
Harvey's (Westmount Rd W),4.5,Canadian,"80 Westmount Rd West, Kitchener, ON N2M 1R5"
Foodie Fruitie,4.6,Asian,"203 Lester St #7, Waterloo, ON N2L 0B5"
Starbucks (1051 Victoria Street North),4.6,Bakery,"1051 Victoria Street North, Kitchener, ON N2B"
South St. Burger (Ottawa & Fischer-Hallman),4.3,Burgers,"1400 Ottawa St S,  B-19, Kitchener, ON N2E 4E2"
MIZU Braised Chicken Rice 御品黄焖鸡米饭,New,Comfort food,"150 University Avenue West, Waterloo, ON N2L"
Pizza Roma +,4.5,Pizza,"192 Activa Ave, Kitchener, ON N2E"
KFC (1020 Ottawa Street North),4.4,American,"1020 Ottawa Street North, Kitchener, ON N2A 3Z3"
Swiss Chalet (Victoria & Frederick),4.7,Rotisserie Chicken,"1151 Victoria St N, Kitchener, ON N2B"
FLAME HOUSE GRILL & BAR,4.4,Indian,"370 Highland Rd W, Kitchener, ON N2M 5J9"
AD Double Deal Pizza Wings,New,Pizza,"101 Hazelglen Dr, Unit 12, Kitchener, ON N2M"
Food Basics (370 Highland Rd W),4.5,Everyday Essentials,"370 Highland Rd W, Kitchener, NAMER N2M 5J9"
A&W (750 Ottawa St S),4.5,Fast food,"751 Ottawa St S, Kitchener, On N2E"
Wendy's (350 Westmount Road West),4.3,Fast food,"350 Westmount Road West, Kitchener, ON N2M 5C4"
China Taste,4.5,Chinese,"1400 Weber St E Unit B6, Kitchener, ON N2A"
Fat Bastard Burrito (Kitchener),4.3,Tex Mex,"306 King St W, Kitchener, ON N2G 1B7"
Lisboa Bakery & Grill,4.8,Portuguese,"1187 Fischer-Hallman Rd, 609, Kitchener, Ontario N2E"
Hot Wok,4.5,Chinese,"875 Highland Rd. W., Unit A59 Highland Hills Mall, Kitchener, Ontario N2n 2y2, N2M"
Baba Chicken Grill 快宜美,4.7,Chinese,"170 University Ave W, Waterloo, On N2L"
Indo Hakka Corner,4.4,Asian fusion,"324 Highland Rd W, 14, Kitchener, ON N2M 5G2"
KW Grabb-a-Pizza,New,Pizza,"700 Strasburg Rd, Kitchener, ON N2E 2M2"
Yo Sushi,4.7,Japanese,"103 King St W, Kitchener, Ontario N2G"
Panago Pizza (Waterloo),4.8,Fast food,"668 Erb Street, 9, Waterloo, Ontario N2T 2Z7"
Twice the Deal Pizza (8 Bloomingdale Rd N),4.9,Pizza,"8 Bloomingdale Rd N, 2, Kitchener, ON N2K 1A2"
Double Double Pizza & Chicken (347 Erb St),4.7,Pizza,"347 Erb St W, 8, Waterloo, ON N2L 1W4"
Kinkaku Izakaya,4.8,Japanese,"217 King St W, Kitchener, Ontario N2G"
Fresh Burrito (170 University Ave W),4.8,Mexican,"170 University Avenue West, Unit 31, Waterloo, ON N2L 3E9"
Pizza 2 Go,New,Italian,"1077 Weber Street East Kitchener, On N2a 3y5,"
