Restaurant Name,Rating,Category,Address
MrBeast Burger (313 5 Street South),New,American,"328 5 Street South, Lethbridge, Ab T1j 0h3, Canada,"
Burger King (1950 Third Avenue South),4.3,American,"1950 Third Avenue South, Lethbridge, AB T1J 0J6"
Mary Brown's Chicken (1 - 413 Highlands Blvd. W.),4.8,Chicken,"413 Highlands Boulevard West, Lethbridge, NAMER T1J 4X5"
2 For 1 Family Pizza Lethbridge,New,pizza,"1281 3 Ave S, Lethbridge, NAMER T1J 0K2"
Rivaaz Indian Pizza & Cuisine,4.3,Indian,"1020 Mayor Magrath Drive South, Lethbridge, AB T1K 2P8"
Pizza King and Donair,New,Pizza,"2210 7 Avenue South Unit 264, Lethbridge, AB T1J 1M7"
A1 Pizza Lethbridge,4.9,Pizza,"428 13 Street North Lethbridge, Ab T1H"
Red Swan Pizza (Lethbridge),New,Pizza,"3115 26 Ave N #40, Lethbridge, AB T1H 5P4"
South Street Burger (3010 26 Avenue South),New,Sandwiches,"3010 26 Avenue South Lethbridge, Ab T1k 7k8,"
Pizza 73 (417 - 21A St N),4.3,Pizza,"417 21a Street North, Lethbridge, AB T1H 6L6"
Panago Pizza (North Lethbridge),New,Fast food,#30 2667 Scenic Drive North Lethbridge Alberta T1H 7G3
Birdy Famous Fried Chicken Waffles & More (Mayor Magrath Dr. S),New,Comfort food,"1312 Mayor Magrath Drive South, Lethbridge, AB T1K"
Papa John's Pizza (Lethbridge),4.3,Pizza,"487 Mayor Magrath Dr S, Lethbridge, AB T1J 3L8"
Bridge Pizza,New,Pizza,"991 Columbia Boulevard West Lethbridge, Ab T1k 4m5 Canada,"
M&M Food Market (Lethbridge AB),New,Grocery,"225- 12th Street North, Lethbridge, NAMER T1H2G3"
Pizza Hut (1358 Mayor Magrath Drive South),New,Pizza,"1358 Mayor Magrath Drive South, Lethbridge, AB T1K"
New taste of India,4.7,Indian,"310 5 Street South, Lethbridge, NAMER T1J 2B5"
Arby's - Lethbridge,4.1,Sandwich,"216 1 Avenue South Lethbridge, Ab T1j 0a4 Canada,"
McDonald's (Scenic - Lethbridge #2),4.6,Burgers,"217 3 Ave S, Lethbridge, AB T1J 4L6"
Wendy's (230 Scenic Drive South),4.6,Fast food,"230 Scenic Drive South, Lethbridge, AB T1J 4L3"
Taco Bell (West Lethbridge),4.5,Burritos,"188 Columbia Blvd W, Lethbridge, AB T1K 4J4"
Teriyaki Madness (19 Southgate Blvd South),4.3,Asian fusion,"19 Southgate Boulevard South, 20, Lethbridge, AB T1K"
Nori Bento & Udon Park Place,New,Japanese,"501 1 Ave S, Unit P15A, Lethbridge, AB T1J 4L9"
Tacos Made In Mexico,New,Mexican,"610 3 Ave S, Lethbridge, NAMER T1J 0H5"
Modern Chinese,4.8,Chinese,"103 7 St S, Lethbridge, AB T1J 2T1"
Fusion BBQ & Hotpot,4.6,Asian fusion,"1104 Mayor Magrath Dr S, Lethbridge, AB T1K 2P8"
Via Cibo (Lethbridge),4.0,Italian,"1762 3 Avenue South, Lethbridge, AB T1J"
Subway (Lethbridge Towne Sq.),4.0,American,"206 Stafford Drive South, Lethbridge, AB T1J"
Swad Restaurant,4.1,Indian,"1810 3 Avenue South, Lethbridge, NAMER T1J 0L5"
Bread Milk and Honey,New,Breakfast and brunch,"427 5 Ave S
Unit 100, Lethbridge, NAMER T1J 4C9"
Chips & Cheese,4.8,Fast food,"303 6 Street South, Lethbridge, NAMER T1J 2C7"
Denny's (421 Mayor Magrath Dr),4.7,Breakfast and brunch,"421 Mayor Magrath Dr, Lethbridge, AB T1J 3L8"
7-Eleven (680 Columbia Blvd W),4.5,Wings,"680 Columbia Blvd W, Lethbridge, AB T1K 5J9"
"Dairy Queen (516 13th Street North, Lethbridge)",4.8,American,"516 13 St N, Lethbridge, AB T1H 2S4"
Eat More,New,American,"303 6 Street South, Lethbridge, NAMER T1J 2C7"
Blossom Hotpot,New,Chinese,"402 2 Avenue South, Ste 101 Lethbridge, Ab T1j 0c3 Canada,"
Noodle Box (Lethbridge),4.3,Thai,"550 University Drive West Lethbridge, Ab T1j 4v3 Canada, 11,"
Starbucks (DT Mayor Magrath),4.8,Bakery,"1409 Mayor Magrath Dr S, Lethbridge, AB T1K 2R1"
Fatburger (1505 Mayor Magrath Drive S),4.7,Burgers,"1505 Mayor Magrath Drive S, Lethbridge, AB T1K"
Firestone Restaurant & Bar,New,Burgers,"532 Mayor Magrath Drive South, Lethbridge, AB T1J 3M2"
Little Caesars (#5A – 1702 23rd Street North),4.4,Pizza,"1702 23rd Street North Lethbridge, Ab T1h 5b3 Canada,"
IHOP (1818 Mayor Mcgrath Drive South),4.3,Breakfast and brunch,"1818 Mayor Mcgrath Drive South, Lethbridge, AB T1K"
"Marble Slab Creamery (550 University Drive West, Unit 25 )",4.8,Ice Cream & Frozen Yogurt,"550 University Drive West , Unit 25, Lethbridge, AB T1J 4T3"
Wrap it Bun it,New,Canadian,"902 6 St N, Lethbridge, NAMER T1H 1Y2"
Popeyes (1814 Mayor Magrath Dr S),4.7,American,"1814 Mayor Magarth Dr S, Lethbridge, AB T1K 2R5"
Ales & Tales Bar and Lounge,New,American,"1009 Mayor Magrath Drive South, Lethbridge, AB T1K"
Dollarama (Park Place Mall),New,Toys,"501 1 Ave S,  Unit 131, Lethbridge, AB T1J 4L9"
Von Yum,New,European,"902 6 St N, Lethbridge, NAMER T1H 1Y2"
Osmow's Lethbridge,4.7,Comfort food,"1612 Mayor Magrath Dr S, Lethbridge, AB T1K"
Quesada Burritos and Tacos (University Dr),4.6,Mexican,"550 University Dr W , Unit  36, Lethbridge, AB T1J 4T3"
KFC West Lethbridge,4.4,American,"188 Columbia Blvd. West, Lethbridge, AB T1K"
Green Wok,4.7,Chinese,"417 21 A Street North, Lethbridge, AB T1H 6L6"
Natasha,New,European,"902 6 St N, Lethbridge, AB T1H 1Y2"
On the Run 40055 | 4103 - 4th Ave S,New,Everyday Essentials,"4103 4 Avenue South, Lethbridge, AB T1J 4B5"
PetSmart (Lethbridge),New,Retail,"3721 Mayor Magrath Dr. South, Lethbridge, NAMER T1K 8A8"
Beirut Shawarma & Kabab,New,Middle Eastern,"411 2 Avenue South, Lethbridge, NAMER T1J 0H4"
Wiseguy Cheesesteaks (Lethbridge),4.7,Sandwiches,"1762 3 Avenue South Lethbridge, Ab T1j 4y7 Canada,"
"Ricky Ticky Tacos (550 University Drive West, West Lethbridge Towne Centre)",New,Mexican,"550 University Drive West, West Lethbridge Towne Centre, AB T1J 4T3"
Tim Horton's (442 Scenic Dr),4.5,Bakery,"442 Scenic Dr, Lethbridge, AB T1J 4S3"
New York Fries (Park Place),4.7,American,"Unit P15 501 - 1st Ave South, Lethbridge, AB T1J"
Onion Bar & Grill / Flamingo,New,American,"1702 23 Street North, Lethbridge, AB T1H 5B3"
Social Outlaw Grill,New,Burgers,"1818 Mayor Magrath Drive South, Lethbridge, AB T1K"
Legendary Wing King,New,Wings,"1515 Mayor Magrath Drive South, Lethbridge, NAMER T1K 2R4"
Whitbie's Fish & Chips,New,Fish & chips,"866 Heritage Blvd W, Lethbridge, AB T1K"
Jundal Coffee,New,Coffee & tea,"501 1 Ave S A09, Lethbridge, AB T1J 4L9"
Edo Japan -  Park Place Mall,New,Japanese,"501 1 Ave S, Lethbridge, AB T1J 4L9"
Taco Del Mar,4.2,Mexican,"473 41 St S, Lethbridge, AB T1J 5C8"
Tea Bliss,4.4,Asian,"2037 Mayor Magrath Dr S, Lethbridge, AB T1K 2S2"
Umami Shop,New,Japanese,"814 4 Ave S Lethbridge, Ab T1j 0p2 Canada,"
Ace Tea (713 4th Ave S),New,Coffee & tea,"713 4 Avenue South Lethbridge, Ab T1j 0p1 Canada,"
Kung Pao Wok (Park Place Mall),4.4,Chinese,"501 1 Ave S, Lethbridge, Ab T1J"
Mr. Pretzels (Park Place),New,Comfort food,"501 1 Ave S, Lethbridge, Ab T1J"
The Body Shop (First Avenue South Unit 94),New,Personal care,"First Avenue South Unit 94, Lethbridge, NAMER T1J 4L9"
Makisu Sushi Lethbridge,4.4,Japanese,"1517 Mayor Magrath Drive South, Lethbridge, AB T1K 2R4"
Mastermind Toys (Lethbridge),New,Retail,"1250 2a Ave N, Lethbridge, AB T1H 0E3"
Rexall Drug Store (Aquitania Blvd W),New,Home & Personal Care,"20-12 Aquitania Blvd W, Lethbridge, AB T1J"
Thai Express (3010 26 Avenue South),New,Healthy,"3010 26 Avenue South, Lethbridge, NAMER T1K 7K8"
Apna tandoori hut,New,Indian,"1520 3 Avenue South, Lethbridge, AB T1J 0K8"
Lighthouse Japanese Restaurant,4.8,Japanese,"708 3 Avenue South, Lethbridge, AB T1J"
Poke Shack,4.5,Healthy,"708 3 Ave S Lethbridge, Lethbridge T1J"
