Restaurant Name,Rating,Category,Address
Ariyana Middle Eastern Food,4.5,Mediterranean,"396 George St N, Peterborough, Ontario K9H"
The Dirty Burger Company,4.8,Burgers,"211 Hunter Street West, Peterborough, ON K9H"
BrickHouse Craft Burger,4.6,Wings,"123 Simcoe St, Peterborough, Ontario K9H"
Pizza Kollo,New,Pizza,"230 Charlotte Street, Peterborough, NAMER K9J"
Pizza Hut (705 George Street North),4.2,PIzza,"705 George St N, Peterborough, ON K9H 3T1"
Pizza Parlor and Donair (George Street),4.3,Pizza,"304 George Street North, Peterborough, NAMER K9J 3H2"
Burger King #2065 (750 Lansdowne Street West),4.5,American,"750 Lansdowne Street West, Peterborough, ON K9J 1Z3"
Chicken Chicken (91 George Street North),New,Wings,"91 George Street North, Peterborough, ON K9J 3G3"
"Pizza Pizza (91 George St, Peterborough)",3.9,Pizza,"91 George St, Peterbourogh, ON K9J"
Papas Pizza Land,4.4,Pizza,"2695 Marsdale Dr Peterborough, On K9l 1y4 Canada,"
Pizza Wings & Snacks,4.9,American,"1524 Lansdowne St W, Peterborough, On K9J 2A2"
Mary Brown's Chicken (1550 Lansdowne Road),4.4,Chicken,"1550 Lansdowne Street West, Peterborough, NAMER K9J 1Z5"
"Healthy Planet (1-871 Chemong Road, Peterborough)",New,Health & Nutrition Supplements,"871 Chemong Road, Peterborough, NAMER K9H 7R4"
Pizza Nova (908 Landsdowne St W),New,Pizza,"908 Landsdowne St W, Peterborough, ON K9J"
Boston Pizza (Chemong),4.6,Pizza,"1164 Chemong Rd, Peterborough, Ontario K9H"
241 Pizza  (140 Parkhill Rd W),4,N/A,"140 Parkhill Rd W, Peterborough, ON K9H"
M&M Food Market (Peterborough-Chemong),New,Grocery,"A01a-1091 Chemong Rd., Peterborough, NAMER K9H7R8"
Harvey's (Water St),4.4,Burgers,"250 Water St, Peterborough, ON K9H"
Popeyes Louisana Kitchen (828 Chemong Road),4.2,American,"828 Chemong Road, Peterborough, ON K9H"
Smitty's Family Restaurant (Peterborough),New,Sandwiches,"139 George Street North, Peterborough, ON K9J"
Allen Gourmet Coffee & Eatery,5,Coffee & tea,"360 George St N, Peterborough, ON K9H 7E7"
Maple moose pub,4.5,Comfort food,"333 George St North, Peterborough, ON K9h3p9"
Real Thai Cuisine,4.8,Thai,"415 George St N, Peterborough, Ontario K9H 3R4"
Bhojan - The Indian Cuisine & Bar,2.8,Indian,"427 George Street North, Peterborough, NAMER K9H 3R4"
The Black Horse Pub,New,American,"452 George St N, Peterborough, NAMER K9H 3R7"
Brickhouse Grill and Bar (123 Simcoe St),4.6,Comfort food,"123 Simcoe St, Peterborough, ON K9H 2H3"
Wendy's (1124 Chemong Road),3.9,Fast food,"1124 Chemong Road, Peterborough, ON K9J 6X2"
WING HOUSE,4.5,American,"320 Water St, 73, Peterborough, ON K9J 3C7"
Wild Wing - Peterborough Downtown,4.1,Wings,"171 Charlotte St, Peterborough, ON K9J 2T7"
Simply Thai,New,Thai,"360 George Street North Peterborough, K9h 2h6 Canada,"
One Eyed Jack Peterborough,4.6,Comfort food,"116 Lansdowne St E, Peterborough, ON K9J"
Nakhraa (George St),3.7,Indian,"441 George Street North, Peterborough, ON K9H 3R6"
Subway (Market Plaza),3.5,American,"91 George St N, Unit # 3, Peterborough, On K9J"
China Chef,4.6,Chinese,"1079 Clonsilla Avenue Peterborough, On K9j 5y6 Canada,"
Alba Pizzeria,New,Italian,"360 George St N, Peterborough, ON K9H 2H6"
McDonald's (Willowcreek),4.4,Burgers,"400 Lansdowne Street East, Peterborough, ON K9L"
Oasis Mediterranean Grill (OMG),4.4,Middle Eastern,"460 George St N, Peterborough, ON K9H 3R7"
East Side Mario's (Peterborough),4.5,Italian,"933 Lansdowne Street West, Peterborough, ON K9J 1Z5"
Papa John's (198 Lansdowne Street East),4.6,Pizza,"198 Lansdowne St E, Peterborough, On K9J"
Swiss Chalet (Goodfellow Rd & Lansdowne Ave W),4.7,American,"933 Lansdowne St W, Peterborough, ON K9J"
KFC (595 Lansdowne Avenue),4.1,American,"595 Lansdowne Avenue, Peterborough, ON K9J"
Peterborough Desi Cuisine,New,Indian,"304 George Street North, Peterborough, ON K9J 3H2"
Curry Mantra (Peterborough),3.8,Indian,"360 George St N, Peterborough, ON K9H 2H6"
Vik's Lake & George Bistro,New,Breakfast and brunch,"25 George Street North Peterborough, K9j 3e9 Canada,"
Mister Convenience and Balloon Shop,New,Comfort food,"608 Orpington Rd, Peterborough, ON K9J"
Osmow's (Water St),4.5,Mediterranean,"1447 Water Street, Unit 2&3, Peterborough, ON K9L"
Casper,3.7,Indian,"901 Lansdowne St W, Unit B, Peterborough, ON K9J 1Z5"
LCBO (196 Sherbrooke Street),4.8,Alcohol,"196 Sherbrooke Street, Peterborough, NAMER K9J2N3"
Red Lobster  (870 LANSDOWNE STREET W.),4.6,American,"870 Lansdowne Street W., PETERBOROUGH, ON K9J"
WingsUp! (Peterborough),4,Wings,"1135 Lansdowne St W, Peterborough, ON K9J 7M2"
Starbucks (DT Lansdowne & Webber),4.8,Bakery,"841 Rye Street, Peterborough, ON K9J"
A&W (Lansdowne St),4,Burgers,"947 Lansdowne Street West, Peterborough, ON K9J"
Puck 'N Pint Sports Pub,New,Burgers,"871 Chemong Rd, Peterborough, On K9H"
St. Louis Bar & Grill (1911 Lansdowne St West),New,Canadian,"1911 Lansdowne Street West, Peterborough, NAMER K9K 0C9"
Original Matsu Sushi,4.6,Japanese,"733 Park St S Peterborough, Ontario K9J"
Baskin Robbins (908 Lansdowne St. W.),4.8,Desserts,"908 Lansdowne St. W., Peterborough, ON K9J"
Chef Basel Cuisine,New,Breakfast and brunch,"2641 Television Road, Peterborough, ON K9J"
Hanoi House,4.9,Vietnamese,"1040 Lansdowne St W, Peterborough, ON K9J 1Z9"
Tacheena Middle Eastern Cuisine,New,Comfort food,"1123 Water St #5, Peterborough, ON K9H"
Chuck's Roadhouse (Peterborough),4.1,BBQ,"898 Monaghan Rd , Unit 4b, Peterborough, Ontario K9J 5K4"
BOBO TEA,4.9,Asian,"154 Charlotte St, Peterborough, ON K9J 2T8"
Tim Hortons (871-875 Chemong Road),4.1,Donuts,"871-875 Chemong Road, Peterborough, NAMER K9H 5Z5"
Fat Bastard Burrito (645 Lansdowne St.),4.4,Mexican,"645 Lansdowne Street West Peterborough, On K9j 7y5 Canada, 150A,"
Shoeless Joe's Sports Grill (Peterborough),4.1,Burgers,"1135 Lansdowne St W, Peterborough, ON K9J"
Tora Sushi,4.6,Japanese,"172 Charlotte Street, Peterborough, ON K9J"
Hunter Matsu Sushi,4.7,Japanese,"107 Hunter Street East, Peterborough, NAMER K9H"
Jeff Purvey's Fish & Chips (Rubidge St),4.1,Fish & chips,"124 Rubidge St, Peterborough, On K9J 3N4"
