Restaurant Name,Rating,Category,Address
McDonald's (Red Deer),4.0,Burgers,"4840 52 Ave, Red Deer, AB T4N 6Y8"
Starbucks (DT Red Deer Village),4.7,Bakery,"6380 50th Avenue, Red Deer, AB T4N"
Popeyes Louisiana Kitchen (7414 50 Ave Red Deer),4.5,American,"7414 50 Avenue, Red Deer, AB T4P 1X7"
A&W (50th Avenue),4.6,Fast food,"6320 50th Ave, 58, Red Deer, AB T4N"
7-Eleven (3803 40 Ave),4.6,Wings,"3803 40 Ave, Red Deer, AB T4N 2W4"
Tim Hortons (5111 22Nd St Unit 3),4.5,Bakery,"5111 22nd St , Unit 3, Red Deer, AB T4R 2K1"
Burger King (7142 50th Avenue),4.5,American,"7142 50th Avenue, Red Deer, AB T4P"
M&M Food Market (Red Deer-Gaetz Avenue),New,Grocery,"2250 - 50th Avenue, Red Deer, NAMER T4R1W6"
"Dairy Queen (2110, 90 Thorburn Ave)",4.6,American,"2110 90 Thorburn Ave, Red Deer, AB T4N 3Z3"
Arby's - Red Deer,4.7,Sandwich,"6880 50 Avenue, Red Deer, NAMER T4N 4E3"
Little Caesars (6791 50th Ave) - Red Deer,New,Pizza,"6791 50 Avenue #9, Red Deer, AB T4N 4C9"
Mandarin Restaurant BBQ&Grill,4.4,BBQ,"6712 50 Avenue, Red Deer, AB T4P"
Pinch of Spice,New,Vegetarian,"Unit 110, 2 Jewell Street Red Deer, Ab T4p 4g8,"
Pink Bow Restaurant,4.7,Japanese,"6791 50 Avenue, Unit 19, Red Deer, AB T4P"
Wayback Burgers (Red Deer),4.4,Burgers,"2404 50 Avenue Unit 150, Red Deer, NAMER T4R 1M3"
Swiss Chalet (5111-22nd St Unit 8),New,American,"5111-22nd St, Red Deer, AB T4R 2K1"
Denny's (2940 50th Ave),4.6,Breakfast and brunch,"2940 50th Ave, Red Deer, AB T4R 1M4"
Western Pizza,New,Pizza,"5431 43 St, Red Deer, AB T4N 1C8"
The Donut Mill,New,Desserts,"123 Leva Avenue Red Deer County, Ab T4e 1b2 Canada,"
Panago Pizza - 3321 50th Avenue,New,Fast food,"3321 50 Avenue #120,  Red Deer, T4n 3y2 Can,"
Montana's (Red Deer),4.5,Steak,"2004 - 50th Ave, Unit 195, Red Deer, AB T4R 3A2"
Edo Japan -  Gaetz South,4.5,Asian,"3321 50 Ave, Red Deer, AB T4N 3Y2"
Wok Box (Red Deer South),4.4,Thai,"5250 22 Street, Red Deer, NAMER T4R 1W5"
KFC (4834 - 53rd Street),4.3,American,"4834 - 53rd Street, Red Deer, AB T4N 2E8"
The Hideout,New,Comfort food,"411 Lantern Street, Red Deer, AB T4E 0A5"
Wendy's (6781 Gaetz Avenue),4.7,Fast food,"6781 Gaetz Avenue, Red Deer, AB T4N 4C9"
MOXIES (Red Deer),4.2,American,"2828 Gaetz Avenue, Red Deer, AB T4R"
Gangnam & CoCo,4.6,Korean,"148 Leva Avenue, Red Deer, NAMER T4N"
China House,New,Chinese,"8 Conway St #160 Red Deer, Ab T4p 0m9,"
Yummy Noodle,New,Chinese,"6730 Taylor Dr, 530 Red Deer, Ab T4p 1x5,"
Munchies Poutinerie,New,Poutine,"6730 Taylor Drive, Red Deer, , T4p 1k4,"
"Dollarama (4936 53rd Ave, Unit 3)",New,Toys,"4936 53 Ave, Red Deer, AB T4N 5J9"
Canadian Pizza Unlimited (Clearview),4.6,Pizza,"27 Clearview Market Way, 110, Red Deer, AB T4P"
PetSmart (Red Deer),New,Pet supplies,"760,5001 19 St Red Deer, Ab T4r 3r1 Ca,"
Cosmic Pizza & Donair (Red Deer),4.4,Pizza,"3215 49 Ave, Unit 113, Red Deer, AB T4N 0M8"
Pizza Hut (3434 50th Avenue),New,Pizza,"3434 50 Ave, Red Deer, Ab T4N"
Piccolos Pizza and Pasta,3.5,American,"6730 Taylor Dr, Red Deer, NAMER T4P 1K4"
Foodie Bros,New,Korean,"4949 49 St, Red Deer, AB T4N 1V1"
Papa John's (3701 50Th Av #1),4.7,Pizza,"3701 50th Av #1, Red Deer, AB T4N"
Harvey's (5111 - 22nd St),4.0,American,"5111 - 22nd Street, Red Deer, AB T4R 2K1"
Red Swan Pizza (Red Deer - North),4.5,Pizza,"6005 67a St , Unit 130, Red Deer, AB T4P 2Z9"
Subway (206-4900 Molly Bannister Dr),New,American,"206-4900 Molly Bannister Dr, Red Deer, AB T4R"
Indian BBQ and Grill,4.3,Indian,"5431 43 Street, Red Deer, AB T4N 1C8"
Mary Brown's Chicken (6858 50 Ave Unit 2),New,American,"6858 50th Avenue Unit 2 Red Deer, Ab T4n 4e3,"
Quiznos (50th Ave & 60th St),4.4,Sandwiches,"6842 50th Ave. N, Red Deer, AB T4N 4E3"
George's Pizza & Steak House,New,Pizza,"6715 Gaetz Avenue Red Deer, Ab T4n Canada,"
Freshslice Pizza (69 Dunlop St),4.7,Fast food,"69 Dunlop St , Unit 5, Red Deer, Alberta T4R 2H6"
Loaded Pierogi (Red Deer),4.1,Comfort food,"3321 50 Ave, Red Deer, AB T4N 3Y2"
Local Croffle House,New,Asian fusion,"7150 50 Avenue, Red Deer, AB T4N"
Tandoor n' Flame Restaurant & Sweets,4.4,Indian,"4807 50 Ave, 108, Red Deer, AB T4N 4A5"
The Granary Kitchen,New,Breakfast and brunch,"1935 50 Avenue, Red Deer, NAMER T4R 1Z4"
Better Bee Cooking,5.0,Thai,"6842 50 Avenue Unit 6, Red Deer, Ab, T4n 4e3,"
Quality Donair,4.4,Comfort food,"2325 50 Ave, 116, Red Deer, AB T4R 1L2"
Little Caesars (5111 22nd Street) - Red Deer,New,Pizza,"5111 22 Street , Unit C10, Red Deer, AB T4R 2K1"
Red Star Chinese Restaurant,4.6,Asian,"3301 50 Avenue #4 Red Deer, Ab T4N"
Taco Time (Golden West Plaza),4.3,Burritos,"6702 Golden West Avenue, Red Deer, AB T4P 1A8"
BarBurrito: Alberta: Red Deer Clearview,4.6,Mexican,"7 Chambers Avenue #160, Red Deer, AB T4P 0G7"
Chachi's (Bower Place),New,Italian,"Unit 211,
4900 Molly Banister Drive, Red Deer, Alberta T4R 1N9"
Indian Kitchen Bar and Grill,New,Indian,"5018 45 St, Red Deer, NAMER T4N 1K9"
Pizza 73 (4912-43 Street),4.1,Pizza,"4912 43 St, Red Deer, AB T4N 5K6"
Indian Flame & Pizza,New,Indian,"3 Ironside St Unit 130, Red Deer, AB T4R 3G8"
Tiffany's,New,Seafood,"3515 50 Ave, Red Deer, NAMER T4N"
Guac Mexi Grill,4.5,Mexican,"3120-90 Thorburn Ave, Unit 103, Red Deer, Ab, T4p3g4,"
Blaze Pizza (159 Leva Ave),New,American,"159 Leva Avenue, Red Deer, AB T4E 1B9"
Monsieur Wongs,New,Chinese: Cantonese,"3515 50 Avenue , Red Deer, AB T4N"
On the Run 40004 | 4023 Ross St,New,Everyday Essentials,"4023 Ross St, Red Deer, AB T4N 1W5"
Saro's Restaurant,New,Italian,"4914 52 Street, Red Deer, AB T4N"
Pegasus 2 for 1 Pizza,New,Pizza,"4914 52 Street, Red Deer, AB T4N 2C8"
Share-A-Tea Gallon Milk Tea Ltd.,New,Asian,"129 Leva Ave, Red Deer County, AB T4E 1B2"
Share-a-Tea Gallon Milk Tea,New,Asian,"2325 50 Ave, Red Deer, AB T4R 1L2"
Taco Bell (6889 50th Ave),3.8,Burritos,"6889 50th Ave, Red Deer, AB T4P"
Addy's Middle Eastern Cuisine,New,Middle Eastern,"2-3608 50 Ave Red Deer, Ab T4n 3y6 Canada,"
Chef's Hut Shawarma & Donair,New,Middle Eastern,"3020 22 Street #130, Red Deer, NAMER T4R 0H5"
COBS Bread (Southpointe Common),New,Bakery,"2004 50th Ave, 171, Red Deer, AB T4R"
