Restaurant Name,Rating,Category,Address
Subito Sandwich,4.8,Sandwich,"389 Gladstone Ave, Ottawa, ON K2P 0Y9"
Burger King #12882 (199 Montreal Road),4.6,American,"199 Montreal Road, Vanier, ON K1L"
Pizza Pizza (673 West Somerset Street),4.7,Chicken Strips,"673 West Somerset Street, Ottawa, ON K1R"
McDonald's (Elgin St),4.5,Fast food,"252 Elgin St, Ottawa, ON K2P"
SAFI FINE FOODS INC,4.9,Halal,"296 Somerset Street East, Ottawa, ON K1N 6W1"
Starbucks (Kent & Albert),4.9,Bakery,"340 Albert Street, Ottawa, ON K1R 7Y6"
A&W (155 Queen Street),4.4,Fast food,"155 Queen Street, Ottawa, ON K1P"
Harvey's (Bronson & Arlington),4.7,Burgers,"564 Bronson Ave, Ottawa, ON K1R 6K3"
Lusa Bakery,4.8,Modern European,"1111 Wellington Street West Ottawa, On K1Y 2Y6"
Aladdin Bakery (St Laurent & Donald),4.9,Bakery,"1020 St Laurent Blvd, Unit 7, Ottawa, ON K1K 4S2"
La Fiesta Latina,4.6,Mexican,"565 Somerset St W, Ottawa, On K1r, Canada, K1R 5K1"
Kettlemans Bagel (Bank),4.7,Sandwich,"912 Bank St, Ottawa, On K1s 3w6, Canada, ACTIVE K1S 3W6"
New King Shawarma Plus,4.8,Middle Eastern,"205 Bank St, Ottawa, ON K2P"
Zesty Market (280 Elgin St),4.5,Convenience,"280 Elgin St, Ottawa, ON K2P 1M2"
Breakfast by Gabriel's,4.6,Pizza,"100 Metcalfe Street, Ottawa, ON K1P"
Pho Bo Ga King (Somerset),4.5,Thai,"778 Somerset St W, Ottawa, ON K1R"
Prince Ali Bakery,4.9,Middle Eastern,"1600 Walkley Rd, Ottawa, ON k1v6p5"
"Thai Express (50 Rideau Street, Unit FC006)",4.7,Thai,"50 Rideau Street , Unit FC006, Ottawa, ON K1N"
Egg Pops Cafe and Grill,4.6,Breakfast and brunch,"358 Rideau Street Ottawa, On K1n 5y6 Canada,"
GoForSushi,4.6,Japanese: Sushi,"344 Slater St, Ottawa, ON K1R"
Sherwood Market & Deli,4.9,Sandwiches,"111 Sherwood Drive, Ottawa, ON K1Y"
Lollo Salads,4.9,Salads,"60 George St, Ottawa, ON K1N"
Tealive,4.7,Bubble tea,"675 Somerset St W, Ottawa, ON K1R 6P3"
Accacia Fine Pastries & Desserts,4.6,Desserts,"1020 St Laurent Blvd, Ottawa, On K1k 4s2, Canada, Unit 12, K1K 3B4"
Some Coffee & Some Tea,4.7,American,"300 Laurier Avenue West, Ottawa, ON K1A 1J2"
Cora Breakfast and Lunch  (179 Rideau Street),4.5,Breakfast and brunch,"179 Rideau Street, Ottawa, ON K1N"
Dollarama (255 Elgin St),4.6,Toys,"255 Elgin St, Ottawa, NAMER K2P 1L8"
Oat Couture Oatmeal Cafe,4.8,Healthy,"750 Gladstone Avenue, Ottawa, ON K1R 6X5"
MEDITERRANEAN BAKERY AND PIZZA,4.5,American,"2698 Alta Vista Drive, Ottawa, ON K1V"
Sunset Grill (100 Marche Way),4.4,Breakfast and brunch,"100 Marche Way, Ottawa, ON K1S 5J3"
Subway (Montreal Rd),4.7,Sandwich,"161 Montreal Rd, Ottawa, ON K1L 6E4"
Booster Juice (344 Slater Street),New,Healthy,"344 Slater St Unit 22a, Ottawa, NAMER K1R 7Y3"
Tim Hortons (100 Metcalfe Street),4.6,Cafe,"100 Metcalfe Street, Ottawa, NAMER K1P 0A7"
Farhat’s Bakery,4.7,Desserts,"1119 Meadowlands Dr E, Ottawa, ON K2E 6J5"
