restaurant_name,price_range,rating,total_reviews,category,location,province,address
The Flying Pig,$$,4,1300,Canadian (New),vancouver,BC,"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada"
Kingyo,$$,4.4,1100,Japanese,vancouver,BC,"871 Denman Street Vancouver, BC V6G 2L9 Canada"
Miku,$$$,4.4,2200,Japanese,vancouver,BC,"200 Granville Street Suite 70 Vancouver, BC V6C 1S4 Canada"
Kosoo,$$,4.3,88,Korean,vancouver,BC,"1128 Robson Street Vancouver, BC V6E 1B2 Canada"
Dinesty Dumpling House,$$,3.9,928,Chinese,vancouver,BC,"1719 Robson Street Vancouver, BC V6G 1C8 Canada"
Saku,$$,4.4,337,Japanese,vancouver,BC,"1588 Robson Street Vancouver, BC V6G 2G5 Canada"
Saku,$$,4.4,337,Japanese,vancouver,BC,"548 W Broadway Vancouver, BC V5Z 1E9 Canada"
Guu with Garlic,$$,4.3,1000,Japanese,vancouver,BC,"1698 Robson Street Vancouver, BC V6G 1C7 Canada"
Fable Kitchen,$$,4.3,764,Canadian (New),vancouver,BC,"1944 W 4th Avenue Vancouver, BC V6J 1M5 Canada"
Fanny Bay Oyster Bar & Shellfish Market,$$,4.4,749,Seafood,vancouver,BC,"762 Cambie St Vancouver, BC V6B 2P2 Canada"
Sula,$$,4.3,88,Indian,vancouver,BC,"4172 Main Street Vancouver, BC V5V 3P7 Canada"
Phnom Penh,$$,4.2,1600,Cambodian,vancouver,BC,"244 E Georgia Street Vancouver, BC V6A 1Z7 Canada"
Blue Water Cafe,$$$$,4.4,1100,Seafood,vancouver,BC,"1095 Hamilton St Vancouver, BC V6B 5T4 Canada"
Anh and Chi,$$,3.9,619,Vietnamese,vancouver,BC,"3388 Main Street Vancouver, BC V5V 3M7 Canada"
Botanist,$$$,4.3,370,Canadian (New),vancouver,BC,"1038 Canada Place Vancouver, BC V6C 0B9 Canada"
Forage,$$,4.1,699,Canadian (New),vancouver,BC,"1300 Robson Street Vancouver, BC V6E 1C5 Canada"
Twisted Fork,$$,4.2,1100,French,vancouver,BC,"213 Carral Street Vancouver, BC V6B 2J2 Canada"
Happy Noodle House,$$,4.6,81,Dim Sum,vancouver,BC,"630 Davie Street Vancouver, BC V6B 2G5 Canada"
Lupo,$$$,4.3,436,Italian,vancouver,BC,"869 Hamilton Street Vancouver, BC V6B 2R7 Canada"
Kishimoto Japanese Kitchen,$$$,4.4,512,Japanese,vancouver,BC,"2054 Commercial Drive Vancouver, BC V5N 4A9 Canada"
Tendon Kohaku,$$,4.3,91,Japanese,vancouver,BC,"840 Howe Street Suite 190 Vancouver, BC V6Z 2S9 Canada"
