Restaurant_name,Category,Address,Province,Latitude,Longitude,Rating,Review,Sentiment_score,Sentiment
España Restaurant,Spanish,"1118 Denman Street Vancouver, BC V6G 2M8 Canada",BC,49.2880552,-123.1404114,5,the vibe of the place is simply amazing we were seated inside which was so convenient as you can enjoy the atmosphere and stay warm in the cool nights the server was so helpful with his suggestions the food is so tasty full of flavor properly served and you will be waiting for the next bite to indulge on the combination of flavors the dessert is simply prefect not too sweet yet memorable we went late night so there were out of paella on a busy sunday night yet it looked so good and i would definitely recommend giving it a try,0.9708,Good
España Restaurant,Spanish,"1118 Denman Street Vancouver, BC V6G 2M8 Canada",BC,49.2880552,-123.1404114,5,very attentive staff very good food and a wonderful atmosphere had the daily paella and the patatas bravas both were exceptional slightly expensive but definitely worthwhile if youre uncertain ,0.7846,Good
España Restaurant,Spanish,"1118 Denman Street Vancouver, BC V6G 2M8 Canada",BC,49.2880552,-123.1404114,5,"the seafood in the daily paella was so fresh and delicious i thought i would pack some to go as its a portion for 2 but i couldnt stop eating it tinto de verano was exactly the same as i had it in spain i definitely will be coming back to try more dishes
its a romantic date spot especially in the summer
the service was fantastic thank you ladies
see you soon",0.97,Good
España Restaurant,Spanish,"1118 Denman Street Vancouver, BC V6G 2M8 Canada",BC,49.2880552,-123.1404114,5,"food is fantastic and service is great
i love chicharrones so much paella is on point as well paella is good for two people",0.9509,Good
España Restaurant,Spanish,"1118 Denman Street Vancouver, BC V6G 2M8 Canada",BC,49.2880552,-123.1404114,5,"great little place enjoyed the food and the sangria  the paella was quite good and not overly salty like some other places
busy place better make a  reservation before u go",0.9023,Good
Marché Mon Pitou,Cafes,"1387 W 7th Avenue Vancouver, BC V6H 1B8 Canada",BC,49.2654363,-123.135785,5,i ordered a flat white and it was the best coffee ive had so far the food is tasty and the raspberry tart is nice staff are so friendly the cafe is small but it still could cater for around 14 people its a very nice place to have a lunch and coffee in a cozy afternoon,0.8676,Good
Marché Mon Pitou,Cafes,"1387 W 7th Avenue Vancouver, BC V6H 1B8 Canada",BC,49.2654363,-123.135785,1,"we are extremely disappointed with our experience today with the manager of this coffee shop we bought their coffee and canelé the pastry in the picture and got something from the coffee shop next door then picked a outside seat at mon pitou the manager rudely kicked us out because we had something which is not from them placed on the table they must have the sign if they dont allow outside fooddrink but we respected it and moved to  a table of the shop next door he clearly looked down on us he suddenly touched tapped my boyfriends shoulder without asking and interrupted him by the way the canelé tastes bad it seemed old dry and overburned i will never come back here again
today we were able to experience food drink and service of mon pitou and wicked cafe if you were to choose between two we would recommend wicked cafe",-0.7428,Bad
Marché Mon Pitou,Cafes,"1387 W 7th Avenue Vancouver, BC V6H 1B8 Canada",BC,49.2654363,-123.135785,4,the brunch here is exceptional without a doubt the hollandaise sauce is the finest ive ever tasted the ambiance is simply delightful reminiscent of the beautiful southern region of france furthermore the staff are incredibly kind and hospitable if youre in vancouver you simply must come here this is a charming location to enjoy sunday brunch the quality of the ingredients is excellent and the washroom is beautifully designed despite the focus on french cuisine there are also vegan choices available,0.9816,Good
Marché Mon Pitou,Cafes,"1387 W 7th Avenue Vancouver, BC V6H 1B8 Canada",BC,49.2654363,-123.135785,5,"mon pitou is perfection the ambience is so carefully thought out and fun the coffee is spectacular and full of flavor and the food is outstanding you really cant ask for more vancouver is lucky to have a french cafe of this quality

i got the ham and cheese danish and a cortado and couldnt have been more pleased cant wait to come back to try more things the music and atmosphere is so relaxing  ",0.9731,Good
Marché Mon Pitou,Cafes,"1387 W 7th Avenue Vancouver, BC V6H 1B8 Canada",BC,49.2654363,-123.135785,5,the food is always fantastic and the staff are so great my husband and i often stop by for their breakfast sandwiches but their actual brunch is really good pricey but all brunch places are getting to be pricier these days so it isnt really surprising or unexpected  my only complaint is that it feels a bit cramped when it gets busy but it cant be helped given the constraints of the location,0.5809,Good
Kozak Ukraïnian Eatery,Ukrainian,"1 W Cordova Street Vancouver, BC V6C 3N8 Canada",BC,49.2827218,-123.1046125,5,i visited this restaurant several times already and i really like the food and drinks they serve and the service provided in this place the interior is very modern and nice so if you are interested to taste a ukrainian food prepared with some modern flavour then this is one of the best places to go in vancouver  you can also purchase some very nice bread and home made cookies there as well,0.9573,Good
Kozak Ukraïnian Eatery,Ukrainian,"1 W Cordova Street Vancouver, BC V6C 3N8 Canada",BC,49.2827218,-123.1046125,5,"this is the perfect place to go to have a nice dinner with friends the restaurant is busy but not too full reservations available the staff are quite friendly the food is very pleasant and the atmosphere is comfortable

we had the chicken kyiv and cabbage rolls the rolls were juicy and stoodout most

the real showstopper was the bakery so fresh and delicious we really enjoyed the double chocolate chip cookie the pistachio chocolate chip cookie and the babka dark chocolate slice absolutely delightful we will get the full babka loaf for a family special occasion",0.9931,Good
Kozak Ukraïnian Eatery,Ukrainian,"1 W Cordova Street Vancouver, BC V6C 3N8 Canada",BC,49.2827218,-123.1046125,5,delicious food and very attentive employees my family and i had a wonderful experience trying the diffrent ukrainian foods they had to offer i would totally recommend the beet salad and the mushroom  chicken crepes overall it was a great experience,0.9359,Good
