Restaurant Name,Rating,Category,Address,,,
Sunrise Market ,4.7,Convenience,"217 Cannon Street East, Hamilton, ON L8L 2A9",,,
MIX+ Food Mart,4.2,Convenience,"215 King Street West Hamilton, On L8p 1a7,",,,
Big Bear Food Mart,4,American,"82 Wellington Street North, Hamilton, ON L8R 1N1",,,
Starbucks ,4.7,Bakery,"112 King Street East, Hamilton, ON L8N 1A8",,,
McDonald's ,4.4,American,"675 Upper James Street, Hamilton, ON L9C 2Z5",,,
Wendy's ,4.5,Fast food,"869 Upper James Street, Hamilton, ON L9C 3A3",,,
Tim Horton's ,4.7,Bakery,"80 John St, Hamilton, ON L8N 2C2",,,
Burger King #2426 ,4.4,American,"210 Centennial Parkway North, Hamilton, ON L8E 4A1",,,
7-Eleven ,4.5,Wings,"622 Upper Wellington St @ Brucedale, Hamilton, ON L9A",,,
ANYTIME CONVENIENCE,4.7,Convenience,"180 Queen Street South, Hamilton, ON L8P",,,
A&W ,4,Fast food,"931 Upper James St, Hamilton, ON L9C 3A6",,,
Subway ,4.6,American,"830 Upper James St, Hamilton, ON L9C",,,
Arha Variety,3.9,Burgers,"527 James Street North, Hamilton, ON L8L 1J6",,,
Sunset Grill ,4.5,Breakfast and brunch,"1299 Barton St., Hamilton, ON L8H 2W1",,,
Jet Cafe,4.5,Coffee & tea,"184 King Street East, Hamilton, ON L8N",,,
Wimpy's Diner ,4.4,Burgers,"875 Main Street West, Hamilton, ON L8S 4R1",,,
Canadian Tire Gas+ ,0,Snacks,"1321 Barton Street East, Hamilton, ON L8H 2V4",,,
Booster Juice ,5,Healthy,"1400 Upper James Street, Hamilton, ON L9B",,,
Taste of Lagos,4,Steak,"54 James St N, Hamilton, ON L8R 2K1",,,
On the Run 42366 ,0,Everyday Essentials,"1160 Fennell Ave. E., HAMILTON, ON L8T 1S5",,,
Golden Griddle ,4.8,Breakfast and brunch,"1119 Fennell Ave E, Hamilton, on L8T 1S2",,,
Walmart ,0,Grocery,"675 Upper James St,  Hamilton, Toronto, Ca, L9c 2z5,",,,
Hasty Market ,0,Snacks,"180 Kenilworth Avenue North, Hamilton, ON L8H 4S1",,,
Starbucks ,4.9,Cafe,"1260 Rymal Road East, Hamilton, NAMER L8W 3",,,
Metro ,4.5,Grocery,"1161 Barton St E, Hamilton, ON L8H",,,
Sunnyside Grill,4.7,Breakfast & Brunch,"930 Upper Paradise Rd, 15, Hamilton, ON L9B 2N1",,,
Cora Breakfast and Lunch ,4.1,Breakfast and brunch,"1400 Upper James St. , Unit # 10, Hamilton, ON L9B",,,
Denny's Canada ,4.1,Breakfast and brunch,"560 Centennial Parkway North, Hamilton, ON L8E 0G2",,,
Stacked Pancake & Breakfast House ,4.4,Breakfast and brunch,"140 Highway 8, Stoney Creek, ON L8G 1C2",,,
Paradise Grill,4.8,BBQ,"930 Upper Paradise Road Hamilton, On L9B",,,
Stacked Pancake & Breakfast House ,4.4,Breakfast and brunch,"1717 Main Street West Hamilton, On L8s 1g5 Canada,",,,
Pür & Simple ,4.8,Breakfast and brunch,"737 Golf Links Rd, Hamilton, ON L9K 1L5",,,
Real Fruit Bubble Tea ,4.7,Bubble tea,"999 Upper Wentworth Street #244, Hamilton, Ontario L8V",,,
Presotea ,4.7,Juice & Smoothies,"1037 King St W, Hamilton, ON L8S 1L6",,,
Sweet Jesus ,4.7,Ice Cream & Frozen Yogurt,"999 Upper Wentworth St, Hamilton, ON L9A 4X5",,,
Dairy Queen ,4.8,American,"1015 Golf Links Rd, Hamilton, ON L9K",,,
Marble Slab Creamery ,4.9,Ice cream & frozen yogurt,"73 Wilson Street West, 27D, Ancaster, ON L9G",,,
Little Caesars ,4.8,Pizza,"2273 Rymal Road, Stoney Creek, ON L8J",,,
Toronto Pho ,4.7,Vietnamese,"1070 Stone Church Road East, Unit 24, Hamilton, ON L8W 3K8",,,
Cupcakes,4.9,American,"1050 King Street West, Hamilton, ON L8S",,,
Twins Elephants Thai,4.6,Thai,"989 Fennell Ave E #29, Hamilton, On, L8t 1r1,",,,
Crumbled,4.6,Dessert: Other,"339 Barton St E, Hamilton, ON L8L 2X6",,,
I heart Boba,4.9,Asian,"80 Dundas Street East, ON L0R",,,
Mahal Restaurant,4.3,Indian,"527 Upper Sherman Ave, Hamilton, ON L8V 3L9",,,
Arby's - Hamilton,4.2,Sandwich,"1240 Rymal Road East, Hamilton, NAMER L8W 3N1",,,
Hui Lau Shan 许留山 ,4.6,Dessert: Other,"35 King St E, Hamilton, ON L8N 4A9",,,
Mike's Submarines,4.9,Sandwich,"1050 Upper Gage Ave Hamilton On L8v 5b7 Canada, ON L8T",,,
Mr. Puffs ,4.8,Desserts,"1275 Barton St E, Hamilton, ON L8H",,,
The Burnt Tongue ,5,Comfort food,"11 King Street West, Hamilton, NAMER L9H 1T5",,,
Gino's Pizza ,4.9,Pizza,"640 Mohawk Rd W, 35, Hamilton, ON L9C 1X6",,,
The Cheesecake Factory Bakery by Townhall,4.8,Desserts,"581 Concession Street, Hamilton, L8v 1b2,",,,
Pho Dui Bo ,4.7,Vietnamese,"800 Queenston Road, Stoney Creek, ON L8G",,,
The Hearty Hooligan,4.9,Vegan,"292 Ottawa Street North, Hamilton, ON L8H",,,
The Parlour Dairy Bar,4.5,Ice Cream & Frozen Yogurt,"581 Concession Street, Hamilton, ON L8V 1B2",,,
La Luna ,4.4,Mediterranean,"650 Concession Street, Hamilton, ON L8V 1B8",,,
Bombay Touch,4.7,Indian,"800 Queenston Road, Hamilton, ON L8G 2N4",,,
Royal Pho,4.8,Asian fusion,"1100 Golf Links Rd, Hamilton, NAMER L9K",,,
Chef Martin Sushi,4.9,Japanese,"1048 King Street West, Hamilton, NAMER L8S",,,
Ajio Korean and Japanese Restaurant,4.8,Japanese,"161 King Street East, Hamilton, ON L8N 1B1",,,
Shehnai Restaurant,4.5,Indian,"447 Main St W., Hamilton, Ontario L8P",,,
Chicken Plus Hamilton,4.9,Korean,"1 Wilson Street, Unit 3 Hamilton, On L8r 1c4,",,,
GREENLEAF - South Indian Food,4.3,Indian,"865 Upper James St #2 Hamilton On L9c 3a3 Canada, ON L9A",,,
