Restaurant Name,Rating,Review
Wendy's (10365 111th Street),5,The food met my expectation. The seating area was clean and comfortable. The staff member who helped me was wearing a mask. It was difficult to assess her demeanor but over a nice person. I am happy to recommend this restaurant to my friends and family.
Wendy's (10365 111th Street),2,"It's a Wendy's, their food is good. Better than McDonald's usually. That being said, you're probably wondering: ""Ok so why a 2/5?""

Here's the thing, they miss items in orders rather often (often as in 95% of the orders I've made here have had missing items or been just completely wrong)
Of course, the reason for this issue could be any number of things, it could be point of sale or just lack of coordination or anything else. All I know is that this has not improved with time.

I just want my darn large chocolate frosty, it's on the receipt, there's a spoon in the bag but no frosty to be found.
I don't know what I should expect continually ordering here but I just want the friggin frosty I ordered I mean seriously that's THE item Wendy's is known for, it's printed down on the receipt, it's the only cold thing, it's in a cup as opposed to metallic wrapping the food has. There are infinite opportunities to notice ""hey there's something missing here""

The only reason this isn't a 1/5 is because their food is good.

...
I just want my Frosty man."
Wendy's (10365 111th Street),3,"I love the taste of this food as it tastes like there is some realness in this brand of fast food.  That's not to forget it's still fast food! When it comes to fast food places I choose the establishment similar to making a choice in a dilemma. As far as the atmosphere well, it felt like everyone was in a dilemma and stress was aparent. I think ive had more stress free visits at Wendys considering  that the crowd was less  Conscientious or more hungry."
Wendy's (10365 111th Street),5,"This is the best Wendy's I've ever been to. Incredible. There's a reason why they are rated 4 stars (which is about as high as a fast food chain can get). Fast service, no mistakes, great managers who actually help employees and the food is always hot and fresh. This is a very high volume location and they have their act together. Great job to all the workers here including management and ownership."
Wendy's (10365 111th Street),5,"I been here so many times. I never had a problem. Yeah, there are sometimes homeless people inside, but I don't think it bothers anyone. It doesn't bother me."
McDonald's (Garneau),3,"People were nice, Fast service at the drive thru. My kid had to go to the bathroom, I regret going inside. I took a couple of photos after flushing the toilet because I didn't want to see what I saw there again. I think a restaurant is firstly judged by its bathrooms. Come on guys, it's embarrassing."
McDonald's (Garneau),4,"During the Pandemic, ordered a Big Mac through the Drive Through!  I was craving one!  Overall, service at this restaurant is very good!"
McDonald's (Garneau),5,"I recently visited this McDonald's  and had a great experience. The staff were friendly and attentive, and my food was prepared quickly and accurately.

The restaurant was clean and well-maintained, with plenty of seating available both inside and outside. The ordering process was easy and efficient, and the menu had a good selection of options to choose from.

Overall, I would definitely recommend this McDonald's location to anyone looking for a quick and satisfying meal. Whether you're on the go or looking for a place to sit down and enjoy your food, this restaurant has everything you need."
McDonald's (Garneau),1,"I dont know what the people working there were thinking. How do you keep a straight face to receive the pay check when you cant even fill the half of a large fries. Its called large fries not half fries, if you do not wish to work at mcd then pls just leave stop scamming every customer with ur attitude and ability to giv zero f abt the amount of foods given. Bringing bad reputation to this mcd is what ur doing, good job."
McDonald's (Garneau),1,They dont even give dipping sauce for the chicken nuggets and forgot to bring drinks that we ordered and there's literally soft drink in the mcflurry.
Subway (230 10111 104 Ave),1,"Went to try a rice bowl and ended up witnessing a street person who was quietly sitting suddenly erupt into a huge coughing fit of phlegm and spewing blood. Poor subway artist sandwich girl tries to call security and no one came immediately.  I stuck around and ended up buying the bowl from the blood spattered scene because I felt bad the worker would get fired after she explains to her manager that the customer lost his appetite witnessing the horror show.   I was so hungry that I tried to take a bite of the steak-bowl but after chewing and reflecting on the dark red bbq sauce, I tossed it.

Also the tomatoes and lettuce looked limp and sad.  1 star for her corporate response."
Subway (230 10111 104 Ave),3,Most of the time its alright but lately they have been serving stale bread for there subs. When i take a bite out of a sub i expect to take a bite not naw at it in order to enjoy it like a well done steak. Dissapointed with this location lately.
Subway (230 10111 104 Ave),4,Newest Subway in downtown.  Great new revamp of their logo and signage.  More modern decor.  Good service that was friendly and helpful.  I have visited Subway many times over the years and have always enjoyed the food.  I like the new soda dispenser and the great selection of pop flavours now available.  The store is well lit and clean.
Subway (230 10111 104 Ave),2,"Usually I have no issues with this location - the staff are very friendly and quick. However, I ordered the chicken noodle soup on October 21 and I’m now battling with food poisoning. The chicken seemed a bit off after the first bite, so I didn’t eat anymore of it - only the broth and veggies. Will never get soup or poultry from any Subway location ever again."
Subway (230 10111 104 Ave),4,"It was a fairly decent subway, however they put extra cheese and charged me for it even though I never asked. I would go back again, just be make sure this time they don't do that [ $1.60 for 2 slices of cheese is crazy ]"
Burger King (13338-137 Avenue),5,"We haven't been to Burger King in a very long time, but that is now going to change. The burgers were excellent,  the fries were hot, and there was very little ice in the drink.
We frequented the  ""golden ****""  fast food restaurant and we just assumed that their products were the ones for us. We were wrong. Burger King is now our ""go to"" restaurant."
Burger King (13338-137 Avenue),1,I ordered whopper meal for me and veggie burger for my wife . Whopper was good but veggie burger was totally waste of money and health . Half cooked and taste was so bad.
Burger King (13338-137 Avenue),2,"A disappointing visit. To preface, I hate pickles, so I requested no pickles on my burger. Got pickles anyways. Ask for remake, and they took the pickles off and gave the same sandwich back to me but in a new wrapper. Missed giving me fries for my son’s combo. Not worth the effort to complain to the aloof front counter managers."
Burger King (13338-137 Avenue),5,"Always a great experience at this location. It's definitely a child friendly business and good value for the money.

The food is standard fare for a Burger King but what I feel sets this location apart is the staff who always provide a positive customer service experience.

Highly recommend."
Burger King (13338-137 Avenue),4,Haven't been to Burger King in a long time and was pleasantly surprised. Burgers are still huge (got the whopper) better fries than most places and very nice workers at this location. Not to mention for $11 I couldn't finish my meal so it's good pricing too. Definitely going back!
A&W (82nd Ave Edm & 101 Street),3,"The food is great but sadly I felt so dirty at the window and the humanity from inside the window needed their spirits uplifted. They didn’t seem too happy inside 😞

Love the foods, the root beer, the shakes, the deals and the vibes…usually."
A&W (82nd Ave Edm & 101 Street),5,I still love A & W's breakfast.  I now get the discount. So an All Canadian breakfast with a large coffee. All for under 10 bucks. How could one go wrong? Eggs are always cooked the way you want them to be cooked. After you order grab your coffee and go have a seat they bring your food right to you. Another reason I love this place.
A&W (82nd Ave Edm & 101 Street),1,"If I could give this A&W no stars, I would. I have ordered here many times and the last 3 times I have, they have messed it up so badly. I have severe allergies and have made this clear in every order and still they have messed it up. Genuinely afraid to order from here anymore. I have wasted so much money and Whenever I’ve tried to go back to get a refund there’s never a manager there so nobody is able to help me. Managers are only there during hours where I have class. So overpriced and terrible service. DO NOT ORDER HERE."
A&W (82nd Ave Edm & 101 Street),5,Friendly service and good food. The coffee was very good as well. Nice and clean inside.
A&W (82nd Ave Edm & 101 Street),1,"I stopped in briefly to use the washroom well I was waiting to catch the bus downtown the staff member was very rude to me. I even offered to leave my bags at the front to try and address any unanswered concerns.
She immediately locked the bathroom door. Told me I had to make a purchase to be able to use the washroom. This is not what A&W advertises themselves as. They are supposed to be a family. What kind of family refuses to allow there loyal customers to use the washroom? Very dissatisfied with my interaction with this employee.

Update: the manager came out and rectified the issue immediately once she was made aware of the situation adding a star back 🤍"
Harvey's (109 St & 104 Ave),5,"Honestly, see how hard you guys work and  I just wanna say I really appreciate y’all, and the fresh food that you guys prepare by order. I was watching them handle rude and impatient customers and honestly my heart goes out to y’all. You didn’t conflict, instigate or escalate the situation you handled it all very well. Some people are just so used to the consumer life. Keep smiling and doing what you guys do, I appreciate the quality"
Harvey's (109 St & 104 Ave),2,I'm happy its open 24hrs since I went there 1:30am. Staff was great and the only thing that I don't understand is the dine in situation. Open 24hrs but can't sit and eat your food after a certain time.. that's the only thing I dislike and disagree with. I'll go back one day and around the same time and see if dine in available then if so I'll change the stars to 4 or 5 depending on how I get served.
Harvey's (109 St & 104 Ave),5,"Best Harvey’s in the country. The staff are extremely well trained, helpful, and generous with any toppings you request.

I attribute this to the ownership and management. I’ve been going to this location for over 25 years under the same management. They care about the food quality and customer experience. Best value for breakfast hands down. And no other fast food restaurant offers such a diverse selection of side orders and combo flexibility.

If you love Harvey’s you MUST try this location!"
Harvey's (109 St & 104 Ave),5,"I been going to this location so many years. Its the one around near my work. I have never had a problem here.

How do you have a problem at Harvey's? It's Harvey's, you even get to choose your toppings. If you want more or less toppings, they will do it for you. Every Harvey's I been to. I have never had a problem. The west edmonton mall location, the 170 st location and even when they had one in the home depot on 137. I never once had a problem."
Harvey's (109 St & 104 Ave),4,"Food was tasty, smaller burger than they used to be, but good. Staff were nice, they could clean a bit more in the dining area."
Denny's (10803-104 Ave NW),5,"Came here cuz I was craving diner food. First time at Denny's, and it was awesome! Food was delicious and well-portioned for the price. Their menus are full of variety (drinks/snacks, food, and dessert are all separate) and glad to see that they cater to dietary restrictions. Service was top-notch and everyone was friendly and energetic. (FYI for Americans: they accept Discover Card!) I understand the hype around Denny's. They're open 24 hours, which means you can grab your late night greasy spoon fix. Impressive overall for a franchisee. Definitely come with family or friends."
Denny's (10803-104 Ave NW),5,"I ordered the American slam, cinnamon pancake breakfast and coffee; it was all delicious and, it was all brought out very fast. Vijay was my waiter, he was friendly, diligent and provided service with a smile. Overall, a great meal."
Denny's (10803-104 Ave NW),5,"Everything was excellent. They were accommodating and treat us nicely. Food was also very good, along with our very nice server Tess! :) Would come here again for sure!"
Denny's (10803-104 Ave NW),5,"nice place, not too crowded. great service. thank you to our accommodating server Thess.
had a hearty bfast here.💜"
Denny's (10803-104 Ave NW),5,A great meal this morning at the most reliable Denny's in town! Great service courtesy of our server Amanda. Will be back soon! Really enjoyed the Bourbon Chicken Skillet.
Ricky's All Day Grill (Jasper Ave),5,"I tried their vegetarian burger option, which had blonde based patty and let me be honest with you guy the burger was basically as big as my face 😂, that thing was huge
The other thing that really caught my attention was patty mixed with veggies …. Most of the other plant-based patties that I have tried are mostly juicy but this one was a little bit crispy on the outside and then very soft on the inside and then I also Got tomato soup on the side ….. it was tasty too
shout out!!!!!! to my server SARAH she was super nice……… and the overall atmosphere was really good. Highly recommended 8.5/10"
