Restaurant_Name,Category,Address,Province,Latitude,Longitude,Rating,Review,Sentiment_score,Sentiment
Wendy's (10365 111th Street),Fast food,"10365 111th Street, Edmonton, AB T5K 2V3",AB,53.5458777,-113.5109136,5,the food met my expectation the seating area was clean and comfortable the staff member who helped me was wearing a mask it was difficult to assess her demeanor but over a nice person i am happy to recommend this restaurant to my friends and family,0.9607,Good
Wendy's (10365 111th Street),Fast food,"10365 111th Street, Edmonton, AB T5K 2V3",AB,53.5458777,-113.5109136,2,"its a wendys their food is good better than mcdonalds usually that being said youre probably wondering ok so why a 25

heres the thing they miss items in orders rather often often as in 95 of the orders ive made here have had missing items or been just completely wrong
of course the reason for this issue could be any number of things it could be point of sale or just lack of coordination or anything else all i know is that this has not improved with time

i just want my darn large chocolate frosty its on the receipt theres a spoon in the bag but no frosty to be found
i dont know what i should expect continually ordering here but i just want the friggin frosty i ordered i mean seriously thats the item wendys is known for its printed down on the receipt its the only cold thing its in a cup as opposed to metallic wrapping the food has there are infinite opportunities to notice hey theres something missing here

the only reason this isnt a 15 is because their food is good


i just want my frosty man",0.1966,Bad
Wendy's (10365 111th Street),Fast food,"10365 111th Street, Edmonton, AB T5K 2V3",AB,53.5458777,-113.5109136,3,i love the taste of this food as it tastes like there is some realness in this brand of fast food  thats not to forget its still fast food when it comes to fast food places i choose the establishment similar to making a choice in a dilemma as far as the atmosphere well it felt like everyone was in a dilemma and stress was aparent i think ive had more stress free visits at wendys considering  that the crowd was less  conscientious or more hungry,0.8198,Good
Wendy's (10365 111th Street),Fast food,"10365 111th Street, Edmonton, AB T5K 2V3",AB,53.5458777,-113.5109136,5,this is the best wendys ive ever been to incredible theres a reason why they are rated 4 stars which is about as high as a fast food chain can get fast service no mistakes great managers who actually help employees and the food is always hot and fresh this is a very high volume location and they have their act together great job to all the workers here including management and ownership,0.9287,Good
Wendy's (10365 111th Street),Fast food,"10365 111th Street, Edmonton, AB T5K 2V3",AB,53.5458777,-113.5109136,5,i been here so many times i never had a problem yeah there are sometimes homeless people inside but i dont think it bothers anyone it doesnt bother me,0.5613,Good
McDonald's (Garneau),Burgers,"8415 109th Street, Edmonton, AB T6E",AB,53.5207809,-113.5115079,3,people were nice fast service at the drive thru my kid had to go to the bathroom i regret going inside i took a couple of photos after flushing the toilet because i didnt want to see what i saw there again i think a restaurant is firstly judged by its bathrooms come on guys its embarrassing,-0.4257,Bad
McDonald's (Garneau),Burgers,"8415 109th Street, Edmonton, AB T6E",AB,53.5207809,-113.5115079,4,during the pandemic ordered a big mac through the drive through  i was craving one  overall service at this restaurant is very good,0.4927,Bad
McDonald's (Garneau),Burgers,"8415 109th Street, Edmonton, AB T6E",AB,53.5207809,-113.5115079,5,"i recently visited this mcdonalds  and had a great experience the staff were friendly and attentive and my food was prepared quickly and accurately

the restaurant was clean and wellmaintained with plenty of seating available both inside and outside the ordering process was easy and efficient and the menu had a good selection of options to choose from

overall i would definitely recommend this mcdonalds location to anyone looking for a quick and satisfying meal whether youre on the go or looking for a place to sit down and enjoy your food this restaurant has everything you need",0.9833,Good
McDonald's (Garneau),Burgers,"8415 109th Street, Edmonton, AB T6E",AB,53.5207809,-113.5115079,1,i dont know what the people working there were thinking how do you keep a straight face to receive the pay check when you cant even fill the half of a large fries its called large fries not half fries if you do not wish to work at mcd then pls just leave stop scamming every customer with ur attitude and ability to giv zero f abt the amount of foods given bringing bad reputation to this mcd is what ur doing good job,-0.2865,Bad
McDonald's (Garneau),Burgers,"8415 109th Street, Edmonton, AB T6E",AB,53.5207809,-113.5115079,1,they dont even give dipping sauce for the chicken nuggets and forgot to bring drinks that we ordered and theres literally soft drink in the mcflurry,0.0,Bad
Subway (230 10111 104 Ave),American,"10111 104 Ave Nw, Edmonton, AB T5J 4X1",AB,53.5456285,-113.4946715,1,"went to try a rice bowl and ended up witnessing a street person who was quietly sitting suddenly erupt into a huge coughing fit of phlegm and spewing blood poor subway artist sandwich girl tries to call security and no one came immediately  i stuck around and ended up buying the bowl from the blood spattered scene because i felt bad the worker would get fired after she explains to her manager that the customer lost his appetite witnessing the horror show   i was so hungry that i tried to take a bite of the steakbowl but after chewing and reflecting on the dark red bbq sauce i tossed it

also the tomatoes and lettuce looked limp and sad  1 star for her corporate response",-0.8945,Bad
Subway (230 10111 104 Ave),American,"10111 104 Ave Nw, Edmonton, AB T5J 4X1",AB,53.5456285,-113.4946715,3,most of the time its alright but lately they have been serving stale bread for there subs when i take a bite out of a sub i expect to take a bite not naw at it in order to enjoy it like a well done steak dissapointed with this location lately,0.8934,Good
Subway (230 10111 104 Ave),American,"10111 104 Ave Nw, Edmonton, AB T5J 4X1",AB,53.5456285,-113.4946715,4,newest subway in downtown  great new revamp of their logo and signage  more modern decor  good service that was friendly and helpful  i have visited subway many times over the years and have always enjoyed the food  i like the new soda dispenser and the great selection of pop flavours now available  the store is well lit and clean,0.9798,Good
Subway (230 10111 104 Ave),American,"10111 104 Ave Nw, Edmonton, AB T5J 4X1",AB,53.5456285,-113.4946715,2,usually i have no issues with this location  the staff are very friendly and quick however i ordered the chicken noodle soup on october 21 and im now battling with food poisoning the chicken seemed a bit off after the first bite so i didnt eat anymore of it  only the broth and veggies will never get soup or poultry from any subway location ever again,-0.5584,Bad
Subway (230 10111 104 Ave),American,"10111 104 Ave Nw, Edmonton, AB T5J 4X1",AB,53.5456285,-113.4946715,4,it was a fairly decent subway however they put extra cheese and charged me for it even though i never asked i would go back again just be make sure this time they dont do that  160 for 2 slices of cheese is crazy ,-0.2263,Bad
Burger King (13338-137 Avenue),American,"13338-137 Avenue, Edmonton, AB T5L 2A9",AB,53.5999637,-113.553132,5,"we havent been to burger king in a very long time but that is now going to change the burgers were excellent  the fries were hot and there was very little ice in the drink
we frequented the  golden   fast food restaurant and we just assumed that their products were the ones for us we were wrong burger king is now our go to restaurant",0.2263,Bad
Burger King (13338-137 Avenue),American,"13338-137 Avenue, Edmonton, AB T5L 2A9",AB,53.5999637,-113.553132,1,i ordered whopper meal for me and veggie burger for my wife  whopper was good but veggie burger was totally waste of money and health  half cooked and taste was so bad,-0.8867,Bad
Burger King (13338-137 Avenue),American,"13338-137 Avenue, Edmonton, AB T5L 2A9",AB,53.5999637,-113.553132,2,a disappointing visit to preface i hate pickles so i requested no pickles on my burger got pickles anyways ask for remake and they took the pickles off and gave the same sandwich back to me but in a new wrapper missed giving me fries for my sons combo not worth the effort to complain to the aloof front counter managers,-0.8457,Bad
Burger King (13338-137 Avenue),American,"13338-137 Avenue, Edmonton, AB T5L 2A9",AB,53.5999637,-113.553132,5,"always a great experience at this location its definitely a child friendly business and good value for the money

the food is standard fare for a burger king but what i feel sets this location apart is the staff who always provide a positive customer service experience

highly recommend",0.9497,Good
Burger King (13338-137 Avenue),American,"13338-137 Avenue, Edmonton, AB T5L 2A9",AB,53.5999637,-113.553132,4,havent been to burger king in a long time and was pleasantly surprised burgers are still huge got the whopper better fries than most places and very nice workers at this location not to mention for 11 i couldnt finish my meal so its good pricing too definitely going back,0.9529,Good
7-Eleven (11528 - 107 Avenue),Bakery,"11528 - 107 Avenue, Edmonton, AB T5H",AB,53.5515995,-113.5207929,5,"the best shawarma ive ever had the chabati was newly baked less than an hour before it was so perfectly light and fresh they also served a delicious soup as an appetizer words cannot describe how tasty this soup is

service was fast and friendly plus the place has a positive vibe
im definitely going back again and again to try everything on the menu every plate i saw come out of the kitchen looked amazing and all with generous portions

i went here at 1am on a saturday nightsunday morning and theyre open until 2 if you need some late night food go here first you wont regret it",0.9877,Good
7-Eleven (11528 - 107 Avenue),Bakery,"11528 - 107 Avenue, Edmonton, AB T5H",AB,53.5515995,-113.5207929,5,"arrived for dinner with my family that has never had somalian food we ordered goat lamb and chicken combos the food was excellent the service was excellent the gentleman showed us the different options with the combos and was attentive to our needs
the food was fresh and very delicious it was authentic and the spaghetti took me back to my childhood days where i lived in a community with somali familys and always loved their spaghetti and their chapati was made to order and excellent
i will be coming back and bringing my family and friends",0.9761,Good
7-Eleven (11528 - 107 Avenue),Bakery,"11528 - 107 Avenue, Edmonton, AB T5H",AB,53.5515995,-113.5207929,5,the food was good they are open till 2am parking at the side of the building,0.4404,Bad
7-Eleven (11528 - 107 Avenue),Bakery,"11528 - 107 Avenue, Edmonton, AB T5H",AB,53.5515995,-113.5207929,5,its a beautiful place to eat from good costumer service very positive place good food too,0.9273,Good
7-Eleven (11528 - 107 Avenue),Bakery,"11528 - 107 Avenue, Edmonton, AB T5H",AB,53.5515995,-113.5207929,1,came in here to enjoy a coffie at a cafe they dont have coffie waiting to order food some lady who cant speak english with terrible service ignored us shes talking on the phone walking around not providing service we have been here for like 30 minutes very poor service its shameful such neglect of paying customers we had to just leave  o yea its called a cafe but they dont have coffie weird over all bad experience waited for way to long no food no english speaking staff not good service    ,-0.9511,Bad
A&W (82nd Ave Edm & 101 Street),Fast food,"8115 101 St Nw, Edmonton, AB T6E 1Z2",AB,53.5177223,-113.4908454,3,"the food is great but sadly i felt so dirty at the window and the humanity from inside the window needed their spirits uplifted they didnt seem too happy inside 

love the foods the root beer the shakes the deals and the vibesusually",-0.5627,Bad
A&W (82nd Ave Edm & 101 Street),Fast food,"8115 101 St Nw, Edmonton, AB T6E 1Z2",AB,53.5177223,-113.4908454,5,i still love a  ws breakfast  i now get the discount so an all canadian breakfast with a large coffee all for under 10 bucks how could one go wrong eggs are always cooked the way you want them to be cooked after you order grab your coffee and go have a seat they bring your food right to you another reason i love this place,0.765,Good
A&W (82nd Ave Edm & 101 Street),Fast food,"8115 101 St Nw, Edmonton, AB T6E 1Z2",AB,53.5177223,-113.4908454,1,if i could give this aw no stars i would i have ordered here many times and the last 3 times i have they have messed it up so badly i have severe allergies and have made this clear in every order and still they have messed it up genuinely afraid to order from here anymore i have wasted so much money and whenever ive tried to go back to get a refund theres never a manager there so nobody is able to help me managers are only there during hours where i have class so overpriced and terrible service do not order here,-0.929,Bad
A&W (82nd Ave Edm & 101 Street),Fast food,"8115 101 St Nw, Edmonton, AB T6E 1Z2",AB,53.5177223,-113.4908454,5,friendly service and good food the coffee was very good as well nice and clean inside,0.9419,Good
A&W (82nd Ave Edm & 101 Street),Fast food,"8115 101 St Nw, Edmonton, AB T6E 1Z2",AB,53.5177223,-113.4908454,1,"i stopped in briefly to use the washroom well i was waiting to catch the bus downtown the staff member was very rude to me i even offered to leave my bags at the front to try and address any unanswered concerns
she immediately locked the bathroom door told me i had to make a purchase to be able to use the washroom this is not what aw advertises themselves as they are supposed to be a family what kind of family refuses to allow there loyal customers to use the washroom very dissatisfied with my interaction with this employee

update the manager came out and rectified the issue immediately once she was made aware of the situation adding a star back ",-0.2928,Bad
Harvey's (109 St & 104 Ave),Burgers,"10358 109 St Nw, Edmonton, AB T5J",AB,53.5458168,-113.5089218,5,honestly see how hard you guys work and  i just wanna say i really appreciate yall and the fresh food that you guys prepare by order i was watching them handle rude and impatient customers and honestly my heart goes out to yall you didnt conflict instigate or escalate the situation you handled it all very well some people are just so used to the consumer life keep smiling and doing what you guys do i appreciate the quality,0.933,Good
Harvey's (109 St & 104 Ave),Burgers,"10358 109 St Nw, Edmonton, AB T5J",AB,53.5458168,-113.5089218,2,im happy its open 24hrs since i went there 130am staff was great and the only thing that i dont understand is the dine in situation open 24hrs but cant sit and eat your food after a certain time thats the only thing i dislike and disagree with ill go back one day and around the same time and see if dine in available then if so ill change the stars to 4 or 5 depending on how i get served,-0.8248,Bad
Harvey's (109 St & 104 Ave),Burgers,"10358 109 St Nw, Edmonton, AB T5J",AB,53.5458168,-113.5089218,5,"best harveys in the country the staff are extremely well trained helpful and generous with any toppings you request

i attribute this to the ownership and management ive been going to this location for over 25 years under the same management they care about the food quality and customer experience best value for breakfast hands down and no other fast food restaurant offers such a diverse selection of side orders and combo flexibility

if you love harveys you must try this location",0.9802,Good
Harvey's (109 St & 104 Ave),Burgers,"10358 109 St Nw, Edmonton, AB T5J",AB,53.5458168,-113.5089218,5,"i been going to this location so many years its the one around near my work i have never had a problem here

how do you have a problem at harveys its harveys you even get to choose your toppings if you want more or less toppings they will do it for you every harveys i been to i have never had a problem the west edmonton mall location the 170 st location and even when they had one in the home depot on 137 i never once had a problem",0.8091,Good
Harvey's (109 St & 104 Ave),Burgers,"10358 109 St Nw, Edmonton, AB T5J",AB,53.5458168,-113.5089218,4,food was tasty smaller burger than they used to be but good staff were nice they could clean a bit more in the dining area,0.9022,Good
Denny's (10803-104 Ave NW),Breakfast and brunch,"10803-104 Ave Nw, Edmonton, AB T5J 4Z5",AB,53.545992,-113.5070038,5,came here cuz i was craving diner food first time at dennys and it was awesome food was delicious and wellportioned for the price their menus are full of variety drinkssnacks food and dessert are all separate and glad to see that they cater to dietary restrictions service was topnotch and everyone was friendly and energetic fyi for americans they accept discover card i understand the hype around dennys theyre open 24 hours which means you can grab your late night greasy spoon fix impressive overall for a franchisee definitely come with family or friends,0.9825,Good
Denny's (10803-104 Ave NW),Breakfast and brunch,"10803-104 Ave Nw, Edmonton, AB T5J 4Z5",AB,53.545992,-113.5070038,5,i ordered the american slam cinnamon pancake breakfast and coffee it was all delicious and it was all brought out very fast vijay was my waiter he was friendly diligent and provided service with a smile overall a great meal,0.8979,Good
Denny's (10803-104 Ave NW),Breakfast and brunch,"10803-104 Ave Nw, Edmonton, AB T5J 4Z5",AB,53.545992,-113.5070038,5,everything was excellent they were accommodating and treat us nicely food was also very good along with our very nice server tess  would come here again for sure,0.9508,Good
Denny's (10803-104 Ave NW),Breakfast and brunch,"10803-104 Ave Nw, Edmonton, AB T5J 4Z5",AB,53.545992,-113.5070038,5,"nice place not too crowded great service thank you to our accommodating server thess
had a hearty bfast here",0.2514,Bad
Denny's (10803-104 Ave NW),Breakfast and brunch,"10803-104 Ave Nw, Edmonton, AB T5J 4Z5",AB,53.545992,-113.5070038,5,a great meal this morning at the most reliable dennys in town great service courtesy of our server amanda will be back soon really enjoyed the bourbon chicken skillet,0.9359,Good
Ricky's All Day Grill (Jasper Ave),Breakfast and brunch,"10140 109 Street, Edmonton, AB T5J 1M7",AB,53.5412496,-113.5096212,5,"i tried their vegetarian burger option which had blonde based patty and let me be honest with you guy the burger was basically as big as my face  that thing was huge
the other thing that really caught my attention was patty mixed with veggies  most of the other plantbased patties that i have tried are mostly juicy but this one was a little bit crispy on the outside and then very soft on the inside and then i also got tomato soup on the side  it was tasty too
shout out to my server sarah she was super nice and the overall atmosphere was really good highly recommended 8510",0.9646,Good
Ricky's All Day Grill (Jasper Ave),Breakfast and brunch,"10140 109 Street, Edmonton, AB T5J 1M7",AB,53.5412496,-113.5096212,5,fabulous breakfasts  huge i asked for my hash browns extra crispy and the delivered i had the works omelette super tasty,0.8625,Good
Ricky's All Day Grill (Jasper Ave),Breakfast and brunch,"10140 109 Street, Edmonton, AB T5J 1M7",AB,53.5412496,-113.5096212,3,was quiet which was nice soup was cold but good fishshrimp platter was good   clubhouse was good service was nice,0.9528,Good
Ricky's All Day Grill (Jasper Ave),Breakfast and brunch,"10140 109 Street, Edmonton, AB T5J 1M7",AB,53.5412496,-113.5096212,5,came here for brunch and there was ample seating and the staff here were so nice and personable had such a family restaurant feel to it tons of choices to choose from as well,0.6924,Good
Ricky's All Day Grill (Jasper Ave),Breakfast and brunch,"10140 109 Street, Edmonton, AB T5J 1M7",AB,53.5412496,-113.5096212,3,"i have been coming here for years and it is very good i will definitely come again its good for a couple or a larger group  food was tasty service was fast and courteous although it took a little while longer than expected for the food prices are reasonable i love it that breakfast is available all day had the eggs benedict with spicy chorizo and liked it
february 24 2019
were back for sunday breakfast and enjoyed it although once again we had to wait longer than anticipated  it was busy but it should not have taken almost 45 minutes for our order  today i had the steak and eggs and it was okay the hash browns were mostly cold so was the toast  quality is good and service was friendly and courteous  coffee was warm so  overall it was okay",0.9849,Good
Cora Breakfast and Lunch (10041 106 th Street NW),Breakfast and brunch,"10041 106 Th Street Nw, Edmonton, AB T5J",AB,53.5400481,-113.5023609,5,food was great and service was fast some homeless dude outside kept yelling swear words which kinda dampened the mood but that not coras fault great spot for a good breakfast i had the pancakes and they were huge definitely worth the money compared to some restaurants,0.9741,Good
Cora Breakfast and Lunch (10041 106 th Street NW),Breakfast and brunch,"10041 106 Th Street Nw, Edmonton, AB T5J",AB,53.5400481,-113.5023609,2,"i made an order for delivery this morning  it was made and delivered in a timely fashion the bananamango smoothie was fine but not worth the 700 the major problem was with the blueberry pancakes they had only 78 blueberries each which is very frustrating as the whole purpose of ordering blueberry pancakes is having blueberries in the pancakes so that wasnt great next i stopped before eating even a quarter of one of the three pancakes they did not have the taste or texture of pancakes i can only describe it as what i imagine trying to eat a soft sponge would be like completely inedible

its a shame because cora is one of the few places i know of that offers blueberry pancakes and ive enjoyed them before but im honestly not sure if ill ever get the memory of how bad this order was out of my head enough to try them again",-0.8838,Bad
Cora Breakfast and Lunch (10041 106 th Street NW),Breakfast and brunch,"10041 106 Th Street Nw, Edmonton, AB T5J",AB,53.5400481,-113.5023609,5,"brilliant brunch spot in downtown edmonton they are super busy as it is near the entrance of the hotel so they have local and travelling customers

even with the high demand the staff is efficient and provided wellcooked eggs

highly recommend this spot",0.9152,Good
