restaurant_name,price_range,rating,total_reviews,location,province
Woodwork,$$,4.2,172,Edmonton,AB
RGE RD,$$$,4.4,172,Edmonton,AB
BaoBao,$$,4.3,40,Edmonton,AB
Baijiu,$$,4.4,52,Edmonton,AB
Bundok,$$$$,4.5,53,Edmonton,AB
Pip,$$,4.3,172,Edmonton,AB
Meat,$$,4.1,475,Edmonton,AB
Blowers & Grafton,$$,4.1,127,Edmonton,AB
Otto Food and Drink,$$,4.5,75,Edmonton,AB
Cafe Amore Bistro,$$,4.3,143,Edmonton,AB
El Mero Mero Taqueria,$$,4,29,Edmonton,AB
The Lunchbox Diner,$$,4.5,17,Edmonton,AB
Biera,$$,3.9,79,Edmonton,AB
Nongbu Korean Eatery,$$,4.3,53,Edmonton,AB
SugarBowl,$$,4,486,Edmonton,AB
The Common,$$,3.8,167,Edmonton,AB
Bodega Highlands,$$,4.6,55,Edmonton,AB
Black Pearl Seafood Bar-Downtown,$$$,4.2,99,Edmonton,AB
Sabor,$$$,4.2,167,Edmonton,AB
Uccellino,$$$,4.4,82,Edmonton,AB
Hathaway’s Diner,$$,4.5,113,Edmonton,AB
Refinery Grill,$$,3.8,60,Edmonton,AB
The Butternut Tree,$$$$,4.2,41,Edmonton,AB
JOEY Bell Tower,$$,3.9,81,Edmonton,AB
CRAFT Beer Market,$$,3.5,257,Edmonton,AB
OEB Breakfast,$$,4.4,237,Edmonton,AB
Dorinku Tokyo,$$,4.2,191,Edmonton,AB
The Bedouins,$$,4.8,50,Edmonton,AB
Izakaya Tomo,$$,4.4,169,Edmonton,AB
Rockin’ Robyn’s Diner,$$,4.2,177,Edmonton,AB
Tokiwa Ramen,$$,4.2,120,Edmonton,AB
Let’s Grill Sushi & Izakaya,$$,4,43,Edmonton,AB
Dadeo,$$,4,263,Edmonton,AB
Community Taps + Pizza,$$,4.3,8,Edmonton,AB
Sai Woo Garden Restaurant,$$,3.9,52,Edmonton,AB
The People’s Perogy,$$,4.3,32,Edmonton,AB
Hanjan,$$,4.3,115,Edmonton,AB
La Patrona,$$,4.4,108,Edmonton,AB
Glass Monkey,$$,3.8,68,Edmonton,AB
Uncle Ed’s Restaurant,$$,4.2,70,Edmonton,AB
Kiwado Japanese Cuisine,$$,4.2,20,Edmonton,AB
The Next Act,$$,4.2,291,Edmonton,AB
LOFT Thai Eatery,$$,4.3,38,Edmonton,AB
Ruth’s Chris Steak House,$$$$,3.8,111,Edmonton,AB
All Happy Family Restaurant,$$,3.4,109,Edmonton,AB
Double Greeting Wonton House,$$,4.1,59,Edmonton,AB
Northern Chicken,$$,4.1,165,Edmonton,AB
Little Brick,$$,3.9,100,Edmonton,AB
Share,$$$,3.8,10,Edmonton,AB
The Cajun House,$$,4.1,64,Edmonton,AB
Golden Dumpling Restaurant,$,3.7,7,Edmonton,AB
Shanghai 456,$$,3.9,66,Edmonton,AB
Vaticano Cucina,$$,4.2,89,Edmonton,AB
XO Bistro & Bar,$$,4.6,81,Edmonton,AB
Rocky Mountain Icehouse,$$,3.5,74,Edmonton,AB
Misoya,$$,3.8,29,Edmonton,AB
Barbecue King City,$,4.5,6,Edmonton,AB
Panini’s Italian Cucina,$$,4.4,57,Edmonton,AB
Moxies,$$,3.1,47,Edmonton,AB
Bangkok Restaurant,$$,4,22,Edmonton,AB
Seoul Fried Chicken,$$,4,225,Edmonton,AB
Ernest’s,$$,4.4,21,Edmonton,AB
The Underground Tap & Grill,$$,3.6,107,Edmonton,AB
Haus Falkenstein,$$,4.1,25,Edmonton,AB
Bistro Praha,$$,4.1,72,Edmonton,AB
May,$$$,4.4,5,Edmonton,AB
Dagu Rice Noodle,$$,4.3,15,Edmonton,AB
Harvest Room,$$$,4.1,62,Edmonton,AB
Tony’s Pizza & Italian Restaurant,$$,4.1,113,Edmonton,AB
Avila Arepa,$$,3.9,66,Edmonton,AB
Padmanadi Vegetarian Restaurant,$$,4.5,322,Edmonton,AB
Mamenche’s,$$,4,29,Edmonton,AB
Lee House,$$,4.1,31,Edmonton,AB
Native Delights,$,4,9,Edmonton,AB
Calle Mexico,$$,4.5,111,Edmonton,AB
Allegro Italian Kitchen,$$$,4.4,16,Edmonton,AB
Bottega 104,$$$,3.5,43,Edmonton,AB
Blue Truck Barbecue,$$,3.9,21,Edmonton,AB
New Tan Tan,$$,3.8,23,Edmonton,AB
Bar Bricco,$$$,4.6,57,Edmonton,AB
Riverside Bistro,$$,2.7,33,Edmonton,AB
Clementine,$$$,3.8,56,Edmonton,AB
Y-Not Indian,$,4.7,21,Edmonton,AB
Grandma Pizza,$$$$,4.1,16,Edmonton,AB
Big Daddy’s Sandwich,$$,4,21,Edmonton,AB
Sofra Restaurant,$$$,4.2,79,Edmonton,AB
OEB Breakfast,$$,4.2,89,Edmonton,AB
Belgravia Hub,$$,4,33,Edmonton,AB
Asian Express Hot Pot,$$,4.5,52,Edmonton,AB
Bodega Tapas and Wine Bar,$$$,4.1,38,Edmonton,AB
Yo Baba Ukrainian Foods,$$,4.8,4,Edmonton,AB
Noodle Feast,$$,4.3,80,Edmonton,AB
Nara Chicken & Tonkatsu,$$,4,25,Edmonton,AB
Memphis Blues Barbeque House,$$,3.1,61,Edmonton,AB
Nhatrang Vietnamese Restaurant,$$,3.8,24,Edmonton,AB
Thanh Thanh Oriental Noodle House,$$,4.2,89,Edmonton,AB
Tzin Wine & Tapas,$$$,4.4,132,Edmonton,AB
Graze,$$,2.8,4,Edmonton,AB
Dirtbag Café,$$,4.2,20,Edmonton,AB
Pho Tau Bay,$,4.4,86,Edmonton,AB
El Fogón Latino,$$,4.5,21,Edmonton,AB
Sorrentino’s Downtown,$$$,4.1,46,Edmonton,AB
97 Hot Pot,$$,4.2,65,Edmonton,AB
Liz’s HomeStyle Grill,$$,3.8,9,Edmonton,AB
Confederation Lounge,$$$,4.2,40,Edmonton,AB
Frida Urban Taqueria,$$,4.1,15,Edmonton,AB
Take Five,$,4.4,67,Edmonton,AB
Pals Sandwiches,$$,4.6,11,Edmonton,AB
Battista’s Calzone,$,4.6,97,Edmonton,AB
Homefire,$$,3.8,69,Edmonton,AB
The Wokkery Restaurant,$$,3.4,16,Edmonton,AB
Little Bee BBQ HK Cafe,$$,3.7,15,Edmonton,AB
