restaurant_name,price_range,rating,total_reviews,location,province
Woodwork,$$,4.2 ,172,edmonton,AB
RGE RD,$$$,4.4 ,172,edmonton,AB
BaoBao,$$,4.3 ,40,edmonton,AB
Baijiu,$$,4.4 ,52,edmonton,AB
Bundok,$$$$,4.5 ,53,edmonton,AB
Pip,$$,4.3 ,172,edmonton,AB
Meat,$$,4.1 ,475,edmonton,AB
Blowers & Grafton,$$,4.1 ,127,edmonton,AB
Otto Food and Drink,$$,4.5 ,75,edmonton,AB
Cafe Amore Bistro,$$,4.3 ,143,edmonton,AB
El Mero Mero Taqueria,$$,4.0 ,29,edmonton,AB
The Lunchbox Diner,$$,4.5 ,17,edmonton,AB
Biera,$$,3.9 ,79,edmonton,AB
Nongbu Korean Eatery,$$,4.3 ,53,edmonton,AB
SugarBowl,$$,4.0 ,486,edmonton,AB
The Common,$$,3.8 ,167,edmonton,AB
Bodega Highlands,$$,4.6 ,55,edmonton,AB
Black Pearl Seafood Bar-Downtown,$$$,4.2 ,99,edmonton,AB
Sabor,$$$,4.2 ,167,edmonton,AB
Uccellino,$$$,4.4 ,82,edmonton,AB
Hathaway’s Diner,$$,4.5 ,113,edmonton,AB
Refinery Grill,$$,3.8 ,60,edmonton,AB
The Butternut Tree,$$$$,4.2 ,41,edmonton,AB
JOEY Bell Tower,$$,3.9 ,81,edmonton,AB
CRAFT Beer Market,$$,3.5 ,257,edmonton,AB
OEB Breakfast,$$,4.4 ,237,edmonton,AB
Dorinku Tokyo,$$,4.2 ,191,edmonton,AB
The Bedouins,$$,4.8 ,50,edmonton,AB
Izakaya Tomo,$$,4.4 ,169,edmonton,AB
Rockin’ Robyn’s Diner,$$,4.2 ,177,edmonton,AB
Tokiwa Ramen,$$,4.2 ,120,edmonton,AB
Let’s Grill Sushi & Izakaya,$$,4.0 ,43,edmonton,AB
Dadeo,$$,4.0 ,263,edmonton,AB
Community Taps + Pizza,$$,4.3 ,8,edmonton,AB
Sai Woo Garden Restaurant,$$,3.9 ,52,edmonton,AB
The People’s Perogy,$$,4.3 ,32,edmonton,AB
Hanjan,$$,4.3 ,115,edmonton,AB
La Patrona,$$,4.4 ,108,edmonton,AB
Glass Monkey,$$,3.8 ,68,edmonton,AB
Uncle Ed’s Restaurant,$$,4.2 ,70,edmonton,AB
Kiwado Japanese Cuisine,$$,4.2 ,20,edmonton,AB
The Next Act,$$,4.2 ,291,edmonton,AB
LOFT Thai Eatery,$$,4.3 ,38,edmonton,AB
Ruth’s Chris Steak House,$$$$,3.8 ,111,edmonton,AB
All Happy Family Restaurant,$$,3.4 ,109,edmonton,AB
Double Greeting Wonton House,$$,4.1 ,59,edmonton,AB
Northern Chicken,$$,4.1 ,165,edmonton,AB
Little Brick,$$,3.9 ,100,edmonton,AB
Share,$$$,3.8 ,10,edmonton,AB
The Cajun House,$$,4.1 ,64,edmonton,AB
Golden Dumpling Restaurant,$,3.7 ,7,edmonton,AB
Shanghai 456,$$,3.9 ,66,edmonton,AB
Vaticano Cucina,$$,4.2 ,89,edmonton,AB
XO Bistro & Bar,$$,4.6 ,81,edmonton,AB
Rocky Mountain Icehouse,$$,3.5 ,74,edmonton,AB
Misoya,$$,3.8 ,29,edmonton,AB
Barbecue King City,$,4.5 ,6,edmonton,AB
Panini’s Italian Cucina,$$,4.4 ,57,edmonton,AB
Moxies,$$,3.1 ,47,edmonton,AB
Bangkok Restaurant,$$,4.0 ,22,edmonton,AB
Seoul Fried Chicken,$$,4.0 ,225,edmonton,AB
Ernest’s,$$,4.4 ,21,edmonton,AB
The Underground Tap & Grill,$$,3.6 ,107,edmonton,AB
Haus Falkenstein,$$,4.1 ,25,edmonton,AB
Bistro Praha,$$,4.1 ,72,edmonton,AB
May,$$$,4.4 ,5,edmonton,AB
Dagu Rice Noodle,$$,4.3 ,15,edmonton,AB
Harvest Room,$$$,4.1 ,62,edmonton,AB
Tony’s Pizza & Italian Restaurant,$$,4.1 ,113,edmonton,AB
Avila Arepa,$$,3.9 ,66,edmonton,AB
Padmanadi Vegetarian Restaurant,$$,4.5 ,322,edmonton,AB
Mamenche’s,$$,4.0 ,29,edmonton,AB
Lee House,$$,4.1 ,31,edmonton,AB
Native Delights,$,4.0 ,9,edmonton,AB
Calle Mexico,$$,4.5 ,111,edmonton,AB
Allegro Italian Kitchen,$$$,4.4 ,16,edmonton,AB
Bottega 104,$$$,3.5 ,43,edmonton,AB
Blue Truck Barbecue,$$,3.9 ,21,edmonton,AB
New Tan Tan,$$,3.8 ,23,edmonton,AB
Bar Bricco,$$$,4.6 ,57,edmonton,AB
Riverside Bistro,$$,2.7 ,33,edmonton,AB
Clementine,$$$,3.8 ,56,edmonton,AB
Y-Not Indian,$,4.7 ,21,edmonton,AB
Grandma Pizza,$$$$,4.1 ,16,edmonton,AB
Big Daddy’s Sandwich,$$,4.0 ,21,edmonton,AB
Sofra Restaurant,$$$,4.2 ,79,edmonton,AB
OEB Breakfast,$$,4.2 ,89,edmonton,AB
Belgravia Hub,$$,4.0 ,33,edmonton,AB
Asian Express Hot Pot,$$,4.5 ,52,edmonton,AB
Bodega Tapas and Wine Bar,$$$,4.1 ,38,edmonton,AB
Yo Baba Ukrainian Foods,$$,4.8 ,4,edmonton,AB
Noodle Feast,$$,4.3 ,80,edmonton,AB
Nara Chicken & Tonkatsu,$$,4.0 ,25,edmonton,AB
Memphis Blues Barbeque House,$$,3.1 ,61,edmonton,AB
Nhatrang Vietnamese Restaurant,$$,3.8 ,24,edmonton,AB
Thanh Thanh Oriental Noodle House,$$,4.2 ,89,edmonton,AB
Tzin Wine & Tapas,$$$,4.4 ,132,edmonton,AB
Graze,$$,2.8 ,4,edmonton,AB
Dirtbag Café,$$,4.2 ,20,edmonton,AB
Pho Tau Bay,$,4.4 ,86,edmonton,AB
El Fogón Latino,$$,4.5 ,21,edmonton,AB
Sorrentino’s Downtown,$$$,4.1 ,46,edmonton,AB
97 Hot Pot,$$,4.2 ,65,edmonton,AB
Liz’s HomeStyle Grill,$$,3.8 ,9,edmonton,AB
Confederation Lounge,$$$,4.2 ,40,edmonton,AB
Frida Urban Taqueria,$$,4.1 ,15,edmonton,AB
Take Five,$,4.4 ,67,edmonton,AB
Pals Sandwiches,$$,4.6 ,11,edmonton,AB
