restaurant_name,address
Pizza Hut,"3425 Main Street Vancouver, BC V5V 3M9 Canada"
Chessey Pizza Corner,"6838 King George Boulevard Surrey, BC V3W 4Z9 Canada"
The Flying Pig,"1168 Hamilton Street Unit 104 Vancouver, BC V6B 2S2 Canada"
Kingyo,"871 Denman Street Vancouver, BC V6G 2L9 Canada"
Miku,"200 Granville Street Suite 70 Vancouver, BC V6C 1S4 Canada"
Kosoo,"1128 Robson Street Vancouver, BC V6E 1B2 Canada"
Dinesty Dumpling House,"1719 Robson Street Vancouver, BC V6G 1C8 Canada"
Fat Mao Noodles,"938 Helmcken Street Vancouver, BC V6Z 2S5 Canada"
Saku,"1588 Robson Street Vancouver, BC V6G 2G5 Canada"
Guu with Garlic,"1698 Robson Street Vancouver, BC V6G 1C7 Canada"
Fable Kitchen,"1944 W 4th Avenue Vancouver, BC V6J 1M5 Canada"
Fanny Bay Oyster Bar & Shellfish Market,"762 Cambie St Vancouver, BC V6B 2P2 Canada"
Golden Samosa Bakery,"8342 130 St unit 411 Surrey, BC V3W 8J9 Canada"
Chessey Pizza Corner,"6838 King George Boulevard Surrey, BC V3W 4Z9 Canada"
Mummy Di Rasoi Tiffin Service,No data or change code
Phnom Penh,"244 E Georgia Street Vancouver, BC V6A 1Z7 Canada"
Sula,"4172 Main Street Vancouver, BC V5V 3P7 Canada"
Saku,"548 W Broadway Vancouver, BC V5Z 1E9 Canada"
Blue Water Cafe,"1095 Hamilton St Vancouver, BC V6B 5T4 Canada"
Manoush'eh,"620 Davie Street Vancouver, BC V6B 2G5 Canada"
Yu Shang Hot Pot,"202-950 W Broadway Vancouver, BC V5Z 1K7 Canada"
Forage,"1300 Robson Street Vancouver, BC V6E 1C5 Canada"
Anh and Chi,"3388 Main Street Vancouver, BC V5V 3M7 Canada"
Botanist,"1038 Canada Place Vancouver, BC V6C 0B9 Canada"
Twisted Fork,"213 Carral Street Vancouver, BC V6B 2J2 Canada"
Gong cha,"103 900 Carnarvon Street New Westminster, BC V3M 1E9 Canada"
Chessey Pizza Corner,"6838 King George Boulevard Surrey, BC V3W 4Z9 Canada"
Gong cha,"103 900 Carnarvon Street New Westminster, BC V3M 1E9 Canada"
Alley 16,"3190 Cambie Street Vancouver, BC V5Y 1Z2 Canada"
Nobi Nobi,"11320 Steveston Hwy Unit 110 Richmond, BC V7A 5J5 Canada"
Happy Noodle House,"630 Davie Street Vancouver, BC V6B 2G5 Canada"
Lupo,"869 Hamilton Street Vancouver, BC V6B 2R7 Canada"
Kishimoto Japanese Kitchen,"2054 Commercial Drive Vancouver, BC V5N 4A9 Canada"
Published On Main,"3593 Main Street Vancouver, BC V5V 3N4 Canada"
Seaport City Seafood Restaurant,"2425 Cambie Street Vancouver, BC V5Z 4M5 Canada"
Alouette Bistro,"567 Hornby Street Vancouver, BC V6C 2E8 Canada"
Tendon Kohaku,"840 Howe Street Suite 190 Vancouver, BC V6Z 2S9 Canada"
Raisu,"2340 W 4th Avenue Vancouver, BC V6K 1P1 Canada"
Pizza Hut,"3425 Main Street Vancouver, BC V5V 3M9 Canada"
Swad Indian Kitchen,"1734 Marine Drive West Vancouver, BC V7V 1J3 Canada"
Famous Dosa Indian Grill & Thalapkatti Biryani House,"1625 Kingsway Vancouver, BC V5N 2S2 Canada"
Hello Nori,"1165 Robson Street Vancouver, BC V6E 1B5 Canada"
Ask For Luigi,"305 Alexander Street Vancouver, BC V6A 1C4 Canada"
Okeya Kyujiro,"1038 Mainland Street Vancouver, BC V6B 2T4 Canada"
Delara,"2272 W 4th Avenue Vancouver, BC V6K 1N8 Canada"
Mazahr Lebanese Kitchen,"1488 West 11th Avenue Vancouver, BC V6H 1H1 Canada"
Chinatown BBQ,"130 E Pender Street Vancouver, BC V6A 1T3 Canada"
John 3:16 Malaysian Delights,"1063 W Broadway Vancouver, BC V6H 1E2 Canada"
Peranakan Kitchen,"1122 5th Avenue New Westminster, BC V3M 1Y6 Canada"
Hestia Kitchen Lab,"2209 West 1st Avenue Vancouver, BC V6K 1E9 Canada"
So Hyang Korean Cuisine,"6345 Fraser Street Vancouver, BC V5W 3A3 Canada"
Golden Samosa Bakery,"8342 130 St unit 411 Surrey, BC V3W 8J9 Canada"
Swad Indian Kitchen,"1734 Marine Drive West Vancouver, BC V7V 1J3 Canada"
Chessey Pizza Corner,"6838 King George Boulevard Surrey, BC V3W 4Z9 Canada"
Fritz European Fry House,"718 Davie Street Vancouver, BC V6Z 1B6 Canada"
Medina Cafe,"780 Richards Street Vancouver, BC V6B 3A4 Canada"
Unchai Thai Restaurant,"2351 Burrard Street Vancouver, BC V6J 3J2 Canada"
