restaurant_name,price_range,rating,total_reviews,category,location,province,address
Ten Foot Henry,$$$,4.6 ,531,Canadian (New),calgary,AB,"1209 1st Street SW Calgary, AB T2R 0V3 Canada"
The Porch,$$,4.7 ,31,Comfort Food,calgary,AB,"730 17th Avenue SW Calgary, AB T2S 0B7 Canada"
Hayden Block Smoke & Whiskey,$$,4.3 ,227,Barbeque,calgary,AB,"1136 Kensington Road NW Calgary, AB T2N 3P3 Canada"
Calan Beef Noodle,$$,4.3 ,64,Chinese,calgary,AB,"2219 Centre Street N Calgary, AB T2E 2T4 Canada"
Calan Beef Noodle,$$,4.3 ,64,Chinese,calgary,AB,"109 - 683 10 Street SW Calgary, AB T2P 5G3 Canada"
The Himalayan,$$,4.7 ,279,Himalayan/Nepalese,calgary,AB,"3218 17 Avenue SW Calgary, AB T3E 0B3 Canada"
Tokyo Street Market,$$,4.2 ,120,Japanese,calgary,AB,"922 Centre Street NE Calgary, AB T2E 2P7 Canada"
Namsan Korean Cuisine,$$,4.7 ,23,Korean,calgary,AB,"507 10 Street SW Calgary, AB T2P 2B8 Canada"
Model Milk,$$$,4.0 ,259,Canadian (New),calgary,AB,"308 17th Avenue Calgary, AB T2S 0A3 Canada"
Ke Charcoal Grill & Sushi,$$,4.4 ,86,Japanese,calgary,AB,"1501 15th Avenue SW Calgary, AB T3C 0Y1 Canada"
Maven,$$,4.5 ,27,Breakfast & Brunch,calgary,AB,"1006 17 Ave Sw Calgary, AB T2T 0A5 Canada"
Native Tongues Taqueria,$$,4.1 ,449,Mexican,calgary,AB,"235 12 Avenue SW Calgary, AB T2R 1H7 Canada"
The Eden,$$,4.8 ,26,French,calgary,AB,"1219 9 Avenue SE Calgary, AB T2G 0S9 Canada"
Khao San Thai Kitchen,$$,4.4 ,121,Thai,calgary,AB,"1314-17 Avenue SW Calgary, AB T2T 0C3 Canada"
Gyu-Kaku Japanese BBQ,$$,4.1 ,108,Japanese,calgary,AB,"100-638 6th Avenue SW Calgary, AB T2P 0S4 Canada"
Donna Mac,$$,3.9 ,45,Canadian (New),calgary,AB,"1002 9th Street SW Calgary, AB T2R 0B5 Canada"
Shokunin,$$$,4.2 ,168,Japanese,calgary,AB,"2016 4th Street SW Calgary, AB T2S 1W3 Canada"
Cactus Club Cafe,$$$,4.4 ,226,Canadian (New),calgary,AB,"2612 39 Avenue NE Calgary, AB T1Y 7J9 Canada"
LOCAL Public Eatery,$$,3.9 ,125,Canadian (New),calgary,AB,"310 8th Avenue SW Calgary, AB T2P 1C1 Canada"
El Furniture Warehouse,$,3.9 ,54,Bars,calgary,AB,"107 Stephen Ave SW Calgary, AB T2P 1B4 Canada"
NOtaBLE The Restaurant,$$$,4.0 ,292,Canadian (New),calgary,AB,"4611 Bowness Road NW Calgary, AB T3B 0B2 Canada"
The Holy Grill,$$,4.3 ,201,Burgers,calgary,AB,"827 10th Avenue SW Calgary, AB T2R 0B4 Canada"
Bridgette Bar,$$$,4.4 ,107,Bars,calgary,AB,"739 10 Avenue SW Calgary, AB T2R 0B3 Canada"
Charcut Roast House,$$$,4.0 ,362,Steakhouses,calgary,AB,"101-899 Centre Street S Calgary, AB T2G 1B8 Canada"
