restaurant_name,price_range,rating,total_reviews,category,location,province,address
Flavor,$$,4.3 ,46,Canadian (New),Cape Breton regional municipality,NS,"16 Pitt Street Sydney, NS B1P 1C5 Canada"
Black Spoon Bistro,$$,4.5 ,42,Seafood,Cape Breton regional municipality,NS,"320 Commercial Street North Sydney, NS B2A 1C2 Canada"
Baddeck Lobster Suppers,$$$,4.1 ,69,Seafood,Cape Breton regional municipality,NS,"17 Ross St Baddeck, NS B0E 1B0 Canada"
The Clucking Hen Cafe,$$,4.4 ,33,Cafes,Cape Breton regional municipality,NS,"45073 Cabot Trail Victoria County, NS B0C 1H0 Canada"
The Dancing Goat,$,4.7 ,53,Bakeries,Cape Breton regional municipality,NS,"6289 Cabot Trail North East Margaree, NS B0E 2H0 Canada"
Herring Choker,$$,4.9 ,14,Cheese Shops,Cape Breton regional municipality,NS,"Trans-Canada Hwy Nyanza, NS B0E Canada"
Lobster Galley,$$,3.5 ,16,Comfort Food,Cape Breton regional municipality,NS,"51943 Cabot Trail Baddeck, NS B0E 1B0 Canada"
The Olive Tree,$$,4.3 ,27,Mediterranean,Cape Breton regional municipality,NS,"137 Victoria Road Sydney, NS B1P 2V5 Canada"
Red Barn Gift Shop & Restaurant,$,4.1 ,11,Seafood,Cape Breton regional municipality,NS,"2 Cabot Trail Baddeck, NS B0E 1B0 Canada"
Colettes Place,$,4.2 ,13,Canadian (New),Cape Breton regional municipality,NS,"201 Brookside Street Glace Bay, NS B1A 1L7 Canada"
Lobster Kettle Restaurant,$$,2.9 ,23,Seafood,Cape Breton regional municipality,NS,"41 Commercial Street Louisbourg, NS B1C 1B5 Canada"
Flavor 19,$$,4.3 ,10,Cocktail Bars,Cape Breton regional municipality,NS,"1229 Grand Lake Rd Sydney, NS B1M 1A2 Canada"
Chicken Shack,$$,4.8 ,4,Southern,Cape Breton regional municipality,NS,"295 Commercial St Cape Breton, NS B1A 3C5 Canada"
Trio,$$,3.9 ,14,Diners,Cape Breton regional municipality,NS,"Cambridge Suites Hotel 380 Esplanade Cape Breton, NS B1P 6P4 Canada"
Grubstake Restaurant,$$,2.0 ,6,Seafood,Cape Breton regional municipality,NS,"7499 Main St Louisbourg, NS B1C 1K7 Canada"
Flavor On the Water,$$$,3.5 ,24,Canadian (New),Cape Breton regional municipality,NS,"74 Esplanade Sydney, NS B1P 1A1 Canada"
Highwheeler Cafe & Bakery,$$,4.4 ,35,Cafes,Cape Breton regional municipality,NS,"484 Chebucto Street Baddeck, NS B0E 1B0 Canada"
Lebanese Flower Restaurant,$$,4.3 ,24,Mediterranean,Cape Breton regional municipality,NS,"14 Dorchester Street Sydney, NS B1P 5Y9 Canada"
The Old Triangle Irish Alehouse,$$,3.7 ,47,Irish,Cape Breton regional municipality,NS,"424 Charlotte Street Sydney, NS B1P 1E2 Canada"
Naru Japanese Cuisine,$$,4.4 ,13,Sushi Bars,Cape Breton regional municipality,NS,"216 Bentinck Street Sydney, NS B1P 1G8 Canada"
Bean There Cafe,$,4.3 ,20,Cafes,Cape Breton regional municipality,NS,"503 Chebucto Street Baddeck, NS B0E 1B0 Canada"
Talo,$$,3.0 ,8,Cafes,Cape Breton regional municipality,NS,"195 Commercial Street Glace Bay, NS B1A 3B9 Canada"
A & K Lick-A-Chick,$$,4.2 ,12,Fast Food,Cape Breton regional municipality,NS,"384 Park Road Little Bras D'or, NS B1Y 1N3 Canada"
A Bite of Asia,$$,3.5 ,14,Thai,Cape Breton regional municipality,NS,"76 - 80 Dorchester Street Sydney, NS B1P 5Z1 Canada"
Fat Boys,$$,4.0 ,2,Pizza,Cape Breton regional municipality,NS,"438 8th Street New Waterford, NS B1H 3S7 Canada"
Three Doors Down Diner,$$,3.1 ,7,Diners,Cape Breton regional municipality,NS,"474 Chebucto Street Baddeck, NS B0E 1B0 Canada"
Bell Buoy,$$,2.7 ,38,Canadian (New),Cape Breton regional municipality,NS,"536 Chebucto Street Baddeck, NS B0E 1B0 Canada"
Main Event Beverage Bar,$$,2.6 ,5,Bars,Cape Breton regional municipality,NS,"99 Union Street Glace Bay, NS B1A 2P6 Canada"
Steel City Sports Bar & Steakhouse,$,3.9 ,8,Sports Bars,Cape Breton regional municipality,NS,"252 Townsend Street Sydney, NS B1P 5E8 Canada"
Napoli Pizzeria,$$,3.6 ,24,Pizza,Cape Breton regional municipality,NS,"1798 Kings Road Sydney, NS B1L 1C5 Canada"
Napoli Pizzeria,$$,3.6 ,24,Pizza,Cape Breton regional municipality,NS,"465 Charlotte Street Sydney, NS B1P 1E5 Canada"
Bonnie Prince Restaurant & Lounge,$$,2.6 ,14,Steakhouses,Cape Breton regional municipality,NS,"50 Reeves Street Sydney, NS B1P 3C5 Canada"
Boston Pizza,$$,3.6 ,16,Pizza,Cape Breton regional municipality,NS,"329 Prince St Sydney, NS B1P 5K6 Canada"
Hong Fa Restaurant,$$,3.2 ,6,Chinese,Cape Breton regional municipality,NS,"462 Prince Street Sydney, NS B1P 5L5 Canada"
Big Daddy’s Pizza,$$,3.0 ,2,Pizza,Cape Breton regional municipality,NS,"3515 Plummer Avenue New Waterford, NS B1H 1Z8 Canada"
Tim Hortons,$,1.7 ,3,Donuts,Cape Breton regional municipality,NS,"366 Park Rd Florence, NS B1Y 1N4 Canada"
