restaurant_name,price_range,rating,total_reviews,category,location,province,address
Water Prince Corner Shop,$$,4.2 ,211,Seafood,charlottetown,PEI,"141 Water Street Charlottetown, PE C1A 1A8 Canada"
Claddagh Oyster House,$$$,4.4 ,71,Seafood,charlottetown,PEI,"131 Sydney Street Charlottetown, PE C1A 1G5 Canada"
Hopyard,$$,4.4 ,50,Beer Bar,charlottetown,PEI,"151 Kent Street Charlottetown, PE C1A 1N5 Canada"
The Gahan House,$$,4.0 ,190,Breweries,charlottetown,PEI,"126 Sydney Street Charlottetown, PE C1A 1G4 Canada"
The Brickhouse Kitchen & Bar,$$,3.9 ,78,Seafood,charlottetown,PEI,"125 Sydney Street Charlottetown, PE C1A 4K4 Canada"
The Pilot House,$$,4.1 ,46,Seafood,charlottetown,PEI,"70 Grafton St Charlottetown, PE C1A 1K7 Canada"
Himalayan Indian Cuisine,$$,4.5 ,23,Himalayan/Nepalese,charlottetown,PEI,"39 Eden Street Unit 5 Charlottetown, PE C1A 4N4 Canada"
Himalayan Indian Cuisine,$$,4.5 ,23,Himalayan/Nepalese,charlottetown,PEI,"138 Great George Street Charlottetown, PE C1A 4K6 Canada"
Sims Corner Steakhouse & Oyster Bar,$$$,4.2 ,85,Steakhouses,charlottetown,PEI,"86 Queen Street Charlottetown, PE C1A 4A7 Canada"
Brakish,$$,4.1 ,39,Seafood,charlottetown,PEI,"2 Lower Water Street Charlottetown, PE C1A 4A2 Canada"
John Brown Richmond Street Grille,$$,4.1 ,56,American (Traditional),charlottetown,PEI,"132 Richmond Street Charlottetown, PE C1A 1H9 Canada"
The Chip Shack,$$,4.2 ,62,Seafood,charlottetown,PEI,"2 Great George Street Charlottetown, PE C1A 4K6 Canada"
Row House Lobster,$$,3.8 ,49,Seafood,charlottetown,PEI,"146 Richmond Street Charlottetown, PE C1A Canada"
Famous Peppers,$$,4.3 ,30,Pizza,charlottetown,PEI,"7 St Peters Road Charlottetown, PE C1A 5N1 Canada"
Piatto Pizzeria + Enoteca,$$,4.6 ,33,Pizza,charlottetown,PEI,"45 Queen Street Charlottetown, PE C1A 4A4 Canada"
Churchill Arms,$$,4.2 ,43,British,charlottetown,PEI,"75 Queen Street Charlottetown, PE C1A 4A8 Canada"
Splendid Essence,$$,4.5 ,35,Vegetarian,charlottetown,PEI,"186 Prince Street Charlottetown, PE C1A 1P1 Canada"
The Old Triangle,$$,4.1 ,33,Irish,charlottetown,PEI,"189 Great George Street Charlottetown, PE C1A 4L1 Canada"
Seoul Food,$$,3.7 ,7,Korean,charlottetown,PEI,"330 University Avenue Charlottetown, PE C1A 4M4 Canada"
Merchantman,$$,3.6 ,62,Seafood,charlottetown,PEI,"23 Queen Street Charlottetown, PE C1A 4A2 Canada"
Receiver Coffee,$$,4.4 ,83,Cafes,charlottetown,PEI,"128 Richmond Street Charlottetown, PE C1A 1H7 Canada"
Receiver Coffee,$$,4.4 ,83,Cafes,charlottetown,PEI,"178 Water Street Charlottetown, PE C1A 8W1 Canada"
Silver Streams Restaurant,$$,3.7 ,7,Chinese,charlottetown,PEI,"7 St. Peters Road Charlottetown, PE C1A 5N3 Canada"
Mr Sushi Inc.,$$$,3.3 ,8,Japanese,charlottetown,PEI,No data or change code
The Kettleblack,$,4.1 ,21,Breakfast & Brunch,charlottetown,PEI,"45 Queen Street Charlottetown, PE C1A 4A4 Canada"
The Noodle House,$$,3.5 ,13,Chinese,charlottetown,PEI,"188 Great George Street Charlottetown, PE C1A 2P7 Canada"
Brits Fish and Chips,$$,4.2 ,45,Fish & Chips,charlottetown,PEI,"141 Great George Street Charllottetown, PE C1B 4K7 Canada"
Olde Dublin Pub,$$,3.9 ,49,Seafood,charlottetown,PEI,"131 Sydney Street Charlottetown, PE C1A 1G5 Canada"
Taco Boyz,$,3.4 ,10,Mexican,charlottetown,PEI,"393  University Ave Charlottetown, PE C1A 4N4 Canada"
Taco Boyz,$,3.4 ,10,Mexican,charlottetown,PEI,"201 Buchanan Dr Charlottetown, PE C1E 2E4 Canada"
Lobster On The Wharf,$$$,2.6 ,71,Seafood,charlottetown,PEI,"2 Prince Street Charlottetown, PE C1A 8C1 Canada"
The Factory Downtown,$$,3.4 ,7,Bars,charlottetown,PEI,"189 Kent St. Charlottetown, PE C1A 1P1 Canada"
China King Buffet Restaurant,$$,2.9 ,8,Chinese,charlottetown,PEI,"660 University Avenue Charlottetown, PE C1E 1E5 Canada"
Swiss Chalet Rotisserie & Grill,$$,3.3 ,3,American (Traditional),charlottetown,PEI,"359 University Avenue Charlottetown, PE C1A 4M9 Canada"
Redwater Rustic Grille,$$,3.4 ,14,Canadian (New),charlottetown,PEI,"123 Grafton Street Charlottetown, PE C1A 4K6 Canada"
Fishbones,$$,3.0 ,35,Seafood,charlottetown,PEI,"136 Richmond Street Charlottetown, PE C1A 1H9 Canada"
Casa Mia Cafe,$$,3.4 ,52,Cafes,charlottetown,PEI,"131 Queen Street Charlottetown, PE C1A 4B3 Canada"
Ta Ke Sushi,$$,3.7 ,28,Sushi Bars,charlottetown,PEI,"92 Queen St Charlottetown, PE C1A 4B1 Canada"
Water Street Fish & Chips,$$,3.8 ,26,Fish & Chips,charlottetown,PEI,"73 Water Street Charlottetown, PE C1A 4J7 Canada"
Selkirk Dining Room,$$$,5.0 ,1,Canadian (New),charlottetown,PEI,"18 Queen Street Charlottetown, PE C1A 4A1 Canada"
Pho Vietnam Restaurant,$$,2.0 ,17,Vietnamese,charlottetown,PEI,"123 Queen Street Charlottetown, PE C1A 4B3 Canada"
Canton Cafe,$$,3.3 ,12,Chinese,charlottetown,PEI,"73 Queen Street Charlottetown, PE C1A 4A8 Canada"
DQ Grill & Chill Restaurant,$$,2.6 ,5,Fast Food,charlottetown,PEI,"365 University Ave Charlottetown, PE C1A 4N2 Canada"
Boom Burger,$$,3.7 ,36,Burgers,charlottetown,PEI,"403 Capital Drive Charlottetown, PE C1E 1Z3 Canada"
China Garden,$$,1.9 ,19,Chinese,charlottetown,PEI,"96 Queen Street Charlottetown, PE C1A 4B1 Canada"
Boston Pizza,$$,2.5 ,14,Pizza,charlottetown,PEI,"700 University Ave Charlottetown, PE C1E 1E3 Canada"
Kiwanis Dairy Bar,$,5.0 ,1,Ice Cream & Frozen Yogurt,charlottetown,PEI,"50 Park Roadway Charlottetown, PE C1A 1V1 Canada"
Bamboo Garden Restaurant,$$,2.0 ,2,Chinese,charlottetown,PEI,"25 Hopeton Road Stratford, PE C1B 1T6 Canada"
Subway,$,3.5 ,4,Sandwiches,charlottetown,PEI,"685 University Avenue Charlottetown, PE C1E 1E5 Canada"
Subway,$,3.5 ,4,Sandwiches,charlottetown,PEI,"101 Grafton Street Unit C Charlottetown, PE C1A 1K9 Canada"
A&W,$$,2.7 ,3,Fast Food,charlottetown,PEI,"650 University Avenue Charlottetown, PE C1A 1E3 Canada"
