restaurant_name,address
Da Kao,"9750 170 Street NW Edmonton, AB T5T 5L4 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
RGE RD,"10643 - 123 Street Edmonton, AB T5M 1Z1 Canada"
Woodwork,"10132-100 Street Edmonton, AB T5J 0N8 Canada"
BaoBao,"10544 Jasper Avenue Edmonton, AB T5J 1Z7 Canada"
Dogpatch,"10158 90 Street NW Edmonton, AB T5H 1R7 Canada"
DOSC,"10190 - 104 Street NW Main Floor Edmonton, AB T5J 1A7 Canada"
Rosewood Foods,"101-10150 100 Street NW Edmonton, AB T5J 0P6 Canada"
Baijiu,"103-10359 104 Street NW Edmonton, AB T5J 1B9 Canada"
Bianco,"120-10020 101 A Avenue Edmonton, AB T5J 3G2 Canada"
Otto Food and Drink,"11405 95 Street NW Edmonton, AB T5G 1L3 Canada"
Bundok,"10228 104 Street NW Edmonton, AB T5J 1B8 Canada"
Pizza Hut,"11515-104th Avenue Edmonton, AB T5K 2S2 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Bodega 124th Street,"12417 Stony Plain Road Edmonton, AB T5N 3N3 Canada"
Meat,"8216 104 Street Edmonton, AB T6E 4E6 Canada"
Campiō Brewing Co,"10257 105 Street NW Edmonton, AB T5J 1E3 Canada"
Pip,"10335 83 Avenue NW Edmonton, AB T6E 2C6 Canada"
CQ Noodle & Bubble Tea,"10140 104 Street NW Edmonton, AB T5J 1A7 Canada"
Blowers & Grafton,"10550 82 Ave NW Edmonton, AB T6E 2A4 Canada"
Cafe Amore Bistro,"10807 106 Avenue NW Edmonton, AB T5H 4A7 Canada"
Bodega Highlands,"6509 112th Avenue NW Edmonton, AB T5W 0P1 Canada"
Gyu-Kaku Japanese BBQ,"10416 Jasper Ave Edmonton, AB T5J 4R5 Canada"
The Lunchbox Diner,"14413 115 Avenue NW Edmonton, AB T5M 3B8 Canada"
Flame & Barrel,"1237 Windermere Way SW Edmonton, AB T6W 2P3 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
El Mero Mero Taqueria,"12223 156 Street NW Edmonton, AB T5V 1E6 Canada"
La Petite Iza,"10926 88 Avenue NW Floor 3 Edmonton, AB T6G 0Z1 Canada"
Hathaway's Diner,"13225-132 Street NW Edmonton, AB T5L 1R9 Canada"
SoDo on Jasper,"11011 Jasper Avenue Edmonton, AB T5K 0K6 Canada"
Fox Burger,"6423 112 Ave NW Edmonton, AB T5W 0N9 Canada"
Biera,"9570 - 76th Avenue Edmonton, AB T6C 0K2 Canada"
Smokin' Barrels Cocina Latina,"13119 156 Street NW Edmonton, AB T5E 1V2 Canada"
Gintaro Japanese Kitchen,"11850 145 Avenue NW Edmonton, AB T5X 2E3 Canada"
Black Pearl Seafood Bar-Downtown,"10132 104 Street Edmonton, AB T5J 1A7 Canada"
Refinery Grill,"10406 Mayfield Road Edmonton, AB T5P 4P4 Canada"
Da Kao,"9750 170 Street NW Edmonton, AB T5T 5L4 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Cork & Barley,"4274 137 Avenue NW Edmonton, AB T5Y 2W7 Canada"
The Common,"9910 109th Street Edmonton, AB T5K 1H5 Canada"
Nongbu Korean Eatery,"8115-104 Street NW Edmonton, AB T6E 4E4 Canada"
Partake,"12431 102 Ave Edmonton, AB T5N 0M2 Canada"
OEB Breakfast,"10174 100A Street Edmonton, AB T5J 0H3 Canada"
Uccellino,"10349 Jasper Avenue Edmonton, AB T5J 1Y7 Canada"
Yushang Rice Noodle,"10167 109 Street NW Edmonton, AB T5J 3P1 Canada"
Taste Of Persia,"17620 100 Avenue NW Edmonton, AB T5S 1S9 Canada"
SugarBowl,"10922 88 Avenue NW Edmonton, AB T6G 0Z1 Canada"
The Butternut Tree,"9707 110 St NW Edmonton, AB T5K 2L9 Canada"
Da Kao,"9750 170 Street NW Edmonton, AB T5T 5L4 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Sabor,"10220 103 Street Edmonton, AB T5J 4A1 Canada"
Transit Smokehouse & BBQ,"12720 Fort Rd NW Edmonton, AB T5A 1A6 Canada"
Luna Cocina Mexicana,"9880 63 Avenue NW Edmonton, AB T6E 0G6 Canada"
Sushi Toshi,"13619 St Albert Trail NW Edmonton, AB T5L 5E7 Canada"
District 102,"10222 102 Street NW Edmonton, AB T5J 4C5 Canada"
Chef Tony,"14921 Stony Plain Road Edmonton, AB T5P 4W1 Canada"
Dorinku Osaka,"10328 Jasper Avenue Edmonton, AB T5J 1Y7 Canada"
Rockin' Robyn's Diner,"16604- 109 Avenue Edmonton, AB T5P 1C2 Canada"
Louisiana Purchase,"13503 St Albert Trail NW Edmonton, AB T5L 5E7 Canada"
Hu's Noodle Nook,"11238 104 Avenue NW Edmonton, AB T5K 2X4 Canada"
