restaurant_name,price_range,rating,total_reviews,category,location,province,address
RGE RD,$$$,4.4 ,172,Canadian (New),edmonton,AB,"10643 - 123 Street Edmonton, AB T5M 1Z1 Canada"
Woodwork,$$,4.2 ,172,Canadian (New),edmonton,AB,"10132-100 Street Edmonton, AB T5J 0N8 Canada"
BaoBao,$$,4.3 ,40,Noodles,edmonton,AB,"10544 Jasper Avenue Edmonton, AB T5J 1Z7 Canada"
Baijiu,$$,4.4 ,52,Cocktail Bars,edmonton,AB,"103-10359 104 Street NW Edmonton, AB T5J 1B9 Canada"
Otto Food and Drink,$$,4.5 ,75,Gastropubs,edmonton,AB,"11405 95 Street NW Edmonton, AB T5G 1L3 Canada"
Bundok,$$$$,4.5 ,53,Canadian (New),edmonton,AB,"10228 104 Street NW Edmonton, AB T5J 1B8 Canada"
Meat,$$,4.1 ,475,Barbeque,edmonton,AB,"8216 104 Street Edmonton, AB T6E 4E6 Canada"
Pip,$$,4.3 ,172,Wine Bars,edmonton,AB,"10335 83 Avenue NW Edmonton, AB T6E 2C6 Canada"
Blowers & Grafton,$$,4.1 ,127,Canadian (New),edmonton,AB,"10550 82 Ave NW Edmonton, AB T6E 2A4 Canada"
Cafe Amore Bistro,$$,4.3 ,143,Cafes,edmonton,AB,"10807 106 Avenue NW Edmonton, AB T5H 4A7 Canada"
Bodega Highlands,$$,4.6 ,55,Tapas Bars,edmonton,AB,"6509 112th Avenue NW Edmonton, AB T5W 0P1 Canada"
The Lunchbox Diner,$$,4.5 ,17,Diners,edmonton,AB,"14413 115 Avenue NW Edmonton, AB T5M 3B8 Canada"
El Mero Mero Taqueria,$$,4.0 ,30,Mexican,edmonton,AB,"12223 156 Street NW Edmonton, AB T5V 1E6 Canada"
Biera,$$,3.9 ,79,Beer Bar,edmonton,AB,"9570 - 76th Avenue Edmonton, AB T6C 0K2 Canada"
Black Pearl Seafood Bar-Downtown,$$$,4.2 ,99,Seafood,edmonton,AB,"10132 104 Street Edmonton, AB T5J 1A7 Canada"
Refinery Grill,$$,3.8 ,60,Delis,edmonton,AB,"10406 Mayfield Road Edmonton, AB T5P 4P4 Canada"
The Common,$$,3.8 ,167,Lounges,edmonton,AB,"9910 109th Street Edmonton, AB T5K 1H5 Canada"
Nongbu Korean Eatery,$$,4.3 ,53,Korean,edmonton,AB,"8115-104 Street NW Edmonton, AB T6E 4E4 Canada"
OEB Breakfast,$$,4.4 ,237,Breakfast & Brunch,edmonton,AB,"10174 100A Street Edmonton, AB T5J 0H3 Canada"
Uccellino,$$$,4.4 ,82,Italian,edmonton,AB,"10349 Jasper Avenue Edmonton, AB T5J 1Y7 Canada"
SugarBowl,$$,4.0 ,486,Breakfast & Brunch,edmonton,AB,"10922 88 Avenue NW Edmonton, AB T6G 0Z1 Canada"
The Butternut Tree,$$$$,4.2 ,41,Canadian (New),edmonton,AB,"9707 110 St NW Edmonton, AB T5K 2L9 Canada"
Sabor,$$$,4.2 ,167,Portuguese,edmonton,AB,"10220 103 Street Edmonton, AB T5J 4A1 Canada"
The Bedouins,$$,4.8 ,50,Middle Eastern,edmonton,AB,"12832 137 Avenue NW Edmonton, AB T5L 4Y8 Canada"
Tokiwa Ramen,$$,4.2 ,120,Ramen,edmonton,AB,"11978 104 Avenue Edmonton, AB T5K 0T3 Canada"
