restaurant_name,price_range,rating,total_reviews,category,location,province,address
540 Kitchen & Bar,$$,4.4 ,28,Gastropubs,fredericton,NB,"540 Queen St Fredericton, NB E3B 1B9 Canada"
Snooty Fox,$$,4.0 ,91,Canadian (New),fredericton,NB,"66 Regent Street Fredericton, NB E3B 3W4 Canada"
The Palate,$$,4.4 ,27,Canadian (New),fredericton,NB,"462 Queen Street Fredericton, NB E3B 1B6 Canada"
Moco Downtown,$$$,4.2 ,18,Italian,fredericton,NB,"100 Regent Street Fredericton, NB E3B 1G1 Canada"
11th Mile,$$,5.0 ,7,Tapas/Small Plates,fredericton,NB,"79 York Street Fredericton, NB E3B 3N4 Canada"
The Cabin Restaurant,$$,4.3 ,23,Canadian (New),fredericton,NB,"723 Woodstock Road Fredericton, NB E3B 5N8 Canada"
Diplomat Restaurant,$$,2.8 ,44,Chinese,fredericton,NB,"253 Woodstock Road Fredericton, NB E3B 2H8 Canada"
Wolastoq Wharf,$$,3.9 ,27,Seafood,fredericton,NB,No data or change code
Brewbakers,$$$,3.8 ,26,Steakhouses,fredericton,NB,"546 King Street Fredericton, NB E3B 1E6 Canada"
The Hilltop Maritime Tavern,$$,3.2 ,19,Pubs,fredericton,NB,"1034 Prospect Street Fredericton, NB E3B 3C1 Canada"
Number One Noodle,$$,4.1 ,32,Vietnamese,fredericton,NB,"1012 Prospect Street Fredericton, NB E3B Canada"
Lunar Rogue Pub,$$,3.7 ,41,Whiskey Bars,fredericton,NB,"625 King St Fredericton, NB E3B 1E9 Canada"
The Schnitzel Parlour,$$,4.5 ,15,German,fredericton,NB,"304 Union Street Fredericton, NB E3A 3L9 Canada"
Red Lantern Pub & Steak House,$$,4.4 ,8,Pubs,fredericton,NB,"182 Main Street Fredericton, NB E3A 1C8 Canada"
777 Chinese Restaurant & Buffet,$$,2.7 ,10,Chinese,fredericton,NB,"86-88 Main Street Fredericton, NB E3A 1C2 Canada"
Naru Sushi,$$,3.9 ,17,Japanese,fredericton,NB,"536 Queen Street Fredericton, NB E3B 1B9 Canada"
MidSea Eatery,$$,4.6 ,7,Middle Eastern,fredericton,NB,"99 Regent Street Fredericton, NB E3B 1G1 Canada"
Oriental Pearl Restaurant,$$,3.1 ,7,Chinese,fredericton,NB,"440 Kimble Drive Fredericton, NB E3B 0K5 Canada"
The Dip Pool Bar & Grill,$$,3.5 ,8,Wine Bars,fredericton,NB,"335 Woodstock Road Fredericton, NB E3B 2J2 Canada"
Yassou Souvlaki & Donair,$$,5.0 ,7,Greek,fredericton,NB,"1111 Regent Street Fredericton, NB E3B 3Z2 Canada"
Koto,$$,3.7 ,11,Japanese,fredericton,NB,"90 Main Street Fredericton, NB E3A 1C5 Canada"
Thai Manao,$$,3.1 ,17,Thai,fredericton,NB,"10 trinity drive Fredericton, NB E3C 0B8 Canada"
Boston Pizza,$$,3.3 ,10,Pizza,fredericton,NB,"1230 Prospect Street Fredericton, NB E3B 3C2 Canada"
Jonnie Java Roasters,$,4.9 ,10,Coffee & Tea,fredericton,NB,"95 York Street Fredericton, NB E3B 3N4 Canada"
Luna Pizza,$$,3.5 ,16,Pizza,fredericton,NB,"91 York Street Fredericton, NB E3B 3N4 Canada"
Cinnamon Cafe,$,4.0 ,11,Coffee & Tea,fredericton,NB,"469 Rue King Street Fredericton, NB E3B 1E5 Canada"
Unplugged,$$,3.3 ,3,Cafes,fredericton,NB,"418 Queen Street Fredericton, NB E3B 1B6 Canada"
Sweet Belgian Desire Cafe,$$$$,4.7 ,15,Cafes,fredericton,NB,"23 Ashton Court Fredericton, NB E3C 0H8 Canada"
Sunshine Diner,$$,3.1 ,14,Breakfast & Brunch,fredericton,NB,"7 Brookmount Street Fredericton, NB E3B 2J4 Canada"
The Coffee Mill,$$,3.8 ,24,Breakfast & Brunch,fredericton,NB,"1187 Smythe Fredericton, NB E3B 3H4 Canada"
Hana Ethiopian Cafe & Take-Out,$,5.0 ,6,Ethiopian,fredericton,NB,"154 Main Street Fredericton, NB E3A 1C8 Canada"
Bulgogi,$$,2.8 ,6,Japanese,fredericton,NB,"459 King Street Fredericton, NB E3B 1E5 Canada"
Greco Pizza,$$,4.0 ,3,Pizza,fredericton,NB,"529 Dundonald Street Fredericton, NB E3B 1X5 Canada"
Chess Piece Patisserie & Cafe,$$,4.1 ,31,Desserts,fredericton,NB,"361 Queen st Fredericton, NB E3B 1B1 Canada"
Zensation,$,5.0 ,4,Vegetarian,fredericton,NB,"Northside Market 311 Saint Marys Street Fredericton, NB E3A 2S4 Canada"
Thai Spice,$$,2.5 ,2,Thai,fredericton,NB,"277 Main Street Fredericton, NB E3A 1E1 Canada"
Thai Express,$,4.5 ,8,Thai,fredericton,NB,"1381 Regent Street Fredericton, NB E3C 1A2 Canada"
Rôtisserie St-Hubert,$,2.7 ,7,Chicken Shop,fredericton,NB,"22 Trinity Avenue Fredericton, NB E3C 0B8 Canada"
New England Pizza,$$,3.3 ,12,Pizza,fredericton,NB,"612 Union St Fredericton, NB E3A 3N2 Canada"
Pizza Hut,$$,4.0 ,4,Pizza,fredericton,NB,"230 Main Street Fredericton, NB E3A 1C9 Canada"
Pizza Hut,$$,4.0 ,4,Pizza,fredericton,NB,"1180 Smythe Street Fredericton, NB E3B 3H5 Canada"
Subway,$,3.0 ,1,Sandwiches,fredericton,NB,"1055 Prospect Street Fredericton, NB E3B 3B9 Canada"
Subway,$,3.0 ,1,Sandwiches,fredericton,NB,"349 King Street Fredericton, NB E3B 1E4 Canada"
Subway,$,3.0 ,1,Sandwiches,fredericton,NB,"1111 Regent Street Unit 4 Fredericton, NB E3B 3Z2 Canada"
Subway,$,3.0 ,1,Sandwiches,fredericton,NB,"245 Bishop Drive Fredericton, NB E3C 1B1 Canada"
Pine Tree Pub,$,4.0 ,2,Breakfast & Brunch,fredericton,NB,"185 Gabriel Drive Fredericton, NB E3A 5R8 Canada"
A&W,$$,2.5 ,6,Fast Food,fredericton,NB,"235 Main Street Main Street Plaza Fredericton, NB E3A 1E1 Canada"
A&W,$$,2.5 ,6,Fast Food,fredericton,NB,"1018 Prospect Street Prospect Plaza Fredericton, NB E3B 3C1 Canada"
A&W,$$,2.5 ,6,Fast Food,fredericton,NB,"1381 Regent Street Regent Mall (Food Court) Fredericton, NB E3C 1A2 Canada"
Tim Hortons,$,2.0 ,7,Coffee & Tea,fredericton,NB,"1189 Prospect St Fredericton, NB E3B 3B9 Canada"
KFC,$$,1.0 ,3,Chicken Wings,fredericton,NB,"1165 Prospect Street Fredericton, NB E3B 3B9 Canada"
KFC,$$,1.0 ,3,Chicken Wings,fredericton,NB,"283 Main Street Fredericton, NB E3A 1E3 Canada"
KFC,$$,1.0 ,3,Chicken Wings,fredericton,NB,"154-1381 Regent Street Fredericton, NB E3C 1A2 Canada"
Pizza Delight,$$,2.4 ,8,Pizza,fredericton,NB,"243 St Mary's Street Fredericton, NB E3A 2S5 Canada"
Pizza Delight,$$,2.4 ,8,Pizza,fredericton,NB,"989 Prospect Street Fredericton, NB E3B 2T7 Canada"
Greco Pizza,$$,1.0 ,2,Pizza,fredericton,NB,"102 Main Street Fredericton, NB E3A 9N6 Canada"
Tim Hortons,$,3.0 ,2,Coffee & Tea,fredericton,NB,"1713 Woodstock Rd Fredericton, NB E3C 1L4 Canada"
