restaurant_name,address
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
The Bicycle Thief,"1475 Lower Water Street Halifax, NS B3J 3Z2 Canada"
Mic Mac Bar & Grill,"217 Waverly Road Dartmouth, NS B2X 2C3 Canada"
EDNA Restaurant,"2053 Gottingen Street Halifax, NS B3K 3B3 Canada"
The Canteen,"22 Portland Street Dartmouth, NS B2Y 1G9 Canada"
Evan's Seafood Restaurant,"2 Ochterloney Street Alderney Landing Dartmouth, NS B2Y Canada"
2 Doors Down,"1533 Barrington Street Halifax, NS B3J 1Z4 Canada"
Modern Orchid,"171 Hector Gate Dartmouth, NS B3B 0E5 Canada"
Battery Park Beer Bar & Eatery,"62 Ochterloney Street Dartmouth, NS B2Y 1C2 Canada"
The Wooden Monkey,"1707 Grafton Street Halifax, NS B3J 2C6 Canada"
Los Toros,"5075 George Street Halifax, NS B3J 1M3 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Jamieson's Irish House and Grill,"5 Cumberland Drive Dartmouth, NS B2V 2T6 Canada"
Black Sheep,"1496 Lower Water Street Suite BH-204 Halifax, NS B3J 1R9 Canada"
The Five Fishermen Restaurant,"1740 Argyle Street Halifax, NS B3J 2B6 Canada"
The Foggy Goggle,"2057 Gottingen Halifax, NS B3K 3B2 Canada"
Salt + Ash Beach House,"170-1741 Lower Water Street Halifax, NS B3J 0J2 Canada"
The Dill Pickle,"250 Baker Drive Dartmouth, NS B2W 6L4 Canada"
Vines Pasta Grill,"4 Panavista Drive Dartmouth, NS B2W 3M8 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
The Cottage Cafe,"300 Prince Albert Rd Dartmouth, NS B2Y 4J2 Canada"
Finbar's Irish Pub,"635 Portland Hills Drive Dartmouth, NS B4A 3Y4 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
The Wooden Monkey,"40 Alderney Drive Alderney Landing Dartmouth, NS B2Y 4W1 Canada"
True North Diner,"Bedford Place Mall 1658 Bedford Hwy Bedford, NS B4A 2X9 Canada"
R&B Kitchen,"760a Main St Dartmouth, NS B2W 3T8 Canada"
Dear Friend,"67 Portland Street Dartmouth, NS B2Y 1H1 Canada"
Janina's Café,"202 Brownlow Avenue Dartmouth, NS B3B 1T5 Canada"
Salty's,"1877 Upper Water Street Halifax, NS B3J 1S9 Canada"
Side Hustle,"21 Portland Street Dartmouth, NS B2Y 1H1 Canada"
Drift,"102-1709 Lower Water Street Halifax, NS B3J 1S5 Canada"
Lot Six,"1685 Argyle Street Halifax, NS B3J Canada"
