restaurant_name,price_range,rating,total_reviews,category,location,province,address
The Bicycle Thief,$$$,4.4 ,695,Italian,halifax,NS,"1475 Lower Water Street Halifax, NS B3J 3Z2 Canada"
Mic Mac Bar & Grill,$$,4.4 ,92,Bars,halifax,NS,"217 Waverly Road Dartmouth, NS B2X 2C3 Canada"
EDNA Restaurant,$$,4.5 ,139,Canadian (New),halifax,NS,"2053 Gottingen Street Halifax, NS B3K 3B3 Canada"
The Canteen,$$,4.4 ,62,Sandwiches,halifax,NS,"22 Portland Street Dartmouth, NS B2Y 1G9 Canada"
2 Doors Down,$$,4.2 ,316,Canadian (New),halifax,NS,"1533 Barrington Street Halifax, NS B3J 1Z4 Canada"
2 Doors Down,$$,4.2 ,316,Canadian (New),halifax,NS,"149 Hector Gate Dartmouth, NS B3B 0E5 Canada"
Modern Orchid,$$,3.8 ,55,Asian Fusion,halifax,NS,"171 Hector Gate Dartmouth, NS B3B 0E5 Canada"
Battery Park Beer Bar & Eatery,$$,4.3 ,53,Gastropubs,halifax,NS,"62 Ochterloney Street Dartmouth, NS B2Y 1C2 Canada"
The Wooden Monkey,$$,3.9 ,278,Bars,halifax,NS,"1707 Grafton Street Halifax, NS B3J 2C6 Canada"
The Wooden Monkey,$$,3.9 ,278,Bars,halifax,NS,"40 Alderney Drive Alderney Landing Dartmouth, NS B2Y 4W1 Canada"
The Five Fishermen Restaurant,$$$,3.8 ,237,Seafood,halifax,NS,"1740 Argyle Street Halifax, NS B3J 2B6 Canada"
The Foggy Goggle,$$,4.0 ,216,Pubs,halifax,NS,"2057 Gottingen Halifax, NS B3K 3B2 Canada"
The Dill Pickle,$,4.4 ,16,Soup,halifax,NS,"250 Baker Drive Dartmouth, NS B2W 6L4 Canada"
Vines Pasta Grill,$$,3.8 ,63,Italian,halifax,NS,"4 Panavista Drive Dartmouth, NS B2W 3M8 Canada"
The Wooden Monkey,$$,3.7 ,49,Gluten-Free,halifax,NS,"1707 Grafton Street Halifax, NS B3J 2C6 Canada"
The Wooden Monkey,$$,3.7 ,49,Gluten-Free,halifax,NS,"40 Alderney Drive Alderney Landing Dartmouth, NS B2Y 4W1 Canada"
True North Diner,$$,3.8 ,48,American (Traditional),halifax,NS,"Bedford Place Mall 1658 Bedford Hwy Bedford, NS B4A 2X9 Canada"
Lot Six,$$$,4.2 ,101,Cocktail Bars,halifax,NS,"1685 Argyle Street Halifax, NS B3J Canada"
Edible Matters,$$,4.1 ,77,Cafes,halifax,NS,"1345 Hammonds Plains Road Hammonds Plains, NS B4B 1P6 Canada"
Brooklyn Warehouse,$$,4.0 ,116,Canadian (New),halifax,NS,"2795 Windsor Street Halifax, NS B3K Canada"
Ela! Greek Taverna,$$,4.0 ,50,Mediterranean,halifax,NS,"150 Hector Gate Dartmouth, NS B3B 0E6 Canada"
Cha Baa Thai,$$,4.7 ,71,Thai,halifax,NS,"100 Ilsley Avenue Dartmouth, NS B3B 1L3 Canada"
Cha Baa Thai,$$,4.7 ,71,Thai,halifax,NS,"1546 Queen St Halifax, NS B3J 2H8 Canada"
The Turtleback Tap & Grill,$$,4.3 ,26,American (Traditional),halifax,NS,"3187 Highway 2 Halifax, NS B2T 1J5 Canada"
Pleasant St Diner,$$,4.5 ,37,American (Traditional),halifax,NS,"205 Pleasant Street Unit 101 Dartmouth, NS B2Y 3RS Canada"
Il Mercato,$$$,4.4 ,59,Italian,halifax,NS,"1595 Bedford Highway Halifax, NS B4A 1E8 Canada"
Usta Turkish & Mediterranean Restaurant,$$,4.5 ,13,Mediterranean,halifax,NS,"635 Portland Hills Drive Dartmouth, NS B2W 0J7 Canada"
Ristorante a Mano,$$,4.1 ,179,Italian,halifax,NS,"1477 Lower Water Street Halifax, NS B3J 3Z4 Canada"
Gio Restaurant,$$$,4.4 ,67,Canadian (New),halifax,NS,"1725 Market St Halifax, NS B3J 3N9 Canada"
Buta Ramen,$$,4.5 ,69,Ramen,halifax,NS,"5190 Morris St Halifax, NS B3J 1B3 Canada"
Palladium Family Restaurant,$$,3.9 ,48,Greek,halifax,NS,"942 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Byblos Lebanese Cuisine,$$,4.5 ,15,Lebanese,halifax,NS,"644 Portland Street Dartmouth, NS B2W 6C4 Canada"
Wasabi Asian Cuisine,$$,4.1 ,52,Japanese,halifax,NS,"556 Sackville Drive Lower Sackville, NS B4C 2S2 Canada"
Studio East Food+Drink,$$,4.4 ,66,Gastropubs,halifax,NS,"6021 Cunard Street Halifax, NS B3K 1E5 Canada"
Shuck Seafood and Raw Bar,$$,3.9 ,78,Seafood,halifax,NS,"5120 Salter Street Halifax, NS B3J 0A1 Canada"
The Millstone Public House,$$,3.5 ,35,American (Traditional),halifax,NS,"250 Baker Drive Dartmouth, NS B2W 6L4 Canada"
The Millstone Public House,$$,3.5 ,35,American (Traditional),halifax,NS,"67 King’s Wharf Place Suite 102 Dartmouth, NS B2Y 0C6 Canada"
The Millstone Public House,$$,3.5 ,35,American (Traditional),halifax,NS,"50 Gary Martin Drive Bedford, NS B4B 1H3 Canada"
Brass Rail Restaurant,$$,4.1 ,20,Seafood,halifax,NS,"978 Cole Harbour Road Dartmouth, NS B2V 1E7 Canada"
New Wing Wah,$$,4.0 ,16,Chinese,halifax,NS,"347 Herring Cove Road Halifax, NS B3R 1V5 Canada"
The Old Triangle Irish Alehouse,$$,3.9 ,171,Pubs,halifax,NS,"5136 Prince Street Halifax, NS B3J 1L4 Canada"
Busan Korean BBQ,$$,4.2 ,52,Korean,halifax,NS,"6311 Quinpool Road Halifax, NS B3L 1A4 Canada"
Harbour City Bar & Grill,$$$,3.8 ,32,Bars,halifax,NS,"1990 Barrington Street Halifax, NS B3J 1P2 Canada"
