restaurant_name,price_range,rating,total_reviews,location,province
Sun Fortune Restaurant,$$,4.3 ,36,winnipeg,MB
Deer + Almond,$$,4.3 ,73,winnipeg,MB
OEB Breakfast,$$,3.4 ,22,winnipeg,MB
Fusion Grill,$$$,4.3 ,36,winnipeg,MB
Sous Sol,$$$$,4.9 ,16,winnipeg,MB
Yujiro Japanese Restaurant,$$,4.4 ,48,winnipeg,MB
Brazen Hall,$$,3.6 ,67,winnipeg,MB
Clementine,$$,4.6 ,141,winnipeg,MB
The Merchant Kitchen,$$,4.0 ,34,winnipeg,MB
Marion Street Eatery,$$,4.2 ,55,winnipeg,MB
Bellissimo Restaurant & Lounge,$$,4.0 ,21,winnipeg,MB
Vera,$$,4.8 ,9,winnipeg,MB
BMC Market,$,4.4 ,27,winnipeg,MB
Harth Mozza & Wine Bar,$$$,4.0 ,36,winnipeg,MB
Bonfire Bistro,$$$,3.9 ,20,winnipeg,MB
Cafe Dario,$$$,4.5 ,22,winnipeg,MB
Asian Hot Pot,$$,4.1 ,14,winnipeg,MB
Santa Ana Pizzeria & Bistro,$$,4.5 ,23,winnipeg,MB
Pho Hoang,$$,4.4 ,67,winnipeg,MB
Peasant Cookery,$$$,4.0 ,61,winnipeg,MB
Famena’s Famous Roti & Curry,$$,4.7 ,54,winnipeg,MB
Ye’s Buffet,$$,3.6 ,42,winnipeg,MB
Jessie’s Kitchen,$$,3.8 ,4,winnipeg,MB
Ichiban Japanese Steakhouse,$$$,3.8 ,20,winnipeg,MB
Enoteca,$$$,4.2 ,30,winnipeg,MB
The Grove Pub & Restaurant,$$,4.0 ,24,winnipeg,MB
Tre Visi Cafe,$$,4.5 ,13,winnipeg,MB
Cibo Waterfront Cafe,$$,3.5 ,46,winnipeg,MB
IGI BBQ and Sushi Bistro,$$,3.5 ,26,winnipeg,MB
Tipsy Cow,$$,3.5 ,13,winnipeg,MB
Jane’s,$$$,5.0 ,4,winnipeg,MB
Capital Grill and Bar,$$,4.0 ,30,winnipeg,MB
East India Company Pub & Eatery,$$,4.1 ,91,winnipeg,MB
Inferno’s Bistro,$$$,3.9 ,28,winnipeg,MB
Izakaya Edokko,$$,4.3 ,20,winnipeg,MB
JOEY Polo Park,$$,4.3 ,54,winnipeg,MB
Saperavi,$$$,4.8 ,16,winnipeg,MB
Momo,$,4.2 ,18,winnipeg,MB
The Palm Room,$$,4.1 ,10,winnipeg,MB
The Blue Marble Restaurant & Lounge,$$,4.2 ,22,winnipeg,MB
Moxies,$$$,3.3 ,54,winnipeg,MB
Fergies Fish N Chips & Seafood Market,$$,4.3 ,40,winnipeg,MB
Monticchio Ristorante Italiano,$$,3.9 ,14,winnipeg,MB
Nicolino’s,$$$,3.3 ,20,winnipeg,MB
TH Dang Restaurant,$$,4.2 ,30,winnipeg,MB
529 Wellington,$$$$,3.9 ,74,winnipeg,MB
Dancing Noodle,$,3.6 ,8,winnipeg,MB
La Fiesta Cafecito & Restaurant,$$,3.6 ,16,winnipeg,MB
Bistro Dansk,$$,4.4 ,14,winnipeg,MB
New Golden Inn Restaurant,$$,4.6 ,7,winnipeg,MB
Carbone Coal Fired Pizza,$$,4.0 ,12,winnipeg,MB
Tehran Market & Cafe,$$,4.4 ,9,winnipeg,MB
Montana’s,$$,3.4 ,20,winnipeg,MB
Colosseo Ristorante Italiano,$$,3.8 ,15,winnipeg,MB
Spicy Noodle House,$$,3.4 ,25,winnipeg,MB
Wood Tavern & Grill,$$,3.3 ,6,winnipeg,MB
Noodle Express,$,3.7 ,15,winnipeg,MB
Maxime’s Restaurant & Lounge,$$,3.0 ,29,winnipeg,MB
Kristina’s On Corydon,$$,3.6 ,8,winnipeg,MB
Tony Roma’s,$$,3.8 ,15,winnipeg,MB
Kazoku,$$,4.0 ,22,winnipeg,MB
Komodo Chinese Restaurant,$$,4.3 ,3,winnipeg,MB
Kimchi Sushi,$$,4.2 ,6,winnipeg,MB
The Tallest Poppy,$$,3.4 ,33,winnipeg,MB
Carnaval Brazilian BBQ,$$$$,3.3 ,32,winnipeg,MB
Wasabi Sabi,$$$,4.2 ,31,winnipeg,MB
George’s Burgers & Subs,$,4.3 ,8,winnipeg,MB
Ben & Florentine,$$,3.6 ,43,winnipeg,MB
Silver Heights Restaurant & Lounge,$$,3.8 ,24,winnipeg,MB
Elephant & Castle,$$,3.4 ,46,winnipeg,MB
Jollibee,$,3.6 ,25,winnipeg,MB
Cafe Carlo,$$$,3.5 ,17,winnipeg,MB
Big Guy’s Ranch & Saloon,$,3.8 ,17,winnipeg,MB
Smith Restaurant,$$$,3.4 ,28,winnipeg,MB
The Keg Steakhouse + Bar,$$$,4.1 ,40,winnipeg,MB
Dim Sum Garden Restaurant,$$,2.9 ,25,winnipeg,MB
The Rib Room,$$,3.3 ,4,winnipeg,MB
Hsieh Family Restaurant,$,3.6 ,5,winnipeg,MB
Red Top Drive Inn,$,4.1 ,35,winnipeg,MB
Michele’s Restaurant,$$,2.3 ,4,winnipeg,MB
Steve’s Bistro,$$,4.2 ,22,winnipeg,MB
