restaurant_name,address
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Sun Fortune Restaurant,"2077 Pembina Hwy Winnipeg, MB R3T 5J9 Canada"
Yujiro Japanese Restaurant,"1822 Grant Avenue Winnipeg, MB R3N 0N3 Canada"
Frankies Italian Kitchen,"505 Sterling Lyon Parkway Winnipeg, MB R3P 2T3 Canada"
Deer + Almond,"85 Princess Street Winnipeg, MB R3B 1K4 Canada"
Preservation Hall,"655 Empress Street Winnipeg, MB R3G 3P7 Canada"
The Block & Blade Restaurant & Bar,"1100 50 Sage Creek Boulevard Winnipeg, MB R3X 0J6 Canada"
The Roost,"651 Corydon Avenue Winnipeg, MB R3M 0W3 Canada"
James Avenue Pumphouse,"2-109 James Avenue Winnipeg, MB R3B 0N6 Canada"
Brazen Hall,"800 Pembina Highway Winnipeg, MB R3M 2M7 Canada"
Fusion Grill,"550 Academy Road Winnipeg, MB R3N 0E3 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Sous Sol,"222 Osborne Street Unit 22 Winnipeg, MB R3L 1Z3 Canada"
Máquè,"909 Dorchester Avenue Unit A Winnipeg, MB R3M 0P7 Canada"
Bellissimo Restaurant & Lounge,"877 Waverley Street Winnipeg, MB R3T 5V3 Canada"
OEB Breakfast,"100 - 330 Main Street Winnipeg, MB R3C 0Y7 Canada"
Vera,"670 Osborne Street Winnipeg, MB R3L 2B9 Canada"
Nola,"101-300 Tache Avenue Winnipeg, MB R2H 2A2 Canada"
Gather Craft Kitchen & Bar,"145 The Leaf Way The Leaf  Assiniboine Park Winnipeg, MB R3P 2N5 Canada"
Asian Hot Pot,"740 Corydon Avenue Winnipeg, MB R3M 0W6 Canada"
The Merchant Kitchen,"314 Donald Street Winnipeg, MB R3B 2B9 Canada"
BMC Market,"722 Osborne Street Winnipeg, MB R3L Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Clementine,"123 Princess Street Winnipeg, MB R3B 1K8 Canada"
Pho Hoang,"794 Sargent Avenue Suite 5 Winnipeg, MB R3E 0B7 Canada"
Harth Mozza & Wine Bar,"980 St Anne's Road Winnipeg, MB R2M 2X9 Canada"
Leopold's Tavern Winnipeg - Osborne South,"696 Osborne Street Winnipeg, MB R3L 2B9 Canada"
Marion Street Eatery,"393 Marion Street Winnipeg, MB R2H Canada"
Tre Visi Cafe,"926 Grosvenor Avenue Winnipeg, MB R3M 2W9 Canada"
LOCAL Public Eatery,"274 Garry Street Winnipeg, MB R3C 1H3 Canada"
IGI BBQ and Sushi Bistro,"10-1875 Pembina Highway Winnipeg, MB R3T 2G6 Canada"
Fu Lin Chinese,"956 St Mary's Road Winnipeg, MB R2M 3R8 Canada"
La Taqueria Mexican Street Tacos,"1863 Ness Ave Winnipeg, MB R3J 0Y5 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
