restaurant_name,price_range,rating,total_reviews,category,location,province,address
Tide and Boar Gastropub,$$,4.1 ,166,Gastropubs,moncton,NB,"700 Main Street Moncton, NB E1C 1E4 Canada"
The Pump House Brewery and Restaurant,$$,4.0 ,116,Breweries,moncton,NB,"5 Orange Lane Moncton, NB E1C 4L6 Canada"
Cinta Ria Malaysian Restaurant,$$,4.8 ,46,Asian Fusion,moncton,NB,"161 Robinson Street Moncton, NB E1C 5C2 Canada"
Gusto Italian Grill & Bar,$$,4.2 ,65,Bars,moncton,NB,"130 Westmorland Street Moncton, NB E1C 1G2 Canada"
Skipper Jacks,$$$,3.9 ,44,Seafood,moncton,NB,"211 Mapleton Road Moncton, NB E1C 0E3 Canada"
Catch22 Lobster Bar,$$$,3.6 ,58,Seafood,moncton,NB,"589 Main Street Moncton, NB E1C 1C6 Canada"
Blue Olive,$$,4.0 ,21,Mediterranean,moncton,NB,"451 Paul Street Unit 114 Dieppe, NB E1A 6W8 Canada"
Saint James Gate,$$$,3.4 ,12,Seafood,moncton,NB,"14 Church Street Dieppe, NB E1A 8J6 Canada"
Red Satay,$$,4.5 ,23,Vietnamese,moncton,NB,"201 St George Street Moncton, NB E1C 1V6 Canada"
Les Brumes du Coude,$$$,4.7 ,13,French,moncton,NB,"140 Botsford Moncton, NB E1C 4X5 Canada"
Tokai,$$,4.6 ,16,Japanese,moncton,NB,"823 Main Street Moncton, NB E1C 1G1 Canada"
Osaka Hibachi,$$,3.9 ,23,Japanese,moncton,NB,"599 Main Street Moncton, NB E1C 1C8 Canada"
Moxies,$$,3.8 ,37,Canadian (New),moncton,NB,"10 Wyse Street Moncton, NB E1C 7L7 Canada"
The Homestead Restaurant,$$,4.0 ,16,Canadian (New),moncton,NB,"358 Coverdale Road Riverview, NB E1B 3J5 Canada"
Japan Go!,$$,4.4 ,38,Sushi Bars,moncton,NB,"687 Main Street Moncton, NB E1C 1E3 Canada"
Casino New Brunswick Buffet Restaurant,$$,2.2 ,13,Buffets,moncton,NB,"21 Casino Drive Moncton, NB E1G 3T6 Canada"
Calactus Café Restaurant Végétarien,$$,4.5 ,92,Vegan,moncton,NB,"125 Church Street Moncton, NB E1C 4Z8 Canada"
Isac Korean Cuisine,$$,4.9 ,7,Korean,moncton,NB,"384 Saint George Street Moncton, NB E1C 1X2 Canada"
The Keg Steakhouse + Bar - Moncton,$$$,3.9 ,38,Steakhouses,moncton,NB,"576 Main St Moncton, NB E1C 0M6 Canada"
The Chris Rock Tavern,$$,3.6 ,5,Dive Bars,moncton,NB,"48 Albert Street Moncton, NB E1C 1A6 Canada"
ALTO Restaurant,$$,3.3 ,4,Greek,moncton,NB,"630 Pinewood Road Riverview, NB E1B 5R6 Canada"
Mai Asian Restaurant,$$,3.5 ,8,Asian Fusion,moncton,NB,"4-1909 Mountain Road Suite 3 Moncton, NB E1G 1A8 Canada"
Mai Asian Restaurant,$$,3.5 ,8,Asian Fusion,moncton,NB,"40 Champlain Street Dieppe, NB E1A 1N3 Canada"
Vien Dong Restaurant,$$,3.6 ,16,Thai,moncton,NB,"880 Main Street Moncton, NB E1C 1G4 Canada"
Tajmahal Flavor of India,$$,4.2 ,33,Indian,moncton,NB,"882 Main Street Moncton, NB E1C 1G4 Canada"
Near East Chinese Market & Restaurant,$$,3.8 ,5,Dim Sum,moncton,NB,"342 Coverdale Road Riverview, NB E1B 3J4 Canada"
The Old Triangle Irish Alehouse,$$,3.6 ,40,Irish,moncton,NB,"751 Main Street Moncton, NB E1C 1E5 Canada"
House Of Lam,$$,3.2 ,22,Chinese,moncton,NB,"951 Mountain Road Moncton, NB E1C 2S4 Canada"
Third Glass Bar,$$,4.7 ,7,Wine Bars,moncton,NB,"819 Main Street Moncton, NB E1C 1G1 Canada"
Igloo Beverage Room,$$,4.1 ,7,Steakhouses,moncton,NB,"300 Elmwood Drive Moncton, NB E1A 6V2 Canada"
Cafe Archibald,$$,3.8 ,15,Cafes,moncton,NB,"221 Mountain Road Moncton, NB E1C 2L5 Canada"
Cafe Archibald,$$,3.8 ,15,Cafes,moncton,NB,"216 Chemin Gauvin Dieppe, NB E1A Canada"
