restaurant_name,price_range,rating,total_reviews,category,location,province,address
Paulo & Suzanne,$$,4.3 ,103,Diners,montreal,QC,"5501 Boulevard Gouin O Montreal, QC H4J 1C8 Canada"
Kazu,$$,4.3 ,721,Japanese,montreal,QC,"1844 Rue Sainte-Catherine O Montreal, QC H3H 1M1 Canada"
Damas,$$$,4.7 ,414,Syrian,montreal,QC,"1201 Avenue Van Horne Montreal, QC H2V 1K4 Canada"
Bottega,$$,3.9 ,56,Pizza,montreal,QC,"2059 Boulevard Saint-Martin Ouest Laval, QC H7S 1N3 Canada"
Il Focolaio,$$,4.3 ,477,Pizza,montreal,QC,"1223 Rue du Square-Phillips Montreal, QC H3B 3E9 Canada"
Joe Beef,$$$,4.3 ,743,Seafood,montreal,QC,"2491 Rue Notre-Dame Ouest Montreal, QC H3J 1N6 Canada"
Restaurant Yi Pin Xiang,$$,3.9 ,31,Chinese,montreal,QC,"735 boul Décarie Saint-Laurent, QC H4L 3L3 Canada"
Gyu-Kaku Japanese BBQ,$$$,4.4 ,195,Japanese,montreal,QC,"1255 Rue Crescent Montreal, QC H3G 2B1 Canada"
KINTON RAMEN,$$,4.4 ,59,Ramen,montreal,QC,"2575 Boulevard Daniel-Johnson Laval, QC H7T 1S8 Canada"
Phnom Penh,$$,4.8 ,17,Vietnamese,montreal,QC,"7153 Chemin de la Côte-des-Neiges Montreal, QC H3R 2M2 Canada"
KINKA IZAKAYA MONTREAL,$$,3.9 ,369,Japanese,montreal,QC,"1624 Rue Sainte-Catherine Ouest Montreal, QC H3H 2S7 Canada"
Maison Mignon,$,4.3 ,49,Taiwanese,montreal,QC,"1440 Rue de l'Eglise Saint-Laurent, QC H4L 2H3 Canada"
Les Deux Gamins,$$,4.2 ,593,French,montreal,QC,"170 Rue Prince Arthur E Montreal, QC H2X 1B7 Canada"
Rasputin,$$$,4.1 ,10,Russian,montreal,QC,"617 Boulevard Decarie Saint-Laurent, QC H4L 3L2 Canada"
La Luncheonette,$,4.4 ,32,Cafes,montreal,QC,"4271 Rue Saint-Jacques Montreal, QC H4C 1J7 Canada"
Au Pied de Cochon,$$$,4.2 ,1.4k,Canadian (New),montreal,QC,"536 Avenue Duluth E Montreal, QC H2L 1A9 Canada"
Fourchette Antillaise,$$,4.3 ,13,Cajun/Creole,montreal,QC,"5968 Rue de Salaberry Montreal, QC H4J 1J8 Canada"
Pasta da Panza,$$,4.8 ,47,Italian,montreal,QC,"3825 Boulevard Saint-Martin O Laval, QC H7T 1B2 Canada"
Pushap,$,4.2 ,160,Indian,montreal,QC,"5195 Rue Paré Montreal, QC H4P 1P4 Canada"
Marché Méli-Mélo,$,4.3 ,32,Haitian,montreal,QC,"640 Rue Jarry E Montreal, QC H2P 1V7 Canada"
La Banquise,$$,4.0 ,2.2k,Poutineries,montreal,QC,"994 Rue Rachel E Montreal, QC H2J 2J3 Canada"
Arepera,$$,4.4 ,326,Venezuelan,montreal,QC,"73 Rue Prince Arthur E Montreal, QC H2X 1B4 Canada"
RUBS American BBQ,$$,4.0 ,136,Barbeque,montreal,QC,"699 Boulevard Curé-Labelle Laval, QC H7L 5R7 Canada"
Satay Brothers,$$,4.1 ,291,Singaporean,montreal,QC,"3721 Rue Notre-Dame Ouest Montreal, QC H4C 1P8 Canada"
La Belle et la Boeuf,$$,3.8 ,122,Burgers,montreal,QC,"510 Promenade de Centropolis Laval, QC H7T 3C2 Canada"
Le Majestique,$$,4.4 ,199,Bars,montreal,QC,"4105 Boulevard Saint-Laurent Montreal, QC H2W 1Y7 Canada"
Bol Orange,$$,4.3 ,62,Korean,montreal,QC,"983 Boulevard Décarie Montreal, QC H4L 3M6 Canada"
Bar George,$$,4.3 ,222,British,montreal,QC,"1440 Rue Drummond Montreal, QC H3G 1V9 Canada"
Beroya Restaurant,$$,4.3 ,56,Mediterranean,montreal,QC,"3455 Boulevard Saint-Martin O Laval, QC H7T 1A2 Canada"
Beaufort,$$,4.0 ,34,Bistros,montreal,QC,"6653 Rue St-Hubert Montreal, QC H2S 2M5 Canada"
Piatti Pronti,$$,4.2 ,9,Italian,montreal,QC,"1794 Boulevard le Corbusier Laval, QC H7S 2K1 Canada"
Brazas Portugal,$$,3.9 ,25,Portuguese,montreal,QC,"169A Boulevard Sainte-Rose Laval, QC H7L 1L2 Canada"
Grigio,$$,4.1 ,15,Italian,montreal,QC,"993 Boulevard Saint-Martin Ouest Laval, QC H7S 1M5 Canada"
Restaurant Ermitage,$$$,4.8 ,19,Russian,montreal,QC,"5024, ch de la Côte-des-Neiges Montreal, QC H3V 1G6 Canada"
Sen Vang,$,4.5 ,51,Vietnamese,montreal,QC,"5690 Avenue Victoria Montreal, QC H3W 2P8 Canada"
Bâton Rouge Steakhouse & Bar,$$$,3.4 ,45,Seafood,montreal,QC,"3035 Boulevard le Carrefour Laval, QC H7T 1C8 Canada"
Nouilles Zhonghua,$$,4.4 ,38,Noodles,montreal,QC,"908 Rue Sherbrooke O Montreal, QC H3A 1G3 Canada"
Ave Seoul,$$,3.8 ,42,Korean,montreal,QC,"885 Boulevard Décarie Montreal, QC H4L 3M2 Canada"
Dinette Triple Crown,$$,4.4 ,271,Southern,montreal,QC,"6704 Rue Clark Montreal, QC H2S 3G2 Canada"
Toyo Japanese Steak House,$$$,3.3 ,15,Japanese,montreal,QC,"1510 Chomedey Boulevard Laval, QC H7V 3N8 Canada"
El Rey del Taco,$$,4.0 ,188,Mexican,montreal,QC,"232 Rue Jean-Talon E Montreal, QC H2R 1S7 Canada"
Roch le Coq,$$,4.2 ,46,Chicken Shop,montreal,QC,"1541 Avenue Van Horne Montreal, QC H2V 1L4 Canada"
Joséphine,$$,4.4 ,31,Seafood,montreal,QC,"4007 Rue Saint-Denis Montreal, QC H2W 2M4 Canada"
Christinas Cuisine,$$,4.6 ,46,Greek,montreal,QC,"4367 Rue Notre Dame Laval, QC H7W 1T3 Canada"
Ten Teppanyaki & Izakaya,$$$,4.0 ,5,Japanese,montreal,QC,"11655 Boulevard Gouin Ouest Montreal, QC H8Y 1Y4 Canada"
Walter Bistro,$$,4.7 ,11,French,montreal,QC,"1575 Rue Fleury Est Montreal, QC H2C 1S7 Canada"
MR PATTY,$,4.4 ,23,Caribbean,montreal,QC,"5312 Patricia Avenue Montreal, QC H4V 1Z2 Canada"
Well,$$,4.5 ,42,Breakfast & Brunch,montreal,QC,"4567 Rue Wellington Montreal, QC H4G 1W8 Canada"
Boucherie et Grillades Rayan,$,4.8 ,4,Butcher,montreal,QC,"3082 Boulevard Cartier O Laval, QC H7V 1J5 Canada"
Chez Wafi,$,4.8 ,13,Lebanese,montreal,QC,"597 Boulevard Côte Vertu Saint-Laurent, QC H4L Canada"
Restaurant Makoto,$$,4.0 ,41,Japanese,montreal,QC,"7112 Boulevard Saint-Laurent Montreal, QC H2S 3E2 Canada"
Hansang,$$,4.6 ,43,Korean,montreal,QC,"5136 Avenue du Parc Montreal, QC H2V 4G5 Canada"
La Bêtise,$$,4.0 ,43,Tapas Bars,montreal,QC,"6015 Saint-Hubert Montreal, QC H2S 2L8 Canada"
Kam Shing,$$,3.7 ,31,Chinese,montreal,QC,"575 Boulevard Saint-Martin O Laval, QC H7M 1Y9 Canada"
