restaurant_name,price_range,rating,total_reviews,location,province
P&M’s Kouzzina,$$,4.4 ,47,greater-sudbury,ON
Laughing Buddha,$$,3.8 ,74,greater-sudbury,ON
Respect Is Burning Supperclub,$$,4.1 ,45,greater-sudbury,ON
Tucos Taco Lounge,$$,4.1 ,44,greater-sudbury,ON
Sapporo Ichibang,$$,4.4 ,14,greater-sudbury,ON
Alexandria’s Restaurant & Lounge,$$$,4.2 ,6,greater-sudbury,ON
Leslie’s Charbroil & Grill,$$,4.2 ,12,greater-sudbury,ON
Oscar’s Grill,$$$,3.8 ,11,greater-sudbury,ON
St Louis Bar and Grill,$$,3.0 ,7,greater-sudbury,ON
The HourGlass Restaurant and Lounge,$$,3.6 ,11,greater-sudbury,ON
Bella Vita Cucina,$$$,3.9 ,18,greater-sudbury,ON
The Dog House,$$,3.5 ,11,greater-sudbury,ON
Mr Prime Rib,$$,4.0 ,12,greater-sudbury,ON
Jak’s Diner,$$,3.8 ,10,greater-sudbury,ON
Cousin Vinny’s Restaurant & Bar,$$,3.1 ,9,greater-sudbury,ON
The Keg Steakhouse + Bar - Sudbury,$$$,3.9 ,23,greater-sudbury,ON
La Fromagerie,$$,4.0 ,8,greater-sudbury,ON
Wacky Wings,$$,2.1 ,23,greater-sudbury,ON
Overtime Bar and Grill,$$$,3.9 ,9,greater-sudbury,ON
Stackhouse Pizza Sub and Poutinere,$$,5.0 ,3,greater-sudbury,ON
Montana’s BBQ & Bar,$$,2.6 ,19,greater-sudbury,ON
Hardrock 42 Gastropub,$$,2.6 ,18,greater-sudbury,ON
Suzanne’s,$,5.0 ,4,greater-sudbury,ON
Beards Coffee Bar & Bakery,$$,4.8 ,6,greater-sudbury,ON
Red Lobster,$$,2.3 ,9,greater-sudbury,ON
La Casa Mexicana,$$,2.5 ,6,greater-sudbury,ON
Cortina Pizza Hanmer,$,4.0 ,1,greater-sudbury,ON
Kingsway Buffet,$$,1.8 ,13,greater-sudbury,ON
Herc’s Greek Eatery,$$,3.7 ,6,greater-sudbury,ON
East Side Mario’s,$$,2.3 ,13,greater-sudbury,ON
Tandoori Tastes,$$,2.8 ,19,greater-sudbury,ON
Vespa Street Kitchen,$$,3.1 ,12,greater-sudbury,ON
Five Guys,$$,2.6 ,5,greater-sudbury,ON
Boston Pizza,$$,2.0 ,9,greater-sudbury,ON
Trevi Tavern Restrnt,$$,3.3 ,3,greater-sudbury,ON
Topper’s Pizza,$$,2.0 ,2,greater-sudbury,ON
Sub World,$,3.4 ,7,greater-sudbury,ON
Tutti Frutti Breakfast & Lunch,$$,3.5 ,33,greater-sudbury,ON
Dairy Queen Grill & Chill,$,5.0 ,1,greater-sudbury,ON
Swiss Chalet Rotisserie & Grill,$$,2.1 ,7,greater-sudbury,ON
Canton Chinese Food,$,2.7 ,6,greater-sudbury,ON
Topper’s Pizza,$,4.3 ,3,greater-sudbury,ON
Gonga’s Grill,$$,3.6 ,5,greater-sudbury,ON
New York Fries,$$,1.0 ,1,greater-sudbury,ON
Topper’s Pizza,$$,2.9 ,7,greater-sudbury,ON
Wendy’s,$,2.1 ,8,greater-sudbury,ON
Little Montreal,$$$,2.4 ,5,greater-sudbury,ON
Pita Pit,$,3.7 ,3,greater-sudbury,ON
Pita Pit,$,3.0 ,1,greater-sudbury,ON
Topper’s Pizza,$$,3.0 ,3,greater-sudbury,ON
McDonald’s,$,1.6 ,18,greater-sudbury,ON
Taco Bell,$,2.0 ,1,greater-sudbury,ON
The Ship,$$,4.1 ,209,hamilton,ON
Earth To Table : Bread Bar,$$,4.2 ,290,hamilton,ON
MERK,$$,4.5 ,13,hamilton,ON
Berkeley North,$$$,4.3 ,42,hamilton,ON
Diplomat,$$$,4.1 ,23,hamilton,ON
Quatrefoil Restaurant,$$$$,4.6 ,59,hamilton,ON
The Mule,$$,3.9 ,176,hamilton,ON
Spencer’s at the Waterfront,$$$,3.8 ,242,hamilton,ON
Hambrgr,$$,4.3 ,204,hamilton,ON
The Burnt Tongue,$$,4.4 ,39,hamilton,ON
Ancaster Mill,$$$,4.0 ,70,hamilton,ON
Bangkok Spoon Deluxe,$$,3.8 ,63,hamilton,ON
Aberdeen Tavern,$$$,4.1 ,75,hamilton,ON
Lulu’s Shawarma,$,4.2 ,36,hamilton,ON
Spring Grill House,$$,3.9 ,77,hamilton,ON
Tally Ho,$$,3.9 ,25,hamilton,ON
Coach & Lantern,$$,3.7 ,23,hamilton,ON
The French,$$$,4.2 ,97,hamilton,ON
The Phoenix Bar & Grill,$$,3.8 ,18,hamilton,ON
Maccheroni Cucina Alfresco,$$,3.8 ,11,hamilton,ON
Detour Cafe,$$,3.9 ,88,hamilton,ON
Chicago Style Pizza,$$,4.0 ,134,hamilton,ON
Basilique,$$,3.7 ,31,hamilton,ON
Liu Liu Hot Pot,$$,3.4 ,16,hamilton,ON
La Spaghett,$$,4.0 ,37,hamilton,ON
Ajio Sushi,$$,4.2 ,40,hamilton,ON
Szechuan Noodle Bowl,$,4.0 ,10,hamilton,ON
Collins Brewhouse,$$,3.5 ,38,hamilton,ON
Mesa,$$,4.1 ,57,hamilton,ON
Born and Raised,$$,3.7 ,23,hamilton,ON
Thirsty Cactus Cantina & Grill,$$,3.3 ,49,hamilton,ON
