restaurant_name,price_range,rating,total_reviews,location,province
Paulo & Suzanne,$$,4.3 ,103,montreal,QC
Kazu,$$,4.3 ,721,montreal,QC
Damas,$$$,4.7 ,414,montreal,QC
Joe Beef,$$$,4.3 ,743,montreal,QC
L’Avenue,$$,4.5 ,1.3k,montreal,QC
Bottega,$$,3.9 ,56,montreal,QC
Le Majestique,$$,4.4 ,199,montreal,QC
Ma Poule Mouillée,$$,4.5 ,571,montreal,QC
Au Pied de Cochon,$$$,4.2 ,1.4k,montreal,QC
Schwartz’s,$$,4.1 ,3.1k,montreal,QC
La Banquise,$$,4.0 ,2.2k,montreal,QC
Il Focolaio,$$,4.3 ,477,montreal,QC
KINTON RAMEN,$$,4.4 ,59,montreal,QC
Restaurant Yi Pin Xiang,$$,3.9 ,31,montreal,QC
Beroya Restaurant,$$,4.3 ,56,montreal,QC
Fourchette Antillaise,$$,4.3 ,13,montreal,QC
Maison Mignon,$,4.3 ,49,montreal,QC
Les Deux Gamins,$$,4.2 ,593,montreal,QC
Gyu-Kaku Japanese BBQ,$$$,4.4 ,195,montreal,QC
RUBS American BBQ,$$,4.0 ,136,montreal,QC
KINKA IZAKAYA MONTREAL,$$,3.9 ,369,montreal,QC
Phnom Penh,$$,4.8 ,17,montreal,QC
Pasta da Panza,$$,4.8 ,47,montreal,QC
Satay Brothers,$$,4.1 ,291,montreal,QC
Bol Orange,$$,4.3 ,62,montreal,QC
Joséphine,$$,4.4 ,30,montreal,QC
Pushap,$,4.2 ,160,montreal,QC
Rasputin,$$$,4.1 ,10,montreal,QC
La Belle et la Boeuf,$$,3.8 ,122,montreal,QC
Ave Seoul,$$,3.8 ,42,montreal,QC
L’Ambroisie,$$,3.5 ,8,montreal,QC
Bar George,$$,4.3 ,222,montreal,QC
Le Colonel Moutarde,$$,4.5 ,26,montreal,QC
Brazas Portugal,$$,3.9 ,25,montreal,QC
Les Délices de l’Île Maurice,$$,4.4 ,20,montreal,QC
