restaurant_name,price_range,rating,total_reviews,category,location,province,address
Le Lapin Sauté,$$$,4.3 ,694,French,quebec,QC,"52 Rue du Petit-Champlain Quebec City, QC G1K 4H4 Canada"
La Bûche,$$,4.2 ,634,Canadian (New),quebec,QC,"49 Rue Saint-Louis Quebec City, QC G1R 3Z2 Canada"
Bistro St-Malo,$$,4.3 ,374,Bistros,quebec,QC,"75 Rue Saint-Paul Quebec City, QC G1K 3V8 Canada"
Buvette Scott,$$$,4.9 ,175,Canadian (New),quebec,QC,"821 Rue Scott Quebec City, QC G1R 3C8 Canada"
Le Pape Georges,$$,4.3 ,90,Canadian (New),quebec,QC,"8 Rue du Cul-de-Sac Quebec City, QC G1K 8L4 Canada"
Le Billig,$$,4.4 ,575,Creperies,quebec,QC,"481 Rue Saint-Jean Quebec City, QC G1R 1P5 Canada"
Le Hobbit,$$,4.1 ,435,French,quebec,QC,"700 Rue Saint Jean Quebec City, QC G1R 1P9 Canada"
Cochon Dingue,$$,4.0 ,644,Breakfast & Brunch,quebec,QC,"46 Boulevard Champlain Quebec City, QC G1K 4H5 Canada"
Cochon Dingue,$$,4.0 ,644,Breakfast & Brunch,quebec,QC,"1014 Rue Saint-Jean Quebec City, QC G1R 1R6 Canada"
Chez Victor,$$,4.3 ,140,Burgers,quebec,QC,"300 Rue Saint-Paul Suite 140 Quebec City, QC G1K 7R1 Canada"
Chez Boulay - Bistro Boréal,$$$,4.4 ,389,Breakfast & Brunch,quebec,QC,"1110 Rue Saint-Jean Quebec City, QC G1R 1S4 Canada"
Jardin Du Bonheur,$$,4.8 ,4,Chinese,quebec,QC,"4560 1ère Avenue Quebec City, QC G1H 2S9 Canada"
Légende,$$$$,4.6 ,141,Canadian (New),quebec,QC,"255 Rue Saint-Paul Quebec City, QC G1K 3W5 Canada"
Le Saint-Amour,$$$$,4.6 ,196,French,quebec,QC,"48 Rue Sainte-Ursule Quebec City, QC G1R 4E2 Canada"
Bistro 1640,$$,3.8 ,217,French,quebec,QC,"20 Rue Sainte-Anne Quebec City, QC G1R 3X2 Canada"
Poutineville,$$,4.3 ,124,Burgers,quebec,QC,"735 Rue Saint-Joseph E Quebec City, QC G1K 3C6 Canada"
Le Café du Clocher Penché,$$,4.7 ,124,French,quebec,QC,"203, Rue Saint-Joseph E Quebec City, QC G1K 3B1 Canada"
Le Continental,$$$$,4.3 ,193,French,quebec,QC,"26 Rue Saint Louis Quebec City, QC G1R 3Y9 Canada"
Q-de-Sac Resto-Pub,$$,4.4 ,96,Gastropubs,quebec,QC,"10 Rue du Cul-de-Sac Quebec City, QC G1K 4E8 Canada"
Paillard,$$,4.2 ,650,Bakeries,quebec,QC,"1097 Rue Saint-Jean Quebec City, QC G1R 1S3 Canada"
Ophelia,$$$,4.3 ,68,Seafood,quebec,QC,"634 Grande Allée E Quebec City, QC G1R 2K5 Canada"
Aux Anciens Canadiens,$$$,3.9 ,367,Canadian (New),quebec,QC,"34 Rue Saint-Louis Quebec City, QC G1R 4P3 Canada"
Chez Jules,$$,4.2 ,150,Brasseries,quebec,QC,"24 Rue Sainte-Anne Quebec City, QC G1R 3X3 Canada"
Tora-Ya Ramen,$$,4.3 ,50,Ramen,quebec,QC,"75 Rue Saint-Joseph E Ville de Québec, QC G1K 3A6 Canada"
Chez Temporel,$$,4.5 ,90,French,quebec,QC,"25 Rue Couillard Quebec City, QC G1R 3T4 Canada"
Le Croquembouche Pâtissier et traiteur,$,4.5 ,114,Bakeries,quebec,QC,"225 Rue Saint-Joseph E Quebec City, QC G1K 3B1 Canada"
Ciccio Cafe,$$,4.7 ,56,Italian,quebec,QC,"875 Claire Fontaine Quebec City, QC G1R 3A8 Canada"
Le Chic Shack,$$,4.0 ,384,Burgers,quebec,QC,"15 Rue du Fort Quebec City, QC G1R 3Z8 Canada"
Phil Smoked Meat,$$,4.5 ,35,Sandwiches,quebec,QC,"461 Rue Saint-Joseph E Quebec City, QC G1K 3B6 Canada"
Chez Muffy,$$$$,4.3 ,44,French,quebec,QC,"10 Rue Saint-Antoine Quebec City, QC G1K 4C9 Canada"
Sapristi,$$,3.9 ,233,Italian,quebec,QC,"1001 Rue Saint-Jean Quebec City, QC G1R 1S4 Canada"
Chez Gaston,$,4.5 ,53,Poutineries,quebec,QC,"332 Rue Dorchester Quebec City, QC G1K 6A2 Canada"
Nguyen,$$,5.0 ,2,Thai,quebec,QC,"2647 1ère Avevue Quebec City, QC G1L 3N5 Canada"
Bello Ristorante,$$$,4.2 ,198,Italian,quebec,QC,"73 Rue Saint-Louis Quebec City, QC G1R 3Z3 Canada"
La Pizzaio,$$,4.8 ,38,Italian,quebec,QC,"319 rue Saint-Paul Quebec City, QC G1K 3X1 Canada"
Apsara,$$,3.9 ,122,Thai,quebec,QC,"71 Rue d'Auteuil Quebec City, QC G1R 4C3 Canada"
Kraken Cru,$$,4.7 ,12,Seafood,quebec,QC,"190 Rue Saint-Vallier O Quebec City, QC G1K 1K1 Canada"
Un Thé au Sahara,$$,4.1 ,57,Moroccan,quebec,QC,"7 Rue Sainte-Ursule Quebec City, QC G1R 4C7 Canada"
Saveurs du Monde,$$,4.4 ,43,Moroccan,quebec,QC,"847 Rue Saint-Jean Quebec City, QC G1R 1R2 Canada"
Cendrillon,$$$,4.7 ,24,Canadian (New),quebec,QC,"1039 3e Avenue Quebec City, QC G1L 2X3 Canada"
Boulangerie du Lac,$$,5.0 ,7,Bakeries,quebec,QC,"1025 Boulevard du Lac Lac-Beauport, QC G3B 0X1 Canada"
Champlain,$$$$,4.1 ,75,French,quebec,QC,"1 Rue des Carrières 1e étage Quebec City, QC G1R 4P5 Canada"
Chanhda,$,4.7 ,15,Asian Fusion,quebec,QC,"2900 Chemin Saint-Louis Quebec City, QC G1W 4R7 Canada"
La Gueule de Bois,$$$,4.9 ,25,Canadian (New),quebec,QC,"207 Rue Saint-Vallier E Quebec City, QC G1K 3P2 Canada"
Bistro le Sam,$$$,3.9 ,131,Canadian (New),quebec,QC,"1 Rue des Carrières Quebec City, QC G1R 4P6 Canada"
Ninkasi,$,4.2 ,29,Bars,quebec,QC,"811 Rue Saint-Jean Quebec City, QC G1R 1R2 Canada"
1608 Wine & Cheese Bar,$$$,4.3 ,90,Wine Bars,quebec,QC,"1 Rue des Carrières Quebec City, QC G1R 4P5 Canada"
Le Cochon Dingue,$$,4.0 ,48,French,quebec,QC,"1550 Boulevard Lebourgneuf Quebec City, QC G2K 2M4 Canada"
Restaurant Wong,$$,3.4 ,43,Cantonese,quebec,QC,"19 Rue de Buade Quebec City, QC G1R 3Z9 Canada"
Restaurant Nek8arre,$$$,4.0 ,3,Restaurants,quebec,QC,"Site Traditionnel Huron 575, Rue Chef-Stanislas-Koska Wendake, QC G0A 4V0 Canada"
Bachir,$,4.5 ,42,Lebanese,quebec,QC,"56 Boulevard René Lévesque Ouest Quebec City, QC G1R 2A4 Canada"
Matto,$$$,4.2 ,112,Italian,quebec,QC,"71 Rue Saint-Pierre Quebec City, QC G1K 4A5 Canada"
Ciel! Bistro-bar tournant,$$$,4.2 ,110,French,quebec,QC,"1225 Cours Du Général De Montcalm Quebec City, QC G1R 4W6 Canada"
Fanamanga,$$,4.2 ,15,Comic Books,quebec,QC,"650 rue Saint-Joseph Quebec City, QC G1K 3B9 Canada"
Bügel fabrique de bagels,$$,4.1 ,85,Breakfast & Brunch,quebec,QC,"164 rue Crémazie Ouest Quebec City, QC G1R 1X7 Canada"
Archibald,$$,4.3 ,6,Seafood,quebec,QC,"40 Rue du Marché-Champlain Quebec City, QC G1K 4H3 Canada"
Bati Bassac,$$,4.0 ,34,Thai,quebec,QC,"125 Rue Saint-Joseph E Quebec City, QC G1K 3A8 Canada"
Le Café du Monde,$$,3.6 ,92,French,quebec,QC,"84 Rue Dalhousie Quebec City, QC G1K 4B2 Canada"
Archibald Microbrasserie,$$,4.0 ,21,Breweries,quebec,QC,"1021 Boulevard Du Lac Lac-Beauport, QC G3B 0X1 Canada"
La Boîte à Pain,$,4.3 ,103,Bakeries,quebec,QC,"289 Rue Saint-Joseph Est Quebec City, QC G1K 3B1 Canada"
Patente et Machin,$$$,4.4 ,69,Canadian (New),quebec,QC,"82 Rue Saint-Joseph O Quebec City, QC G1K 1W9 Canada"
Laurie Raphaël,$$$$,4.5 ,37,French,quebec,QC,"117 Rue Dalhousie Quebec City, QC G1K 9C8 Canada"
Le Croque Délice,$,3.8 ,4,Fast Food,quebec,QC,"2244, Boul Bastien Quebec City, QC G2B 1B6 Canada"
La Girolle,$$,4.6 ,11,French,quebec,QC,"1384 Chemin Sainte-Foy Quebec City, QC G1S 2N6 Canada"
Nina Pizza Napolitaine,$$,4.4 ,68,Pizza,quebec,QC,"410 Rue Saint-Anselme Quebec City, QC G1K 5T2 Canada"
Sapristi,$$,4.2 ,135,Italian,quebec,QC,"24 Boulevard Champlain Quebec City, QC G1K 4H5 Canada"
La Galette Libanaise,$,4.3 ,41,Lebanese,quebec,QC,"641 Grande-Allée E Quebec City, QC G1R 2K4 Canada"
Kimono,$$,3.8 ,33,Japanese,quebec,QC,"1137 Route de l'Église Quebec City, QC G1V 3W4 Canada"
Aux Deux Violons Restaurant,$$,4.6 ,7,Mediterranean,quebec,QC,"310 Boulevard René Lévesque Ouest Quebec City, QC G1S 1R9 Canada"
Le Mexicain,$,4.5 ,6,Mexican,quebec,QC,"1000 de L'Oise Quebec City, QC G1H 2N4 Canada"
Restaurant Jardin du Vietnam,$$,4.3 ,4,Vietnamese,quebec,QC,"260 Rue Saint-Vallier O Quebec City, QC G1K 1K2 Canada"
Le Bouchon du Pied Bleu,$$$,4.7 ,21,French,quebec,QC,"179 Rue Saint-Vallier O Quebec City, QC G1K 1J9 Canada"
Lanterne Rouge,$$,3.9 ,10,Chinese,quebec,QC,"3280 Chemin Sainte-Foy Quebec City, QC G1X 1S1 Canada"
BEClub Bistro-Bar,$$,4.7 ,81,Canadian (New),quebec,QC,"17 Rue Saint-Stanislas Ville de Québec, QC G1R 4G7 Canada"
Le Batifol,$$,4.5 ,11,Canadian (New),quebec,QC,"995 Boulevard du Lac Lac-Beauport, QC G3B 0W6 Canada"
Délicatesses Tonkinoises,$$,4.2 ,17,Caterers,quebec,QC,"732, Rue Saint-Jean Quebec City, QC G1R 1P9 Canada"
Le Dijon,$$,3.8 ,5,French,quebec,QC,"7900 Rue du Marigot Quebec City, QC G1G 6T8 Canada"
La Bête,$$$,4.0 ,22,Steakhouses,quebec,QC,"2875 Boulevard Laurier Delta 3 Suite 170 Quebec City, QC G1V 2M2 Canada"
