restaurant_name,price_range,rating,total_reviews,category,location,province,address
20Ten City Eatery,$$,3.9 ,7,Desserts,regina,SK,"2010 12th Avenue Regina, SK S4P 2B8 Canada"
Caraway Grill,$$,4.5 ,49,Indian,regina,SK,"1625 Broad Street Regina, SK S4P 1X3 Canada"
The Fat Badger,$$,3.9 ,20,Pubs,regina,SK,"1852 Scarth Street Regina, SK S4P 2G3 Canada"
The Diplomat Steakhouse,$$$,3.9 ,34,Steakhouses,regina,SK,"2032 Broad Street Regina, SK S4P 1Y3 Canada"
Skye Cafe & Bistro,$$,4.8 ,8,Cafes,regina,SK,"2903 Powerhouse Drive Regina, SK S4N 0A1 Canada"
Mei Wei Bistro,$$,4.3 ,24,Chinese,regina,SK,"4626 Albert Street Regina, SK S4S 6B4 Canada"
Coney Island Cafe,$,4.4 ,17,Burgers,regina,SK,"4908 Dewdney Avenue Regina, SK S4T 1B8 Canada"
Quan Ngon Delicious Vietnamese Restaurant,$,4.4 ,20,Vietnamese,regina,SK,"227 Victoria Avenue Regina, SK S4N 0P4 Canada"
Famoso Neapolitan Pizzeria,$$,4.2 ,26,Pizza,regina,SK,"1881 Scarth Street Regina, SK S4P 4K9 Canada"
The Copper Kettle Restaurant,$$,3.4 ,31,Canadian (New),regina,SK,"1953 Scarth Street Regina, SK S4P 2H1 Canada"
Taste of Tuscany,$$,3.2 ,5,Italian,regina,SK,"1851 Scarth Street Regina, SK S4P 2G9 Canada"
Moxies,$$,4.3 ,24,Canadian (New),regina,SK,"1800 Victoria Avenue E Regina, SK S4N 7K3 Canada"
Wild Sage Kitchen & Bar,$$,3.4 ,17,Canadian (New),regina,SK,"1975 Broad Street Regina, SK S4P 1Y1 Canada"
Siam Authentic Thai Restaurant,$$,3.5 ,22,Thai,regina,SK,"1946 Hamilton Street Regina, SK S4P 2C4 Canada"
Italian Star Deli,$,4.6 ,16,Delis,regina,SK,"1611 Victoria Avenue Regina, SK S4P 0P8 Canada"
The Rooftop Bar & Grill,$$,3.2 ,17,American (Traditional),regina,SK,"1845 Victoria Avenue Regina, SK S4P 0R2 Canada"
Memories Dining & Bar,$$$$,3.8 ,15,French,regina,SK,"1717 Victoria Avenue Regina, SK S4P 0P9 Canada"
Mai Phuong Restaurant,$,4.2 ,6,Vietnamese,regina,SK,"1821 Broad Street Regina, SK S4P 1X7 Canada"
Regent Family Restaurant,$$,3.8 ,4,Pizza,regina,SK,"3823 Sherwood Drive Regina, SK S4R 6N1 Canada"
Moxies,$$$,3.6 ,35,Seafood,regina,SK,"2605 Gordon Rd Regina, SK S4S 6H7 Canada"
The Canadian Brewhouse,$$,2.8 ,18,Sports Bars,regina,SK,"4820 Gordon Road Regina, SK S4W 0B7 Canada"
Peking House,$$,3.4 ,12,Chinese,regina,SK,"1850 Rose Street Regina, SK S4P 3Y9 Canada"
Fireside Bistro,$$$,3.6 ,26,Bistros,regina,SK,"2305 Smith Street Regina, SK S4P 2P7 Canada"
The French Press,$$$,4.2 ,11,Cafes,regina,SK,"4114 Albert Street Regina, SK S4S 3R8 Canada"
Afghan Cuisine,$$,4.1 ,13,Afghan,regina,SK,"832 Albert Street Regina, SK S4R 2P5 Canada"
Tangerine,$,4.0 ,10,Sandwiches,regina,SK,"2234 14th Avenue Regina, SK S4P 0X8 Canada"
Breakfast Bistro,$$,3.4 ,32,Breakfast & Brunch,regina,SK,"3215 Quance Street E Regina, SK S4V 3B7 Canada"
Café Français,$$,4.6 ,16,Bakeries,regina,SK,"1-425 Victoria Avenue E Regina, SK S4N 0N8 Canada"
I Like Sushi,$$,3.3 ,7,Sushi Bars,regina,SK,"5875 Rochdale Boulevard Suite 16 Regina, SK S4X 2P9 Canada"
The Lobby Kitchen and Bar,$$,3.1 ,7,Bars,regina,SK,"2545 S Broad Street Regina, SK S4P 0M9 Canada"
Marokena Crepe Cafe,$$,4.8 ,8,Creperies,regina,SK,"5950 Rochdale Boulevard Suite 3 Regina, SK S4X 4J7 Canada"
Juliana PIZZA & Launge,$$,3.4 ,7,Pizza,regina,SK,"5064 4th Avenue Regina, SK S4T 0J6 Canada"
Browns Socialhouse Eastgate,$$,3.7 ,16,Canadian (New),regina,SK,"3610 Eastgate Drive Regina, SK S4Z 1A5 Canada"
Orange Izakaya,$$,3.6 ,10,Korean,regina,SK,"A-2136 Robinson Street Regina, SK S4T 2P7 Canada"
Wann Izakaya Regina,$$,2.9 ,15,Japanese,regina,SK,"1950 Broad Street Regina, SK S4P 1X9 Canada"
Cathedral Social Hall,$$,3.4 ,16,Breakfast & Brunch,regina,SK,"2062 Albert Street Regina, SK S4P 2T7 Canada"
Teppanyaki Japanese Steak House,$$$,3.7 ,7,Japanese,regina,SK,"736 Victoria Avenue Regina, SK S4N 0R3 Canada"
Pronto Asian Fusion Restaurant,$$,4.0 ,6,Asian Fusion,regina,SK,"1101D Kramer Boulevard Regina, SK S4S 5W4 Canada"
The Canadian Brewhouse,$$,3.5 ,8,Sports Bars,regina,SK,"2005 Prince of Wales Drive Regina, SK S4V 3A3 Canada"
Viet-Thai Restaurant,$$,3.6 ,19,Thai,regina,SK,"2080 Albert Street Regina, SK S4P 2T7 Canada"
ZamZam Wraps,$,4.7 ,22,Middle Eastern,regina,SK,"3618 Eastgate Drive Regina, SK S4Z 1A5 Canada"
Red Lobster,$$$,2.5 ,15,Seafood,regina,SK,"890 Albert Street Regina, SK S4R 2P5 Canada"
Dosa & Curry Garden,$$,4.1 ,11,Indian,regina,SK,"2143 Albert Street Regina, SK S4P 2V1 Canada"
Boston Pizza,$$,3.8 ,4,Pizza,regina,SK,"4303 Rochdale Boulevard Regina, SK S4X 4R3 Canada"
13th Avenue Food and Coffee House,$$,4.3 ,26,Coffee & Tea,regina,SK,"3136 13th Avenue Regina, SK S4T 1P2 Canada"
S R Kitchen,$$,4.7 ,3,Chinese,regina,SK,"6843 Rochdale Boulevard Regina, SK S4X 2Z2 Canada"
Mercury Cafe,$$,3.7 ,15,Diners,regina,SK,"2936 13th Ave Regina, SK S4T 1N7 Canada"
Abstractions Cafe,$$,4.0 ,1,Middle Eastern,regina,SK,"2161 Rose Street Regina, SK S4P 2A5 Canada"
Earls Kitchen + Bar,$$,3.1 ,23,Canadian (New),regina,SK,"2606-28th Avenue Regina, SK S4S 6P3 Canada"
Happy Garden Restaurant,$$,3.5 ,2,Chinese,regina,SK,"436 Dewdney Ave Regina, SK S4N 0E9 Canada"
