restaurant_name,price_range,rating,total_reviews,category,location,province,address
Cactus Club Cafe,$$,4.3 ,61,Canadian (New),saskatoon,SK,"140 Idylwild Drive S Saskatoon, SK S7L 0Y7 Canada"
OEB Breakfast,$$,3.8 ,21,Breakfast & Brunch,saskatoon,SK,"409 3rd Avenue South Suite 101 Saskatoon, SK S7K 5R5 Canada"
Little Grouse On The Prairie,$$,4.1 ,29,Italian,saskatoon,SK,"167 3rd Avenue S Saskatoon, SK S7K Canada"
Scarlet,$$,4.1 ,23,Canadian (New),saskatoon,SK,"612 Spadina Crescent E Saskatoon, SK S7K 3H1 Canada"
The Rook & Raven Pub,$$,3.9 ,43,Pubs,saskatoon,SK,"154 2 Avenue S Saskatoon, SK S7K 1K5 Canada"
Odd Couple,$$,4.1 ,41,Asian Fusion,saskatoon,SK,"228 20th Street W Saskatoon, SK S7M 0W9 Canada"
The Underground Cafe,$$,4.6 ,12,Venues & Event Spaces,saskatoon,SK,"430 20 Street W Saskatoon, SK S7M 0X4 Canada"
Summer Palace,$$,5.0 ,4,Chinese,saskatoon,SK,"3A-3602 Taylor Street E Saskatoon, SK S7H 5H9 Canada"
Pink Cadillacs,$$,4.1 ,28,American (Traditional),saskatoon,SK,"113-412 Willowgrove Crescent Saskatoon, SK S7W 0T4 Canada"
CUT Casual Steak & Tap,$$$,3.9 ,29,Steakhouses,saskatoon,SK,"416 21st Street E Saskatoon, SK S7K 0C2 Canada"
Bon Temps Cafe,$$,3.6 ,64,Cajun/Creole,saskatoon,SK,"223 2nd Avenue S Saskatoon, SK S7K 1K8 Canada"
Japa Bowl,$$,4.1 ,23,Japanese,saskatoon,SK,"821 Broadway Avenue Saskatoon, SK S7N 1B5 Canada"
Taverna Italian Kitchen + Bar,$$,3.8 ,59,Italian,saskatoon,SK,"219 21st Street E Saskatoon, SK S7K 0B7 Canada"
Moxies,$$,3.6 ,18,Sports Bars,saskatoon,SK,"310 Circle Drive West Saskatoon, SK S7L 0Y5 Canada"
Earls Kitchen + Bar,$$,3.7 ,35,Canadian (New),saskatoon,SK,"610-2nd Avenue North Saskatoon, SK S7K 2C7 Canada"
Summer Roll,$,4.7 ,31,Vietnamese,saskatoon,SK,"4A-234 Primrose Drive Saskatoon, SK S7K 6Y6 Canada"
La Bamba,$$,4.1 ,29,Cafes,saskatoon,SK,"1025 Boychuk Drive Saskatoon, SK S7H 4W9 Canada"
The Granary,$$$,3.8 ,20,Steakhouses,saskatoon,SK,"2806 8th Street E Saskatoon, SK S7H 0V9 Canada"
Il Salici at the Willows,$$$$,4.7 ,3,Italian,saskatoon,SK,"382 Cartwright St Grasswood, SK S7T 1A8 Canada"
UNA Pizza + Wine,$$,4.2 ,30,Pizza,saskatoon,SK,"707 Broadway Avenue Saskatoon, SK S7N 1B3 Canada"
Congress Beer House,$$,3.5 ,31,Gastropubs,saskatoon,SK,"215 2 Avenue S Saskatoon, SK S7K 1K8 Canada"
Spicy Bite,$$,4.2 ,11,Indian,saskatoon,SK,"113 3rd Avenue S Saskatoon, SK S7K 1L6 Canada"
The Garden Grille & Bar,$$,3.4 ,5,American (Traditional),saskatoon,SK,"90 22nd Street E Saskatoon, SK S7K 3X6 Canada"
Picaro Cocktails & Tacos,$$,3.7 ,13,Latin American,saskatoon,SK,"101 20th Street W Saskatoon, SK S7M 0W7 Canada"
State & Main Kitchen & Bar,$$,3.5 ,21,Bars,saskatoon,SK,"475 2nd Avenue S Suite 100 Saskatoon, SK S7K 1P4 Canada"
Best Asia Buffet,$$,3.7 ,7,Asian Fusion,saskatoon,SK,"415 Circle Drive E Suite 300 Saskatoon, SK S7K 4B4 Canada"
Restaurant 224,$,4.0 ,9,Chinese,saskatoon,SK,"224 3 Avenue S Saskatoon, SK S7K 1L9 Canada"
Super Donair,$$,3.7 ,10,Mediterranean,saskatoon,SK,"110 33rd Street W Saskatoon, SK S7L 0T8 Canada"
Konga Cafe,$$,4.3 ,23,Caribbean,saskatoon,SK,"204 Ave H N Saskatoon, SK S7L 2B7 Canada"
Calories Restaurant,$$,4.1 ,40,French,saskatoon,SK,"721 Broadway Avenue Saskatoon, SK S7N 1B3 Canada"
Poached Breakfast Bistro,$$,4.2 ,78,Breakfast & Brunch,saskatoon,SK,"259 2 Avenue S Saskatoon, SK S7K 1K8 Canada"
Thien Vietnam,$,3.2 ,41,Vietnamese,saskatoon,SK,"123 3rd Avenue N Saskatoon, SK S7K 2H4 Canada"
Delight+ Chinese,$$,3.3 ,12,Chinese,saskatoon,SK,"3126 Clarence Avenue Suite 122 Saskatoon, SK S7T 0C9 Canada"
The Chopped Leaf,$,4.6 ,7,Salad,saskatoon,SK,"1844 McOrmond Dr Saskatoon, SK S7S 0A5 Canada"
Mi Hong,$$,4.6 ,8,Vietnamese,saskatoon,SK,"811 51st St E Ste 5 Saskatoon, SK S7K 0X7 Canada"
White Lotus,$$,4.0 ,11,Vietnamese,saskatoon,SK,"4-15 Worobetz Place Saskatoon, SK S7L 6R4 Canada"
The Canadian Brewhouse,$$,2.3 ,13,Canadian (New),saskatoon,SK,"2120 McClocklin Road Saskatoon, SK S7R 0M8 Canada"
The Canadian Brewhouse,$$,2.3 ,13,Canadian (New),saskatoon,SK,"3150 Preston Avenue S Saskatoon, SK S7T 0V1 Canada"
Zervos Tavern,$$,4.5 ,2,Lounges,saskatoon,SK,"1605 33rd Street W Saskatoon, SK S7L 5L5 Canada"
