restaurant_name,price_range,rating,total_reviews,category,location,province,address
Tomlin,$$,4.5 ,33,Canadian (New),thunder bay,ON,"202 1/2 Red River Road Thunder Bay, ON P7B 1A5 Canada"
Caribou Restaurant & Wine Bar,$$$,4.5 ,45,Wine Bars,thunder bay,ON,"727 Hewitson Street Thunder Bay, ON P7B 6B5 Canada"
Both Hands Wood Fired Pizzeria & Bakery,$$,4.9 ,18,Bakeries,thunder bay,ON,"297 Park Avenue Thunder Bay, ON P7B 1C4 Canada"
Sovereign Room,$$,4.0 ,53,American (Traditional),thunder bay,ON,"220 Red River Road Thunder Bay, ON P7B 1A6 Canada"
Thai Kitchen,$$,4.2 ,35,Thai,thunder bay,ON,"11 Cumberland Street S Thunder Bay, ON P7B 2T1 Canada"
Nook Thunder Bay,$$,3.8 ,21,Italian,thunder bay,ON,"271 Bay Street Thunder Bay, ON P7B 1R6 Canada"
The Keg Steakhouse + Bar - Thunder Bay,$$,4.2 ,38,Steakhouses,thunder bay,ON,"735 Hewitson Street Thunder Bay, ON P7B 6B5 Canada"
Prospector Steak House,$$,3.4 ,30,Steakhouses,thunder bay,ON,"27 Cumberland Street S Thunder Bay, ON P7B 2T3 Canada"
Naxos Grill & Bar,$$,4.1 ,38,Greek,thunder bay,ON,"610 Arthur Street W Thunder Bay, ON P7E 5R8 Canada"
Madhouse,$$,4.0 ,24,Canadian (New),thunder bay,ON,"295 Bay Street Thunder Bay, ON P7B 1R7 Canada"
Monsoon Thunder Bay,$$,4.1 ,15,Indian,thunder bay,ON,"588 Arthur Street W Unit 4 Thunder Bay, ON P7B 3K4 Canada"
The Growing Season,$$,4.7 ,27,Juice Bars & Smoothies,thunder bay,ON,"201 S Algoma Street Thunder Bay, ON P7B 3C1 Canada"
The Foundry,$$,3.1 ,31,Canadian (New),thunder bay,ON,"242 Red River Road Thunder Bay, ON P7B 1A6 Canada"
Bight Restaurant & Bar,$$$,3.5 ,42,Bars,thunder bay,ON,"Prince Arthur's Landing, Marina Park 2201 Sleeping Giant Parkway Thunder Bay, ON P7A 0E Canada"
Bar Italia Restaurant,$$,4.1 ,11,Italian,thunder bay,ON,"168 Court Street S Thunder Bay, ON P7B 2X6 Canada"
5 Forks Restaurant,$$,2.5 ,26,Canadian (New),thunder bay,ON,"1072 Oliver Road Campus Hill Thunder Bay, ON P7B 7A4 Canada"
Mongos Grill,$$,3.9 ,7,Canadian (New),thunder bay,ON,"1075 Memorial Avenue Thunder Bay, ON P7B 4A4 Canada"
Lot 66 Restaurant and Wine Bar,$$$,3.9 ,14,Wine Bars,thunder bay,ON,"66 Court Street S Thunder Bay, ON P7B 2X3 Canada"
Mr. Chinese,$$,2.3 ,24,Chinese,thunder bay,ON,"615 Arthur Street W Thunder Bay, ON P7E 5R6 Canada"
Up In Smoke Bbq & Grill,$$,3.4 ,8,Caterers,thunder bay,ON,"230 Leland Avenue S Thunder Bay, ON P7E 2N5 Canada"
Wasabi Japanese Restaurant,$$,3.5 ,16,Sushi Bars,thunder bay,ON,"538 Arthur Street W Thunder Bay, ON P7E 5R7 Canada"
Masala Grille,$$,3.7 ,18,Caterers,thunder bay,ON,"170 Algoma Street N Thunder Bay, ON P7A 5A1 Canada"
Salween,$$,4.6 ,9,Thai,thunder bay,ON,"1408 Brown Street Thunder Bay, ON P7E 2M6 Canada"
Oriental Garden,$$,3.3 ,16,Chinese,thunder bay,ON,"1091 Dawson Road Thunder Bay, ON P7B 1K8 Canada"
Kangas Sauna,$$,3.6 ,8,Burgers,thunder bay,ON,"379 Oliver Road Thunder Bay, ON P7B 2G1 Canada"
Tokyo House,$$$,3.2 ,19,Sushi Bars,thunder bay,ON,"231 Arthur Street W Thunder Bay, ON P7E 5P7 Canada"
Sushi Station,$$,1.9 ,10,Japanese,thunder bay,ON,"450 Memorial Avenue Thunder Bay, ON P7B 3Y6 Canada"
The Beacon Restaurant,$,3.7 ,3,Breakfast & Brunch,thunder bay,ON,"61 Cumberland Street N Thunder Bay, ON P7A 4L7 Canada"
The Commissary,$,4.8 ,4,Delis,thunder bay,ON,"618 Christie Street Thunder Bay, ON P7C 2P9 Canada"
Boston Pizza,$$,3.4 ,5,Pizza,thunder bay,ON,"505 Memorial Avenue Thunder Bay, ON P7B 3Y6 Canada"
Taco Time,$,2.2 ,6,Mexican,thunder bay,ON,"679 Memorial Avenue Thunder Bay, ON P7B 3Z6 Canada"
Renco Foods,$,5.0 ,1,Delis,thunder bay,ON,"161 Court Street S Thunder Bay, ON P7B 2X7 Canada"
Mandarin Chinese Restaurant,$$$,3.3 ,4,Caterers,thunder bay,ON,"125 Brodie Street S Thunder Bay, ON P7E 1B8 Canada"
McKellar Confectionery,$,2.0 ,1,Burgers,thunder bay,ON,"241 McKellar Street S Thunder Bay, ON P7E 1H6 Canada"
ajs trading post,$,4.0 ,1,Burgers,thunder bay,ON,"Rr7 Highway 61 Thunder Bay, ON P7J 1E9 Canada"
Chinese Express,$$,2.8 ,5,Chinese,thunder bay,ON,"601 Arthur Street W Thunder Bay, ON P7E 5R6 Canada"
On Deck,$$,2.7 ,10,Pizza,thunder bay,ON,"Cumberland Street N 54 Thunder Bay, ON P7A 4L7 Canada"
Boston Pizza,$$$,3.0 ,7,Pizza,thunder bay,ON,"217 Arthur Street W Thunder Bay, ON P7E 5P7 Canada"
Taco Time,$,3.0 ,3,Mexican,thunder bay,ON,"598 Arthur Street W Thunder Bay, ON P7E 5R7 Canada"
