restaurant_name,address
Wingstop,"1121 Castlefield Ave Toronto, ON M6B 1E8 Canada"
By Aanch,"633 College Street Toronto, ON M6G 1B5 Canada"
Piano Piano,"623 Mt Pleasant Road Toronto, ON M4S 2M9 Canada"
L’Avenue Boulangerie,"1850 Avenue Road Toronto, ON M5M 3Z5 Canada"
Richmond Station,"1 Richmond Street W Toronto, ON M5H 3W4 Canada"
STACK,"3265 Yonge Street Toronto, ON M4N 2L5 Canada"
Pho Madame Saigon,"2038 Yonge Street Toronto, ON M4S 1Z9 Canada"
Holy Cow Japanese Steakhouse,"254 Queen Street  W Toronto, ON M5V 1Z8 Canada"
Rasa,"196 Robert Street Toronto, ON M5S 2K8 Canada"
Megumi Mazesoba,"46 Saint Clair Avenue E Toronto, ON M4T 1M9 Canada"
Mary Be Kitchen,"21B St. Clair Avenue W Toronto, ON M4V 1K6 Canada"
Positano Restaurant,"633 Mount Pleasant Road Toronto, ON M4S 2M9 Canada"
Midnight Arcade,"158 Augusta Ave Fl 2 Toronto, ON M5T 2L5 Canada"
By Aanch,"633 College Street Toronto, ON M6G 1B5 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
KINKA IZAKAYA ORIGINAL,"398 Church Street Toronto, ON M5B 2A2 Canada"
Midnight Market,"434 College St Toronto, ON M5T 1S9 Canada"
Pai Northern Thai Kitchen,"18 Duncan Street Toronto, ON M5H 3G8 Canada"
Baretto Caffe,"1262 Don Mills Road Toronto, ON M3B 2W7 Canada"
Mayrik,"1580 Bayview Avenue Toronto, ON M4G 3B7 Canada"
Pai Northern Thai Kitchen,"2335 Yonge Street Toronto, ON M4P 2E6 Canada"
Lao Lao Bar,"5 Saint Joseph Street Retail 5 Toronto, ON M4Y 1Z3 Canada"
Grazie Ristorante,"2373 Yonge Street Toronto, ON M4P 2C8 Canada"
Byblos Uptown,"2537 Yonge St Toronto, ON M4P 2H9 Canada"
Kintako Japanese Restaurant,"214 Laird Drive Suite 101 Toronto, ON M4G 3W4 Canada"
Midnight Arcade,"158 Augusta Ave Fl 2 Toronto, ON M5T 2L5 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
By Aanch,"633 College Street Toronto, ON M6G 1B5 Canada"
Mira,"420A Wellington Street W Toronto, ON M5V 1E3 Canada"
Grandma Loves You,"1084 Yonge Street Toronto, ON M4W 2L4 Canada"
North of Brooklyn Pizzeria,"1728 Avenue Road North York, ON M5M 3Y6 Canada"
Mexico Lindo,"1618 Bayview Ave Toronto, ON M4S 1T3 Canada"
Aloette,"163 Spadina Avenue 1st Floor Toronto, ON M5V 2L6 Canada"
Momo Ghar,"568 Parliament St Toronto, ON M4X 1P6 Canada"
The Olde Yorke,"96 Laird Drive East York, ON M4G 3V3 Canada"
Som Tum Jinda,"76 Gerrard Street E Toronto, ON M5B 1G6 Canada"
TORA,"612B-3401 Dufferin Street Upper Level Toronto, ON M6A 2T9 Canada"
Oretta Midtown,"2131 Yonge Street Toronto, ON M4S 2A7 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
