restaurant_name,price_range,rating,total_reviews,category,location,province,address
Richmond Station,$$$,4.4 ,897,Canadian (New),toronto,ON,"1 Richmond Street W Toronto, ON M5H 3W4 Canada"
STACK,$$,4.0 ,331,Barbeque,toronto,ON,"3265 Yonge Street Toronto, ON M4N 2L5 Canada"
Holy Cow Japanese Steakhouse,$$$,4.3 ,156,Steakhouses,toronto,ON,"254 Queen Street  W Toronto, ON M5V 1Z8 Canada"
Rasa,$$,4.4 ,326,Canadian (New),toronto,ON,"196 Robert Street Toronto, ON M5S 2K8 Canada"
Megumi Mazesoba,$$,4.7 ,27,Japanese,toronto,ON,"46 Saint Clair Avenue E Toronto, ON M4T 1M9 Canada"
Mary Be Kitchen,$$,4.4 ,73,Canadian (New),toronto,ON,"21B St. Clair Avenue W Toronto, ON M4V 1K6 Canada"
Positano Restaurant,$$,4.2 ,64,Pizza,toronto,ON,"633 Mount Pleasant Road Toronto, ON M4S 2M9 Canada"
KINKA IZAKAYA ORIGINAL,$$,4.1 ,1.8k,Japanese,toronto,ON,"398 Church Street Toronto, ON M5B 2A2 Canada"
Pai Northern Thai Kitchen,$$,4.4 ,3.4k,Thai,toronto,ON,"18 Duncan Street Toronto, ON M5H 3G8 Canada"
Pai Northern Thai Kitchen,$$,4.4 ,3.4k,Thai,toronto,ON,"2335 Yonge Street Toronto, ON M4P 2E6 Canada"
Baretto Caffe,$$,4.8 ,352,Cafes,toronto,ON,"1262 Don Mills Road Toronto, ON M3B 2W7 Canada"
Mayrik,$$$,4.1 ,74,Mediterranean,toronto,ON,"1580 Bayview Avenue Toronto, ON M4G 3B7 Canada"
Grazie Ristorante,$$,3.9 ,495,Italian,toronto,ON,"2373 Yonge Street Toronto, ON M4P 2C8 Canada"
Kintako Japanese Restaurant,$$,4.2 ,182,Japanese,toronto,ON,"214 Laird Drive Suite 101 Toronto, ON M4G 3W4 Canada"
Mira,$$,4.3 ,266,Peruvian,toronto,ON,"420A Wellington Street W Toronto, ON M5V 1E3 Canada"
Grandma Loves You,$$,4.8 ,75,Sandwiches,toronto,ON,"1084 Yonge Street Toronto, ON M4W 2L4 Canada"
Aloette,$$$,4.4 ,296,French,toronto,ON,"163 Spadina Avenue 1st Floor Toronto, ON M5V 2L6 Canada"
Mexico Lindo,$$,3.9 ,70,Mexican,toronto,ON,"1618 Bayview Ave Toronto, ON M4S 1T3 Canada"
The Olde Yorke,$$,4.4 ,330,Seafood,toronto,ON,"96 Laird Drive East York, ON M4G 3V3 Canada"
