restaurant_name,price_range,rating,total_reviews,category,location,province,address
Big Bear Donair,$$,4.3 ,27,Donairs,whitehorse,YT,"4161 4 Avenue Whitehorse, YT Y1A 1J5 Canada"
Burnt Toast,$$,4.0 ,119,Breakfast & Brunch,whitehorse,YT,"2112 2nd Avenue Whitehorse, YT Y1A 1B9 Canada"
Asahiya Japanese Restaurant,$$,4.3 ,13,Japanese,whitehorse,YT,"309 Jarvis Street Whitehorse, YT Y1A 2H3 Canada"
G & P Steak House & Pizza,$$,3.5 ,13,Pizza,whitehorse,YT,"209 Main Street Whitehorse, YT Y1A 2B2 Canada"
Yukon Meat & Sausage,$$,4.4 ,9,Meat Shops,whitehorse,YT,"203 Hanson Street Whitehorse, YT Y1A 1Y3 Canada"
Pickapeppa,$$,3.8 ,15,Caribbean,whitehorse,YT,"2074 2nd Avenue Whitehorse, YT Y1A 1B1 Canada"
VIETNAMESE CUISINE PHO FIVE STAR,$$,3.1 ,22,Vietnamese,whitehorse,YT,"2190 2nd Avenue Whitehorse, YT Y1A 5N6 Canada"
Earls Kitchen + Bar,$$,3.4 ,27,Canadian (New),whitehorse,YT,"Unit 101 - 9016 Quartz Road Whitehorse, YT Y1A 2Z5 Canada"
Giorgios Cuccina,$$$,3.4 ,25,Italian,whitehorse,YT,"206 Jarvis Street Whitehorse, YT Y1A 2H2 Canada"
Baked-Cafe & Bakery,$,4.1 ,44,Coffee & Tea,whitehorse,YT,"108-100 Main Street Whitehorse, YT Y1A 2A8 Canada"
Gold Pan Saloon,$$,3.3 ,17,Bars,whitehorse,YT,"Best Western Gold Rush Inn 411 Main Street Whitehorse, YT Y1A 2B6 Canada"
Sanchez Cantina,$$,3.7 ,46,Mexican,whitehorse,YT,"211 Hanson Street Whitehorse, YT Y1A 1Y3 Canada"
Golden Sakura Sushi,$$,4.2 ,20,Japanese,whitehorse,YT,"404 Wood Street Whitehorse, YT Y1A 2E8 Canada"
The Java Connection,$$,4.3 ,7,Breakfast & Brunch,whitehorse,YT,"3125 3rd Avenue Whitehorse, YT Y1A 1E6 Canada"
New Asia Restaurant,$,3.5 ,6,Seafood,whitehorse,YT,"102 Wood St Whitehorse, YT Y1A 2E3 Canada"
Boston Pizza,$$,2.7 ,24,Pizza,whitehorse,YT,"2241 2nd Ave Whitehorse, YT Y1A 5W1 Canada"
Tim Hortons,$,2.8 ,8,Breakfast & Brunch,whitehorse,YT,"2210 Second Ave Whitehorse, YT Y1A 1C8 Canada"
Tonimoes,$$,2.7 ,3,Canadian (New),whitehorse,YT,"101 Main Street Whitehorse, YT Y1A 0G5 Canada"
Subway,$,1.0 ,1,Sandwiches,whitehorse,YT,"Yukon Centre Mall 2190 2nd Avenue Whitehorse, YT Y1A 5N6 Canada"
Subway,$,1.0 ,1,Sandwiches,whitehorse,YT,"200 Hamilton Boulevard Whitehorse, YT Y1A 0A6 Canada"
A&W,$,2.3 ,6,Fast Food,whitehorse,YT,"2222 2nd Avenue Whitehorse, YT Y1A 1C8 Canada"
