restaurant_name,price_range,rating,total_reviews,category,location,province,address
Sun Fortune Restaurant,$$,4.3 ,36,Chinese,winnipeg,MB,"2077 Pembina Hwy Winnipeg, MB R3T 5J9 Canada"
Yujiro Japanese Restaurant,$$,4.4 ,48,Japanese,winnipeg,MB,"1822 Grant Avenue Winnipeg, MB R3N 0N3 Canada"
OEB Breakfast,$$,3.3 ,21,Breakfast & Brunch,winnipeg,MB,"100 - 330 Main Street Winnipeg, MB R3C 0Y7 Canada"
Deer + Almond,$$,4.3 ,73,Tapas Bars,winnipeg,MB,"85 Princess Street Winnipeg, MB R3B 1K4 Canada"
Brazen Hall,$$,3.6 ,67,Canadian (New),winnipeg,MB,"800 Pembina Highway Winnipeg, MB R3M 2M7 Canada"
Clementine,$$,4.6 ,141,Cafes,winnipeg,MB,"123 Princess Street Winnipeg, MB R3B 1K8 Canada"
Fusion Grill,$$$,4.3 ,36,Canadian (New),winnipeg,MB,"550 Academy Road Winnipeg, MB R3N 0E3 Canada"
Bellissimo Restaurant & Lounge,$$,4.0 ,21,Italian,winnipeg,MB,"877 Waverley Street Winnipeg, MB R3T 5V3 Canada"
Sous Sol,$$$$,4.9 ,16,French,winnipeg,MB,"222 Osborne Street Unit 22 Winnipeg, MB R3L 1Z3 Canada"
Asian Hot Pot,$$,4.1 ,14,Hot Pot,winnipeg,MB,"740 Corydon Avenue Winnipeg, MB R3M 0W6 Canada"
The Merchant Kitchen,$$,4.0 ,34,Cocktail Bars,winnipeg,MB,"314 Donald Street Winnipeg, MB R3B 2B9 Canada"
Marion Street Eatery,$$,4.2 ,55,Canadian (New),winnipeg,MB,"393 Marion Street Winnipeg, MB R2H Canada"
BMC Market,$,4.4 ,27,Mexican,winnipeg,MB,"722 Osborne Street Winnipeg, MB R3L Canada"
Pho Hoang,$$,4.4 ,67,Vietnamese,winnipeg,MB,"794 Sargent Avenue Suite 5 Winnipeg, MB R3E 0B7 Canada"
Tre Visi Cafe,$$,4.5 ,13,Italian,winnipeg,MB,"926 Grosvenor Avenue Winnipeg, MB R3M 2W9 Canada"
Vera,$$,4.8 ,9,Pizza,winnipeg,MB,"670 Osborne Street Winnipeg, MB R3L 2B9 Canada"
Bonfire Bistro,$$$,3.9 ,20,Italian,winnipeg,MB,"1433 Corydon Avenue Winnipeg, MB R3N 0J2 Canada"
Peasant Cookery,$$$,4.0 ,61,French,winnipeg,MB,"283 Bannatyne Avenue Winnipeg, MB R3B 1M3 Canada"
Harth Mozza & Wine Bar,$$$,4.0 ,36,Italian,winnipeg,MB,"980 St Anne's Road Winnipeg, MB R2M 2X9 Canada"
IGI BBQ and Sushi Bistro,$$,3.5 ,26,Sushi Bars,winnipeg,MB,"10-1875 Pembina Highway Winnipeg, MB R3T 2G6 Canada"
East India Company Pub & Eatery,$$,4.1 ,91,Indian,winnipeg,MB,"349 York Avenue Winnipeg, MB R3C 3S9 Canada"
Cafe Dario,$$$,4.5 ,22,Latin American,winnipeg,MB,"1390 Erin Street Winnipeg, MB R3E 2S8 Canada"
Santa Ana Pizzeria & Bistro,$$,4.5 ,23,Pizza,winnipeg,MB,"1631 St. Mary's Road Unit F Winnipeg, MB R2N 1Z4 Canada"
The Palm Room,$$,4.1 ,10,Cocktail Bars,winnipeg,MB,"222 Broadway Winnipeg, MB R3C 0R3 Canada"
Enoteca,$$$,4.2 ,30,Tapas Bars,winnipeg,MB,"A-1670 Corydon Avenue Winnipeg, MB R3N 0J7 Canada"
Ichiban Japanese Steakhouse,$$$,3.8 ,20,Japanese,winnipeg,MB,"189 Carlton St Winnipeg, MB R3C 3H7 Canada"
The Grove Pub & Restaurant,$$,4.0 ,24,British,winnipeg,MB,"164 Stafford St Winnipeg, MB R3M 2V8 Canada"
JOEY Polo Park,$$,4.3 ,54,Canadian (New),winnipeg,MB,"635 Saint James St Winnipeg, MB R3G 3R4 Canada"
Izakaya Edokko,$$,4.3 ,20,Sushi Bars,winnipeg,MB,"190 Smith Street Winnipeg, MB R3C 1J8 Canada"
Tipsy Cow,$$,3.5 ,13,Bars,winnipeg,MB,"285 Portage Avenue Winnipeg, MB R3B 2B4 Canada"
Capital Grill and Bar,$$,4.0 ,30,Seafood,winnipeg,MB,"3116 Roblin Boulevard Winnipeg, MB R3R 0C1 Canada"
Cibo Waterfront Cafe,$$,3.5 ,46,Mediterranean,winnipeg,MB,"339 Waterfront Drive Winnipeg, MB R3B 0G8 Canada"
Bistro Dansk,$$,4.4 ,14,Modern European,winnipeg,MB,"63 Sherbrook St Winnipeg, MB R3C 2B2 Canada"
529 Wellington,$$$$,3.9 ,74,Steakhouses,winnipeg,MB,"529 Wellington Cresent Winnipeg, MB R3M 0A1 Canada"
Komodo Chinese Restaurant,$$,4.3 ,3,Chinese,winnipeg,MB,"1031 Autumnwood Dr Winnipeg, MB R2J 1C6 Canada"
Wood Tavern & Grill,$$,3.3 ,6,Barbeque,winnipeg,MB,"112 Marion St Winnipeg, MB R2H 0T1 Canada"
Dancing Noodle,$,3.6 ,8,Chinese,winnipeg,MB,"1393A Pembina Highway Winnipeg, MB R3T 2B8 Canada"
The Blue Marble Restaurant & Lounge,$$,4.2 ,22,Tapas/Small Plates,winnipeg,MB,"1979 Wellington Avenue Winnipeg, MB R3H 1H5 Canada"
Saperavi,$$$,4.8 ,16,Middle Eastern,winnipeg,MB,"709 Corydon Avenue Winnipeg, MB R3M 0W4 Canada"
Moxies,$$$,3.3 ,54,Steakhouses,winnipeg,MB,"1750 Sargent Ave Winnipeg, MB R3H 0C7 Canada"
Monticchio Ristorante Italiano,$$,3.9 ,14,Caterers,winnipeg,MB,"684 Osborne Street Winnipeg, MB R3L 2B9 Canada"
Tehran Market & Cafe,$$,4.4 ,9,Mediterranean,winnipeg,MB,"8-1875 Pembina Highway Winnipeg, MB R3T 2G7 Canada"
Fergies Fish N Chips & Seafood Market,$$,4.3 ,40,Seafood,winnipeg,MB,"1 Forks Market Road Suite 142 Winnipeg, MB R3C 4L9 Canada"
Carbone Coal Fired Pizza,$$,4.0 ,12,Pizza,winnipeg,MB,"260 Saint Mary Avenue Winnipeg, MB R3C 0M6 Canada"
Momo,$,4.2 ,18,Sushi Bars,winnipeg,MB,"2855 Pembina Highway Unit 40 Winnipeg, MB R3T 2H5 Canada"
The Tallest Poppy,$$,3.4 ,33,Canadian (New),winnipeg,MB,"103 Sherbrook Winnipeg, MB R3C 2B5 Canada"
Noodle Express,$,3.7 ,15,Dim Sum,winnipeg,MB,"180 King Street Unit 107 Winnipeg, MB R3B 3G8 Canada"
White Star Diner,$,4.3 ,12,Burgers,winnipeg,MB,"258 Kennedy St Winnipeg, MB R3C 1T2 Canada"
TH Dang Restaurant,$$,4.2 ,30,Vietnamese,winnipeg,MB,"1425 Pembina Highway Winnipeg, MB R3T 2C2 Canada"
Smith Restaurant,$$$,3.4 ,28,Canadian (New),winnipeg,MB,"75 Forks Market Road Winnipeg, MB R3C 4Y3 Canada"
New Golden Inn Restaurant,$$,4.6 ,7,Chinese,winnipeg,MB,"1084 Pembina Hwy Winnipeg, MB R3T 1Z9 Canada"
Colosseo Ristorante Italiano,$$,3.8 ,15,Caterers,winnipeg,MB,"670 Corydon Ave Winnipeg, MB R3M 0X7 Canada"
Jollibee,$,3.6 ,25,Chicken Shop,winnipeg,MB,"1406 Ellice Ave Winnipeg, MB R3G 0G4 Canada"
La Fiesta Cafecito & Restaurant,$$,3.6 ,16,Mexican,winnipeg,MB,"730 St Anne's Rd Unit M Winnipeg, MB R2N 0A2 Canada"
Red Top Drive Inn,$,4.1 ,35,Burgers,winnipeg,MB,"219 Saint Mary's Road Winnipeg, MB R2H 1J2 Canada"
Spicy Noodle House,$$,3.4 ,25,Chinese,winnipeg,MB,"99 Osborne Street Suite 102 Winnipeg, MB R3L 2R4 Canada"
Tandoor House,$$,4.0 ,6,Indian,winnipeg,MB,"598 Ebby Avenue Winnipeg, MB R3M Canada"
The Nook Diner,$,4.4 ,26,Diners,winnipeg,MB,"43 Sherbrook Street Winnipeg, MB R3C 2B1 Canada"
Les Saj Restaurant,$$,4.6 ,48,Middle Eastern,winnipeg,MB,"1038 St James Street Suite C1 Winnipeg, MB R3H 0K5 Canada"
Mona Lisa Ristorante Italiano,$$,3.3 ,29,Italian,winnipeg,MB,"1697 Corydon Avenue Winnipeg, MB R3N 0J9 Canada"
Silver Heights Restaurant & Lounge,$$,3.8 ,24,Steakhouses,winnipeg,MB,"2169 Portage Avenue Winnipeg, MB R3J 0L7 Canada"
Sam Po,$$,4.3 ,8,Dim Sum,winnipeg,MB,"277 Rupert Avenue Winnipeg, MB R3B 0N5 Canada"
Ben & Florentine,$$,3.6 ,43,Breakfast & Brunch,winnipeg,MB,"155 Scurfield Boulevard Winnipeg, MB R3Y 1L6 Canada"
Confusion Corner Drinks + Food,$$,3.8 ,28,Bars,winnipeg,MB,"500 Corydon Avenue Winnipeg, MB R3L 0P1 Canada"
Falafel Place,$$,4.4 ,47,Falafel,winnipeg,MB,"1101 Corydon Ave Winnipeg, MB R3M 0X3 Canada"
Kazoku,$$,4.0 ,22,Sushi Bars,winnipeg,MB,"30-2583 Pembina hwy Winnipeg, MB R3T Canada"
Frenchway Cafe,$$,3.8 ,16,French,winnipeg,MB,"238 Lilac Street Winnipeg, MB R3M 2T3 Canada"
Kimchi Sushi,$$,4.2 ,6,Korean,winnipeg,MB,"1270 Pembina Highway Winnipeg, MB R3T 2B1 Canada"
Elephant & Castle,$$,3.4 ,46,British,winnipeg,MB,"350 St Mary Ave Winnipeg, MB R3C 3J2 Canada"
Chosabi,$$,4.3 ,33,Asian Fusion,winnipeg,MB,"100 King Street Unit A Winnipeg, MB R3B 0P6 Canada"
