restaurant_name,price_range,rating,total_reviews,category,location,province,address
The Black Knight Pub,$$,3.9 ,29,Pubs,yellowknife,NT,"4910-49 Street Yellowknife, NT X1A 1P3 Canada"
YK Hotpot,$$$,3.3 ,16,Chinese,yellowknife,NT,"5019 49 Street Yellowknife, NT X1A 1P5 Canada"
A Taste of Saigon,$$,3.6 ,17,Vietnamese,yellowknife,NT,"4913 50th Street Yellowknife, NT X1A 2P7 Canada"
Red Apple,$$,3.5 ,12,Chinese,yellowknife,NT,"4701 Franklin Avenue Yellowknife, NT X1A 1N2 Canada"
Wildcat Cafe,$$,3.3 ,9,Diners,yellowknife,NT,"3904 Wiley Rd Yellowknife, NT X1A Canada"
Main Street Donair & Falafel,$$,5.0 ,3,Falafel,yellowknife,NT,"4905 50th Ave Yellowknife, NT X1A 3X8 Canada"
Zehabehsa,$$,4.6 ,27,Ethiopian,yellowknife,NT,"5030 50th Street Yellowknife, NT X1A 3R8 Canada"
Traders Grill,$$,3.3 ,22,Breakfast & Brunch,yellowknife,NT,"4825 49th Avenue Yellowknife, NT X1A 2R3 Canada"
Fatburger,$$,3.6 ,7,Chicken Wings,yellowknife,NT,"100 Borden Drive Unit 1 Yellowknife, NT X0E 3W1 Canada"
Sushi Cafe,$$,4.1 ,12,Sushi Bars,yellowknife,NT,"5309 Franklin Avenue Yellowknife, NT X1A 1E3 Canada"
Sushi North,$$,3.4 ,16,Sushi Bars,yellowknife,NT,"200 4910 50th Avenue Yellowknife, NT X1A 3M3 Canada"
Diamante Restaurant,$$,2.4 ,7,Italian,yellowknife,NT,"483 Range Lake Road Yellowknife, NT X1A 3R9 Canada"
Boston Pizza,$$,2.4 ,21,Pizza,yellowknife,NT,"5102 48th Street Yellowknife, NT X1A 1N6 Canada"
Javaroma Gourmet Coffee,$$,3.4 ,19,Coffee & Tea,yellowknife,NT,"5201 50th Avenue Yellowknife, NT X1A 3S9 Canada"
Pizza Hut,$$,2.5 ,2,Pizza,yellowknife,NT,"312 D Old Airport Road Yellowknife, NT X1A 3T3 Canada"
Subway,$,4.0 ,1,Sandwiches,yellowknife,NT,"100 Borden Drive Unit 21 Yellowknife, NT X1A 3W6 Canada"
Northern Fancy Meats,$$,3.0 ,1,Delis,yellowknife,NT,"314 Woolgar Avenue Yellowknife, NT X1A 3B5 Canada"
