"id","restaurant_name","rating","category","address","latitude","longitude","province"
2131,"FINE FOOD MARKET (Convenience @ Bay & Gerrard)","4.8","American","711 Bay St, Toronto, ON M5G","43.6588232","-79.38465169999999","ON"
2132,"McDonald's (Front & George)","4.8","Burgers","121 Front St E, Toronto, ON M5A","43.6494917","-79.3704556","ON"
2133,"7-Eleven (372 Bay Street @ Richmond)","4.5","Wings","372 Bay Street @ Richmond, Toronto, ON M5H 2W9","43.651016","-79.3815181","ON"
2134,"Sunset Grill (1 Richmond St. West)","4.6","Breakfast and brunch","1 Richmond St. West (#130), Toronto, ON M5H 3W4","43.6513848","-79.3792915","ON"
2135,"Starbucks (485 Church at Wellesley)","4.9","Bakery","485 Church Street, Toronto, ON M4Y 2C6","43.6649974","-79.3804218","ON"
2136,"Subway (393 Front St W)","4.8","American","393 Front St W, Toronto, ON M5V","43.64268209999999","-79.39331360000001","ON"
2137,"Neo Coffee Bar (Bay x College)","4.4","Cafe","770 Bay St , Unit 3, Toronto, ON M5G 0A6","43.6601367","-79.3858692","ON"
2138,"FUEL+ (Canary)","4.5","Healthy","469 Front St E, Toronto, ON M5A","43.6528731","-79.3559332","ON"
2139,"Stacked Pancake & Breakfast House (Danforth)","4.7","Breakfast and brunch","425 Danforth Ave, Toronto, ON M4K 1P1","43.6775008","-79.3509176","ON"
2140,"A&W (Queen St West)","4.5","Fast food","372 Queen St W, Toronto, ON M5V 2A3","43.6490994","-79.3959812","ON"
2141,"Krispy Kreme (McCaul St & Elm St)","4.9","Desserts","164 Mccaul St, Toronto, ON M5T 1W4","43.6557344","-79.3921423","ON"
2142,"Eggsmart (Bloor & Ossington)","4.3","Breakfast and brunch","864 Bloor St W, Toronto, ON M6G","43.6624081","-79.42455489999999","ON"
2143,"Cinnabon (Oriole Pky)","4.4","Bakery","500 Oriole Parkway , Unit 4, Toronto, ON M5P","43.704666","-79.40614839999999","ON"
2144,"Wendy's (731 Eastern Avenue)","4.3","Fast food","731 Eastern Avenue, Toronto, ON M4M 3H6","43.6595692","-79.32917239999999","ON"
2145,"Smokers Mart","4.6","Convenience","1061 Gerrard St E, Toronto, ON M4M","43.6690571","-79.3356867","ON"
2146,"The Bagel House (Eglinton)","4.7","Sandwich","450 Eglinton Ave W, Toronto, ON M5N 1A5","43.7040348","-79.41191979999999","ON"
2147,"Harvey's (805 The Queensway)","4.7","American","805 The Queensway, Toronto, ON M8Z 1N6","43.6248882","-79.5074954","ON"
2148,"Bagels on Fire","4.8","Bakery","2248 Queen St E, Toronto, ON M4E","43.6729723","-79.28682080000002","ON"
2149,"Walmart (900 Dufferin Street)","New","Grocery","900 Dufferin St, Toronto, ON M6H","43.6579875","-79.4350058","ON"
2150,"COBS Bread (Humbertown)","4.9","Bakery","#3 - 270 The Kingsway, Etobicoke, ON M9A","43.6615135","-79.51976959999999","ON"
2151,"Smoothie Bar (Altea Active)","4.6","Juice & Smoothies","25 Ordnance Street, Toronto, ON M6K 1A1","43.6390672","-79.4100811","ON"
2152,"Rolltation (Yonge & Bloor)","4.5","Healthy","758 Yonge St, Toronto, ON M4Y","43.6694172","-79.3865848","ON"
2153,"Chick-Wings on Liberty","4.8","Comfort food","129 Jefferson, Toronto, ON M6K3E4","43.6395619","-79.42182199999999","ON"
2154,"Gong Cha (Davisville)","4.7","Desserts","2027 Yonge St, Toronto, ON M4S 2A2","43.70150160000001","-79.3970068","ON"
2155,"Real Fruit Bubble Tea (5095 Yonge St)","5.0","Asian","5095 Yonge Street , Unit A11, Toronto, ON M2N 6Z4","43.7687022","-79.4123463","ON"
2156,"Shuyi Tealicious 书亦烧仙草","4.8","Bubble tea","37 Sheppard Ave E, Toronto, ON M2N 2Z8","43.761668","-79.4090228","ON"
2157,"Bap bubble tea","4.8","Coffee & tea","1190 Weston Rd, Toronto, ON M6M 4P4","43.6874995","-79.4913566","ON"
2158,"The Alley (Bloor)","4.9","Asian","621 Bloor St W, Toronto, ON M6G 1K8","43.6644156","-79.41404229999999","ON"
2159,"Baskin Robbins | Kernels (1917 Avenue Road)","4.9","Desserts","1917 Avenue Road, Toronto, ON M5M","43.7334481","-79.4192109","ON"
2160,"Bunner's Bakeshop","4.7","Desserts","244 Augusta Ave, Toronto, ON M5T","43.6555105","-79.4027529","ON"
2161,"Craig's Cookies","4.9","Desserts","1332 Queen St W, Toronto, ON M6K 1L4","43.64177369999999","-79.4316097","ON"
